,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.125
175,0.0
176,0.0
177,0.0
178,0.125
179,0.0
180,0.0
181,0.0
182,0.125
183,0.0
184,0.0
185,0.0
186,0.125
187,0.0
188,0.0
189,0.0
190,0.125
191,0.0
192,0.0
193,0.0
194,0.125
195,0.0
196,0.0
197,0.0
198,0.125
199,0.0
200,0.0
201,0.0625
202,0.125
203,0.0
204,0.0
205,0.0625
206,0.125
207,0.0
208,0.0
209,0.0625
210,0.125
211,0.0
212,0.0
213,0.0625
214,0.125
215,0.0
216,0.0
217,0.0625
218,0.125
219,0.0
220,0.0
221,0.0625
222,0.125
223,0.0
224,0.0
225,0.0625
226,0.125
227,0.0
228,0.0
229,0.125
230,0.125
231,0.0
232,0.0
233,0.125
234,0.125
235,0.0
236,0.0
237,0.125
238,0.125
239,0.0
240,0.0625
241,0.125
242,0.125
243,0.0
244,0.0625
245,0.125
246,0.125
247,0.0
248,0.0625
249,0.125
250,0.125
251,0.0
252,0.0625
253,0.125
254,0.125
255,0.0
256,0.0625
257,0.125
258,0.125
259,0.0
260,0.1875
261,0.125
262,0.125
263,0.0
264,0.1875
265,0.125
266,0.125
267,0.0625
268,0.1875
269,0.125
270,0.125
271,0.0625
272,0.1875
273,0.125
274,0.125
275,0.0625
276,0.1875
277,0.125
278,0.125
279,0.0625
280,0.1875
281,0.125
282,0.1875
283,0.0625
284,0.1875
285,0.125
286,0.1875
287,0.0625
288,0.1875
289,0.125
290,0.1875
291,0.125
292,0.1875
293,0.125
294,0.1875
295,0.125
296,0.1875
297,0.125
298,0.1875
299,0.125
300,0.1875
301,0.125
302,0.1875
303,0.1875
304,0.1875
305,0.125
306,0.1875
307,0.1875
308,0.1875
309,0.125
310,0.1875
311,0.1875
312,0.1875
313,0.1875
314,0.1875
315,0.1875
316,0.25
317,0.1875
318,0.1875
319,0.1875
320,0.25
321,0.1875
322,0.1875
323,0.1875
324,0.25
325,0.1875
326,0.1875
327,0.1875
328,0.25
329,0.25
330,0.1875
331,0.1875
332,0.25
333,0.25
334,0.1875
335,0.1875
336,0.25
337,0.25
338,0.1875
339,0.1875
340,0.25
341,0.25
342,0.1875
343,0.1875
344,0.25
345,0.25
346,0.1875
347,0.1875
348,0.25
349,0.25
350,0.1875
351,0.1875
352,0.25
353,0.25
354,0.1875
355,0.1875
356,0.25
357,0.25
358,0.1875
359,0.1875
360,0.25
361,0.25
362,0.1875
363,0.1875
364,0.25
365,0.25
366,0.1875
367,0.1875
368,0.25
369,0.25
370,0.1875
371,0.1875
372,0.25
373,0.25
374,0.25
375,0.1875
376,0.3125
377,0.25
378,0.25
379,0.1875
380,0.3125
381,0.25
382,0.25
383,0.1875
384,0.3125
385,0.25
386,0.3125
387,0.1875
388,0.3125
389,0.25
390,0.3125
391,0.1875
392,0.3125
393,0.25
394,0.3125
395,0.1875
396,0.3125
397,0.25
398,0.3125
399,0.1875
400,0.3125
401,0.25
402,0.3125
403,0.1875
404,0.3125
405,0.25
406,0.3125
407,0.1875
408,0.3125
409,0.25
410,0.3125
411,0.1875
412,0.3125
413,0.25
414,0.3125
415,0.1875
416,0.3125
417,0.25
418,0.3125
419,0.1875
420,0.3125
421,0.375
422,0.3125
423,0.1875
424,0.3125
425,0.375
426,0.3125
427,0.1875
428,0.3125
429,0.375
430,0.25
431,0.1875
432,0.3125
433,0.375
434,0.25
435,0.25
436,0.3125
437,0.375
438,0.25
439,0.25
440,0.3125
441,0.375
442,0.25
443,0.25
444,0.3125
445,0.375
446,0.25
447,0.1875
448,0.3125
449,0.375
450,0.25
451,0.1875
452,0.375
453,0.375
454,0.25
455,0.1875
456,0.375
457,0.375
458,0.25
459,0.125
460,0.375
461,0.375
462,0.25
463,0.125
464,0.375
465,0.375
466,0.25
467,0.125
468,0.375
469,0.375
470,0.25
471,0.125
472,0.3125
473,0.375
474,0.25
475,0.125
476,0.3125
477,0.375
478,0.25
479,0.125
480,0.1875
481,0.375
482,0.25
483,0.125
484,0.1875
485,0.5
486,0.25
487,0.125
488,0.1875
489,0.5625
490,0.25
491,0.125
492,0.1875
493,0.5
494,0.25
495,0.125
496,0.1875
497,0.5
498,0.25
499,0.125
500,0.125
501,0.5
502,0.25
503,0.125
504,0.125
505,0.5
506,0.25
507,0.125
508,0.125
509,0.5
510,0.25
511,0.125
512,0.125
513,0.5
514,0.25
515,0.125
516,0.125
517,0.5
518,0.25
519,0.125
520,0.125
521,0.5
522,0.25
523,0.125
524,0.125
525,0.5
526,0.25
527,0.125
528,0.125
529,0.5
530,0.25
531,0.125
532,0.125
533,0.5
534,0.25
535,0.125
536,0.125
537,0.5
538,0.25
539,0.125
540,0.125
541,0.5
542,0.25
543,0.125
544,0.125
545,0.5
546,0.25
547,0.125
548,0.125
549,0.5
