,0
0,0.12243652
1,0.4696045
2,0.5950928
3,0.46435547
4,0.4489746
5,0.4609375
6,0.59973145
7,0.5991211
8,0.5826416
9,0.44604492
10,0.51708984
11,0.37109375
12,0.45629883
13,0.40063477
14,0.288208
15,0.5689697
16,0.61694336
17,0.5809326
18,0.63183594
19,0.4901123
20,0.40478516
21,0.5095215
22,0.4876709
23,0.40722656
24,0.44836426
25,0.5488281
26,0.58081055
27,0.63879395
28,0.56689453
29,0.43737793
30,0.47924805
31,0.48339844
32,0.44665527
33,0.50549316
34,0.4991455
35,0.56152344
36,0.4473877
37,0.5826416
38,0.59143066
39,0.39233398
40,0.47351074
41,0.47155762
42,0.4215088
43,0.5629883
44,0.5571289
45,0.5048828
46,0.5020752
47,0.45202637
48,0.4864502
49,0.59020996
50,0.58117676
51,0.60498047
52,0.55810547
53,0.32409668
54,0.42504883
55,0.5529785
56,0.42956543
57,0.53222656
58,0.5708008
59,0.6746826
60,0.5826416
61,0.5213623
62,0.5235596
63,0.5541992
64,0.58935547
65,0.55285645
66,0.62805176
67,0.4777832
68,0.5793457
69,0.46887207
70,0.6331787
71,0.49865723
72,0.60754395
73,0.54748535
74,0.44885254
75,0.51708984
76,0.6489258
77,0.50671387
78,0.49951172
79,0.5201416
80,0.55810547
81,0.5435791
82,0.49938965
83,0.4169922
84,0.45825195
85,0.3635254
86,0.5767822
87,0.6582031
88,0.614624
89,0.5986328
90,0.53845215
91,0.6015625
92,0.6291504
93,0.33789062
94,0.49853516
95,0.50842285
96,0.7188721
97,0.71606445
98,0.7105713
99,0.61364746
100,0.6053467
101,0.55859375
102,0.4407959
103,0.5612793
104,0.49414062
105,0.5267334
106,0.5202637
107,0.53015137
108,0.77075195
109,0.5209961
110,0.5262451
111,0.5506592
112,0.66845703
113,0.63098145
114,0.50390625
115,0.48156738
116,0.51171875
117,0.49951172
118,0.46923828
119,0.55859375
120,0.42834473
121,0.5794678
122,0.79418945
123,0.50341797
124,0.5644531
125,0.5539551
126,0.48657227
127,0.5106201
128,0.6627197
129,0.6759033
130,0.7564697
131,0.57836914
132,0.5181885
133,0.6409912
134,0.6661377
135,0.7060547
136,0.51623535
137,0.43762207
138,0.710083
139,0.5233154
140,0.5793457
141,0.42260742
142,0.61901855
143,0.6131592
144,0.66296387
145,0.53063965
146,0.5982666
147,0.6262207
148,0.5722656
149,0.5859375
150,0.7315674
151,0.7393799
152,0.7174072
153,0.708374
154,0.6809082
155,0.5933838
156,0.6876221
157,0.79016113
158,0.7121582
159,0.7504883
160,0.64733887
161,0.6464844
162,0.6378174
163,0.5258789
164,0.6159668
165,0.7796631
166,0.7089844
167,0.54296875
168,0.52978516
169,0.5152588
170,0.53601074
171,0.71069336
172,0.6501465
173,0.7062988
174,0.6503906
175,0.6522217
176,0.58935547
177,0.71765137
178,0.5932617
179,0.6826172
180,0.50268555
181,0.6220703
182,0.7032471
183,0.7779541
184,0.68200684
185,0.739624
186,0.80859375
187,0.732666
188,0.6911621
189,0.6986084
190,0.6999512
191,0.6472168
192,0.6838379
193,0.74780273
194,0.65197754
195,0.6192627
196,0.774292
197,0.7043457
198,0.9141846
199,0.8372803
200,0.82702637
201,0.72888184
202,0.5838623
203,0.5860596
204,0.87402344
205,0.85913086
206,0.87109375
207,0.7597656
208,0.8769531
209,0.5266113
210,0.53308105
211,0.67211914
212,0.6821289
213,0.6218262
214,0.73217773
215,0.5543213
216,0.75024414
217,0.7943115
218,0.78271484
219,0.79467773
220,0.7303467
221,0.7183838
222,0.602417
223,0.8137207
224,0.65979004
225,0.7727051
226,0.7224121
227,0.7504883
228,0.7980957
229,0.9090576
230,0.8026123
231,0.7188721
232,0.72265625
233,0.5566406
234,0.6911621
235,0.7631836
236,0.67822266
237,0.64282227
238,0.79626465
239,0.7911377
240,0.7507324
241,0.7722168
242,0.74108887
243,0.6750488
244,0.85595703
245,0.8269043
246,0.69104004
247,0.78234863
248,0.76464844
249,0.64245605
250,0.810791
251,0.7808838
252,0.6220703
253,0.67700195
254,0.6208496
255,0.71899414
256,0.5559082
257,0.70251465
258,0.62561035
259,0.66552734
260,0.8183594
261,0.73547363
262,0.66174316
263,0.751709
264,0.8594971
265,0.6837158
266,0.63049316
267,0.60253906
268,0.7442627
269,0.80810547
