,0
0,0.35804716
1,0.7561944
2,0.8373544
3,0.8481937
4,0.729762
5,0.7271503
6,0.8395817
7,0.85578173
8,1.1393428
9,0.8031426
10,0.73782486
11,0.6803494
12,0.8229759
13,0.7101314
14,0.54155225
15,1.0687449
16,0.9846209
17,0.9580012
18,0.8203956
19,0.7512359
20,0.74573416
21,0.8449974
22,0.8234505
23,0.7802722
24,0.74707747
25,0.98787004
26,0.9329646
27,1.0070667
28,0.9992269
29,0.88511693
30,0.9877468
31,0.9070404
32,0.8183897
33,0.9684823
34,0.88966465
35,0.97996235
36,0.841383
37,1.0093588
38,1.0087216
39,0.7473127
40,0.81761104
41,0.78478676
42,0.6931171
43,0.77162004
44,0.7989604
45,0.8386568
46,0.7971785
47,0.6806429
48,0.7503658
49,0.7844726
50,0.8687006
51,0.85064566
52,0.85698104
53,0.7677365
54,0.7699162
55,0.92893267
56,0.8706196
57,0.8450144
58,0.924185
59,1.0331439
60,0.9965793
61,0.9618111
62,0.94446975
63,0.88041943
64,0.93231577
65,0.87814116
66,0.97950643
67,0.8208671
68,0.9819181
69,0.9257112
70,1.0000428
71,0.7409929
72,0.9714714
73,0.998383
74,0.7659892
75,0.8102136
76,0.9769255
77,0.8695162
78,0.86079407
79,0.83390355
80,0.8581198
81,0.9026357
82,0.85209966
83,0.7185423
84,0.9017753
85,0.5780639
86,0.8624735
87,0.9218067
88,0.9012773
89,0.92295384
90,0.8651714
91,1.0523121
92,1.123771
93,0.60016257
94,0.8138496
95,0.8157551
96,0.9275226
97,0.94279546
98,1.2472022
99,1.0377514
100,1.1269019
101,1.0044988
102,0.83672464
103,0.89631116
104,0.7226219
105,0.84765774
106,0.91326994
107,0.86944056
108,1.1499763
109,0.86661637
110,0.80996877
111,0.89711016
112,0.8503452
113,0.8601883
114,0.86601657
115,0.9047143
116,0.82774717
117,0.81129694
118,0.74790126
119,0.884151
120,0.6774784
121,0.95019186
122,1.1095403
123,0.8727582
124,1.0222124
125,1.0287702
126,0.896671
127,0.8304122
128,0.9419876
129,0.9775634
130,1.0878837
131,0.97200096
132,0.9874264
133,0.98914737
134,1.0716453
135,1.0674391
136,0.8671411
137,0.77325004
138,1.0889653
139,0.8886729
140,0.9592799
141,0.74942464
142,0.9363246
143,1.0206069
144,1.0530626
145,0.8649188
146,0.939769
147,0.9987473
148,0.88300043
149,0.9598571
150,1.166274
151,1.1453549
152,1.0748818
153,1.0362277
154,1.1797597
155,0.968029
156,1.0239815
157,1.1442732
158,0.9833371
159,1.096091
160,1.0544364
161,0.96586126
162,0.88818216
163,0.79553443
164,0.93318224
165,1.3501524
166,1.1624737
167,0.9155553
168,0.8599949
169,0.79026765
170,0.887149
171,1.1038784
172,1.0616564
173,1.0385252
174,0.956112
175,1.0345696
176,0.94738215
177,1.0027992
178,1.0705546
179,1.0773776
180,0.8665849
181,1.0445362
182,1.087347
183,1.2150936
184,1.1656411
185,1.0731099
186,1.129217
187,1.0902028
188,1.03766
189,1.0072287
190,0.9903391
191,0.91071486
192,0.9400447
193,1.0190423
194,0.9433921
195,0.8614662
196,1.1163769
197,0.9887011
198,1.2700863
199,1.0832133
200,1.4292346
201,1.2582175
202,0.82030404
203,0.8954998
204,1.2080859
205,1.3935816
206,1.3538805
207,1.246637
208,1.1834825
209,0.98003757
210,0.9872871
211,1.0883411
212,1.0985532
213,1.1175108
214,1.1145564
215,0.8747089
216,1.2263882
217,1.0429271
218,1.1052537
219,1.1210133
220,1.0321572
221,1.0780859
222,0.923203
223,1.1495656
224,1.0482055
225,1.1778378
226,0.99796945
227,1.1063999
228,1.2559453
229,1.439759
230,1.1004163
231,0.99471027
232,1.1246676
233,0.97788775
234,1.1340048
235,1.0860541
236,1.0120003
237,0.87784815
238,1.1148065
239,1.0156031
240,1.0699986
241,1.0981473
242,0.93944126
243,0.9719566
244,1.1258693
245,1.216572
246,1.415983
247,1.1608295
248,1.1015481
249,0.94060385
250,1.1583978
251,1.1568667
252,1.1421185
253,1.1336122
254,1.053637
255,1.1271206
256,0.96927875
257,1.0169479
258,0.92865264
259,0.993604
260,1.1866628
261,1.1193309
262,1.0469735
