,0
0,0.12243652
1,0.5119629
2,0.6102295
3,0.46948242
4,0.53466797
5,0.43164062
6,0.6329346
7,0.6014404
8,0.47106934
9,0.4519043
10,0.5090332
11,0.32263184
12,0.3746338
13,0.36999512
14,0.5515137
15,0.4802246
16,0.47338867
17,0.524292
18,0.526001
19,0.40527344
20,0.52233887
21,0.40441895
22,0.5274658
23,0.4942627
24,0.47460938
25,0.6324463
26,0.6212158
27,0.4440918
28,0.36218262
29,0.49572754
30,0.5209961
31,0.4260254
32,0.48937988
33,0.45300293
34,0.43078613
35,0.5633545
36,0.6221924
37,0.42370605
38,0.43408203
39,0.4375
40,0.5827637
41,0.49731445
42,0.46923828
43,0.48156738
44,0.59228516
45,0.54016113
46,0.5473633
47,0.35827637
48,0.48742676
49,0.5744629
50,0.48168945
51,0.3951416
52,0.5073242
53,0.45031738
54,0.4465332
55,0.5596924
56,0.46142578
57,0.48046875
58,0.61572266
59,0.5004883
60,0.6217041
61,0.4703369
62,0.48815918
63,0.5284424
64,0.5142822
65,0.545166
66,0.35632324
67,0.42333984
68,0.5456543
69,0.44104004
70,0.32141113
71,0.37646484
72,0.5386963
73,0.4248047
74,0.50634766
75,0.541626
76,0.5064697
77,0.4630127
78,0.42333984
79,0.4477539
80,0.41552734
81,0.50927734
82,0.5626221
83,0.5743408
84,0.5452881
85,0.4053955
86,0.4152832
87,0.38684082
88,0.4794922
89,0.6278076
90,0.50512695
91,0.56970215
92,0.41833496
93,0.4473877
94,0.5509033
95,0.5187988
96,0.5482178
97,0.50878906
98,0.36779785
99,0.47351074
100,0.41955566
101,0.50268555
102,0.71435547
103,0.48376465
104,0.46484375
105,0.6516113
106,0.6088867
107,0.43188477
108,0.46350098
109,0.44641113
110,0.53356934
111,0.46813965
112,0.5670166
113,0.5377197
114,0.5194092
115,0.39282227
116,0.57385254
117,0.5274658
118,0.57666016
119,0.5106201
120,0.56311035
121,0.6187744
122,0.48815918
123,0.39697266
124,0.42712402
125,0.5571289
126,0.5734863
127,0.611084
128,0.45300293
129,0.5369873
130,0.47998047
131,0.55407715
132,0.54296875
133,0.58618164
134,0.6945801
135,0.5827637
136,0.51123047
137,0.57751465
138,0.54833984
139,0.50219727
140,0.6340332
141,0.47314453
142,0.3996582
143,0.44970703
144,0.41748047
145,0.44470215
146,0.6109619
147,0.45825195
148,0.4979248
149,0.44396973
150,0.37438965
151,0.5202637
152,0.4921875
153,0.6431885
154,0.5447998
155,0.46850586
156,0.36315918
157,0.46740723
158,0.52563477
159,0.41674805
160,0.5456543
161,0.39331055
162,0.52038574
163,0.4560547
164,0.53222656
165,0.47546387
166,0.4390869
167,0.5332031
168,0.51745605
169,0.4876709
170,0.4276123
171,0.5595703
172,0.4020996
173,0.4918213
174,0.47937012
175,0.39978027
176,0.49951172
177,0.3223877
178,0.49035645
179,0.4798584
180,0.54345703
181,0.47729492
182,0.5079346
183,0.4987793
184,0.48620605
185,0.48010254
186,0.47399902
187,0.4970703
188,0.4909668
189,0.4621582
190,0.48291016
191,0.5111084
192,0.5091553
193,0.53308105
194,0.39978027
195,0.56274414
196,0.623291
197,0.47802734
198,0.52124023
199,0.66052246
200,0.6376953
201,0.595459
202,0.5852051
203,0.36010742
204,0.52490234
205,0.51086426
206,0.38342285
207,0.5168457
208,0.51672363
209,0.44189453
210,0.4819336
211,0.49743652
212,0.54296875
213,0.541626
214,0.44750977
215,0.40698242
216,0.5480957
217,0.5093994
218,0.39379883
219,0.4312744
220,0.43566895
221,0.4189453
222,0.5628662
223,0.6152344
224,0.6329346
225,0.54296875
226,0.48608398
227,0.44726562
228,0.64245605
229,0.5187988
230,0.5061035
231,0.33862305
232,0.44250488
233,0.56604004
234,0.6312256
235,0.61376953
236,0.5517578
237,0.41308594
238,0.5192871
239,0.6107178
240,0.44140625
241,0.4210205
242,0.47766113
243,0.5645752
244,0.5378418
245,0.59851074
246,0.5263672
247,0.5140381
248,0.4741211
249,0.4650879
250,0.47070312
251,0.46606445
252,0.57922363
253,0.3984375
254,0.46899414
255,0.4020996
256,0.42687988
257,0.59802246
258,0.51293945
259,0.52978516
260,0.36938477
261,0.49108887
262,0.5704346
263,0.5699463
264,0.45117188
265,0.38989258
266,0.47753906
267,0.50805664
268,0.48583984
269,0.58740234
270,0.53015137
271,0.59069824
272,0.41259766
273,0.39916992
274,0.4161377
275,0.5085449
276,0.57836914
277,0.49938965
278,0.5510254
279,0.460083
280,0.43554688
281,0.5699463
282,0.3433838
283,0.41064453
284,0.39001465
285,0.6779785
286,0.54174805
287,0.53479004
288,0.5135498
289,0.5440674
290,0.4699707
291,0.52490234
292,0.5498047
293,0.51794434
294,0.5529785
295,0.55944824
296,0.4144287
297,0.5098877
298,0.52233887
299,0.41809082
300,0.61828613
301,0.51831055
302,0.4099121
303,0.41149902
304,0.53466797
305,0.6352539
306,0.5909424
307,0.520874
308,0.5288086
309,0.6031494
310,0.55578613
311,0.5031738
312,0.43762207
313,0.56811523
314,0.57092285
315,0.5899658
316,0.5797119
317,0.55029297
318,0.6019287
319,0.8022461
320,0.48034668
321,0.44848633
322,0.49853516
323,0.44018555
324,0.3317871
325,0.5551758
326,0.5395508
327,0.5383301
328,0.5411377
329,0.5444336
330,0.54785156
331,0.5513916
332,0.5230713
333,0.53759766
334,0.40905762
335,0.5366211
336,0.45617676
337,0.6834717
338,0.6170654
339,0.52648926
340,0.51208496
341,0.4234619
342,0.4765625
343,0.515625
344,0.63378906
345,0.5496826
346,0.44274902
347,0.40771484
348,0.4263916
349,0.47973633
350,0.51782227
351,0.6105957
352,0.5644531
353,0.484375
354,0.47766113
355,0.30908203
356,0.50219727
357,0.36767578
358,0.46166992
359,0.4437256
360,0.47644043
361,0.3647461
362,0.38757324
363,0.42614746
364,0.42163086
365,0.3400879
366,0.44311523
367,0.6052246
368,0.48413086
369,0.64282227
370,0.59521484
371,0.7067871
372,0.6699219
373,0.48217773
374,0.43530273
375,0.5106201
376,0.4501953
377,0.3897705
378,0.3713379
379,0.38928223
380,0.42749023
381,0.38476562
382,0.38720703
383,0.47070312
384,0.4210205
385,0.5925293
386,0.59973145
387,0.53552246
388,0.4753418
389,0.45056152
390,0.43945312
391,0.42907715
392,0.40039062
393,0.44543457
394,0.5024414
395,0.44592285
396,0.4144287
397,0.42565918
398,0.41271973
399,0.5057373
400,0.58740234
401,0.52453613
402,0.45617676
403,0.39587402
404,0.48718262
405,0.60510254
406,0.4588623
407,0.43139648
408,0.40808105
409,0.5220947
410,0.45300293
411,0.44226074
412,0.5683594
413,0.6512451
414,0.5576172
415,0.44873047
416,0.57922363
417,0.46850586
418,0.46728516
419,0.5755615
420,0.57055664
421,0.4897461
422,0.6031494
423,0.76342773
424,0.5909424
425,0.47473145
426,0.48583984
427,0.47265625
428,0.5332031
429,0.611084
430,0.48962402
431,0.4182129
432,0.6191406
433,0.5839844
434,0.53723145
435,0.6781006
436,0.5378418
437,0.5093994
438,0.5095215
439,0.40283203
440,0.47839355
441,0.5845947
442,0.53674316
443,0.38330078
444,0.40625
445,0.50109863
446,0.4527588
447,0.44128418
448,0.5036621
449,0.5157471
450,0.50183105
451,0.60498047
452,0.49926758
453,0.5548096
454,0.5140381
455,0.61169434
456,0.6010742
457,0.53930664
458,0.60375977
459,0.42468262
460,0.4506836
461,0.53479004
462,0.59399414
463,0.5695801
464,0.5435791
465,0.5626221
466,0.607666
467,0.43408203
468,0.49890137
469,0.69970703
470,0.614624
471,0.43530273
472,0.53393555
473,0.6517334
474,0.54748535
475,0.52648926
476,0.4621582
477,0.65197754
478,0.63500977
479,0.6035156
480,0.4144287
481,0.45654297
482,0.55493164
483,0.5891113
484,0.41625977
485,0.5605469
486,0.51904297
487,0.47717285
488,0.5058594
489,0.4925537
490,0.4671631
491,0.5187988
492,0.5253906
493,0.6130371
494,0.5979004
495,0.46520996
496,0.49645996
497,0.6218262
498,0.53759766
499,0.5831299
500,0.61486816
501,0.6904297
502,0.4317627
503,0.55322266
504,0.7821045
505,0.51086426
506,0.5373535
507,0.5192871
508,0.47851562
509,0.45300293
510,0.48303223
511,0.41381836
512,0.5058594
513,0.49890137
514,0.6109619
515,0.39611816
516,0.46765137
517,0.48583984
518,0.638916
519,0.49108887
520,0.5152588
521,0.60668945
522,0.5946045
523,0.6101074
524,0.50964355
525,0.5588379
526,0.4613037
527,0.7376709
528,0.6308594
529,0.52282715
530,0.5253906
531,0.58239746
532,0.47021484
533,0.44799805
534,0.4165039
535,0.5455322
536,0.53466797
537,0.4375
538,0.45837402
539,0.5062256
540,0.5921631
541,0.4769287
542,0.49072266
543,0.46313477
544,0.54626465
545,0.545166
546,0.7471924
547,0.43469238
548,0.62475586
549,0.43823242
550,0.46020508
551,0.49768066
552,0.58862305
553,0.5081787
554,0.48937988
555,0.39257812
556,0.5317383
557,0.54711914
558,0.552124
559,0.4741211
560,0.51086426
561,0.51000977
562,0.64501953
563,0.5695801
564,0.37817383
565,0.5518799
566,0.38500977
567,0.4210205
568,0.6298828
569,0.4906006
570,0.46594238
571,0.47827148
572,0.6208496
573,0.62561035
574,0.61694336
575,0.6081543
576,0.48291016
577,0.37805176
578,0.4901123
579,0.51745605
580,0.4925537
581,0.4798584
582,0.50341797
583,0.6871338
584,0.69921875
585,0.43566895
586,0.49414062
587,0.45300293
588,0.43859863
589,0.3404541
590,0.3671875
591,0.38269043
592,0.4453125
593,0.541626
594,0.548584
595,0.7368164
596,0.5217285
597,0.62268066
598,0.6633301
599,0.73791504
600,0.46276855
601,0.4407959
602,0.58154297
603,0.64868164
604,0.51257324
605,0.44750977
606,0.51538086
607,0.48510742
608,0.4234619
609,0.4539795
610,0.5362549
611,0.44274902
612,0.45776367
613,0.4437256
614,0.45739746
615,0.52905273
616,0.55566406
617,0.40185547
618,0.3791504
619,0.63391113
620,0.6057129
621,0.508667
622,0.49621582
623,0.5151367
624,0.460083
625,0.4489746
626,0.54626465
627,0.6656494
628,0.52453613
629,0.53271484
630,0.40930176
631,0.49658203
632,0.64294434
633,0.6838379
634,0.6179199
635,0.5559082
636,0.46142578
637,0.6949463
638,0.51782227
639,0.51000977
640,0.63964844
641,0.5284424
642,0.6057129
643,0.6452637
644,0.44836426
645,0.46044922
646,0.46704102
647,0.4807129
648,0.39831543
