,0
0,0.12243652
1,0.51464844
2,0.6347656
3,0.49438477
4,0.53796387
5,0.4029541
6,0.6711426
7,0.515625
8,0.45422363
9,0.4794922
10,0.45288086
11,0.39282227
12,0.4116211
13,0.4658203
14,0.67993164
15,0.64941406
16,0.53234863
17,0.5135498
18,0.54345703
19,0.48364258
20,0.45837402
21,0.49890137
22,0.4691162
23,0.4383545
24,0.49645996
25,0.48388672
26,0.32421875
27,0.33825684
28,0.42614746
29,0.49804688
30,0.49804688
31,0.461792
32,0.41308594
33,0.62646484
34,0.6040039
35,0.36547852
36,0.57373047
37,0.64990234
38,0.6705322
39,0.68566895
40,0.53637695
41,0.4522705
42,0.6274414
43,0.6175537
44,0.6209717
45,0.51538086
46,0.50598145
47,0.46203613
48,0.43530273
49,0.5262451
50,0.5419922
51,0.5718994
52,0.5428467
53,0.5124512
54,0.5091553
55,0.4645996
56,0.46972656
57,0.4753418
58,0.51171875
59,0.4658203
60,0.4161377
61,0.546875
62,0.5386963
63,0.42016602
64,0.56347656
65,0.45361328
66,0.5197754
67,0.54260254
68,0.5085449
69,0.40979004
70,0.5123291
71,0.38781738
72,0.43078613
73,0.55651855
74,0.52319336
75,0.48303223
76,0.35839844
77,0.5593262
78,0.5686035
79,0.46203613
80,0.5496826
81,0.48217773
82,0.4847412
83,0.39208984
84,0.5164795
85,0.43945312
86,0.40551758
87,0.5543213
88,0.55822754
89,0.60253906
90,0.5267334
91,0.47229004
92,0.4749756
93,0.50805664
94,0.5686035
95,0.41833496
96,0.42871094
97,0.5609131
98,0.4390869
99,0.3577881
100,0.60498047
101,0.5493164
102,0.40844727
103,0.4272461
104,0.4645996
105,0.5313721
106,0.4781494
107,0.49853516
108,0.67785645
109,0.56140137
110,0.5506592
111,0.38378906
112,0.5854492
113,0.50109863
114,0.4486084
115,0.48339844
116,0.47827148
117,0.41088867
118,0.5506592
119,0.62316895
120,0.4309082
121,0.5079346
122,0.56066895
123,0.42504883
124,0.5300293
125,0.4234619
126,0.4798584
127,0.5876465
128,0.47839355
129,0.49645996
130,0.6048584
131,0.5518799
132,0.5617676
133,0.46777344
134,0.6236572
135,0.5316162
136,0.48571777
137,0.51538086
138,0.4005127
139,0.46411133
140,0.54052734
141,0.45739746
142,0.51953125
143,0.5793457
144,0.54345703
145,0.43151855
146,0.49780273
147,0.3791504
148,0.65441895
149,0.45324707
150,0.41101074
151,0.52905273
152,0.67211914
153,0.51135254
154,0.4625244
155,0.53552246
156,0.47924805
157,0.51452637
158,0.51086426
159,0.43530273
160,0.5780029
161,0.47937012
162,0.46350098
163,0.4876709
164,0.40698242
165,0.5227051
166,0.5383301
167,0.46350098
168,0.36584473
169,0.3857422
170,0.4975586
171,0.4498291
172,0.6275635
173,0.4819336
174,0.49658203
175,0.45629883
176,0.5447998
177,0.4046631
178,0.4749756
179,0.579834
180,0.5732422
181,0.513916
182,0.5517578
183,0.689209
184,0.5579834
185,0.59069824
186,0.41027832
187,0.5498047
188,0.56030273
189,0.513916
190,0.49047852
191,0.54003906
192,0.5975342
193,0.52783203
194,0.38830566
195,0.54052734
196,0.37426758
197,0.50842285
198,0.39916992
199,0.6085205
200,0.618042
201,0.44506836
202,0.6245117
203,0.53222656
204,0.3885498
205,0.5383301
206,0.5517578
207,0.62158203
208,0.40222168
209,0.5541992
210,0.3902588
211,0.3642578
212,0.4876709
213,0.5135498
214,0.5772705
215,0.58862305
216,0.43945312
217,0.4729004
218,0.592041
219,0.47851562
220,0.4489746
221,0.4312744
222,0.51989746
223,0.47912598
224,0.4071045
225,0.45703125
226,0.46435547
227,0.5596924
228,0.49316406
229,0.38781738
230,0.37646484
231,0.44091797
232,0.4696045
233,0.39050293
234,0.5469971
235,0.661499
236,0.59936523
237,0.50219727
238,0.48754883
239,0.5003662
240,0.7519531
241,0.536499
242,0.520874
243,0.4440918
244,0.4309082
245,0.36254883
246,0.41870117
247,0.7010498
248,0.6287842
249,0.44250488
250,0.52770996
251,0.5321045
252,0.4284668
253,0.5740967
254,0.6258545
255,0.57836914
256,0.49365234
257,0.4827881
258,0.47058105
259,0.5169678
260,0.5007324
261,0.6126709
262,0.44128418
263,0.5288086
264,0.51916504
265,0.41271973
266,0.44458008
267,0.3305664
268,0.4703369
269,0.45263672
270,0.4753418
271,0.5432129
272,0.49536133
273,0.5444336
274,0.460083
275,0.4227295
276,0.4691162
277,0.42260742
278,0.57299805
279,0.5991211
280,0.5539551
281,0.44519043
282,0.42297363
283,0.4128418
284,0.37353516
285,0.4321289
286,0.45922852
287,0.4996338
288,0.4675293
289,0.4350586
290,0.45922852
291,0.41394043
292,0.39013672
293,0.5197754
294,0.55322266
295,0.4967041
296,0.56677246
297,0.34020996
298,0.49804688
299,0.46447754
300,0.53234863
301,0.6520996
302,0.42858887
303,0.5196533
304,0.47668457
305,0.45007324
306,0.44250488
307,0.45483398
308,0.49902344
309,0.42797852
310,0.491333
311,0.40515137
312,0.54785156
313,0.58361816
314,0.62890625
315,0.5344238
316,0.585083
317,0.54504395
318,0.53808594
319,0.45654297
320,0.47070312
321,0.39697266
322,0.55029297
323,0.55200195
324,0.43444824
325,0.63671875
326,0.48120117
327,0.33337402
328,0.4868164
329,0.6335449
330,0.47827148
331,0.63220215
332,0.5701904
333,0.53344727
334,0.5402832
335,0.6945801
336,0.45983887
337,0.4650879
338,0.45581055
339,0.51049805
340,0.50891113
341,0.5461426
342,0.55163574
343,0.49121094
344,0.4975586
345,0.6407471
346,0.62390137
347,0.5897217
348,0.48571777
349,0.5371094
350,0.5539551
351,0.49084473
352,0.5437012
353,0.6566162
354,0.47680664
355,0.536499
356,0.7011719
357,0.5275879
358,0.506958
359,0.48583984
360,0.48388672
361,0.38427734
362,0.4753418
363,0.45178223
364,0.45910645
365,0.44885254
366,0.55126953
367,0.5621338
368,0.5686035
369,0.46740723
370,0.595459
371,0.63708496
372,0.51123047
373,0.5670166
374,0.6166992
375,0.6044922
376,0.5001221
377,0.53234863
378,0.53344727
379,0.35949707
380,0.52319336
381,0.5437012
382,0.61328125
383,0.6300049
384,0.58483887
385,0.5389404
386,0.43103027
387,0.47460938
388,0.44799805
389,0.46289062
390,0.5529785
391,0.4876709
392,0.50683594
393,0.47961426
394,0.41137695
395,0.46972656
396,0.47387695
397,0.3848877
398,0.42456055
399,0.7092285
400,0.5908203
401,0.5321045
402,0.5753174
403,0.7154541
404,0.4329834
405,0.4613037
406,0.47558594
407,0.56481934
408,0.47375488
409,0.52453613
410,0.6595459
411,0.5130615
412,0.36071777
413,0.5238037
414,0.54455566
415,0.4658203
416,0.5509033
417,0.59399414
418,0.58569336
419,0.5390625
420,0.47375488
421,0.6109619
422,0.5904541
423,0.56518555
424,0.48950195
425,0.5671387
426,0.4453125
427,0.50354004
428,0.46691895
429,0.47729492
430,0.6016846
431,0.52075195
432,0.55041504
433,0.53796387
434,0.56555176
435,0.41748047
436,0.6014404
437,0.56066895
438,0.51501465
439,0.5053711
440,0.36999512
441,0.48486328
442,0.49682617
443,0.3416748
444,0.45532227
445,0.5336914
446,0.51000977
