,0
0,0.35804716
1,0.8063349
2,0.8845198
3,0.89184
4,0.86632085
5,0.7806911
6,1.0126193
7,0.85167
8,0.8173558
9,0.85371387
10,0.76449305
11,0.6208748
12,0.8189358
13,0.79106563
14,0.9568817
15,1.0215641
16,1.0042286
17,0.8138882
18,0.7890647
19,0.90932995
20,0.80720973
21,0.8093381
22,0.71450734
23,0.78552496
24,0.88635886
25,0.84749395
26,0.6591153
27,0.66966295
28,0.7438977
29,0.7700739
30,0.78327614
31,0.7564857
32,0.77293366
33,1.0221534
34,0.8838412
35,0.7335232
36,1.016674
37,0.8599372
38,0.90596485
39,1.0326456
40,0.80108875
41,0.8346834
42,1.0623248
43,1.1359491
44,0.95747703
45,0.90988374
46,0.8347105
47,0.69458294
48,0.74916214
49,0.8957062
50,0.89415103
51,0.8142747
52,0.8825677
53,0.7502221
54,0.77900565
55,0.7564609
56,0.7242058
57,0.83158326
58,0.8810391
59,0.7602193
60,0.8079965
61,0.8717483
62,0.9950082
63,0.7435967
64,0.94057083
65,0.89690316
66,0.9180269
67,0.82806593
68,0.7520816
69,0.7844324
70,0.8572633
71,0.7088429
72,0.86835426
73,0.9107092
74,0.8975916
75,0.8490642
76,0.6715298
77,0.9184674
78,0.93771905
79,0.9642902
80,0.9788403
81,0.90327996
82,0.8204307
83,0.6669083
84,0.84658843
85,0.8322736
86,0.77942485
87,0.96333176
88,0.91717094
89,0.9191396
90,0.84825754
91,0.84476167
92,0.83704525
93,0.92913747
94,0.88810074
95,0.8478944
96,0.77512246
97,0.8762002
98,0.8336186
99,0.7499373
100,0.85495585
101,0.7545055
102,0.6522894
103,0.751975
104,0.91753
105,0.7601659
106,0.78706443
107,1.0071766
108,0.99111146
109,0.8860322
110,0.96809745
111,1.1135268
112,0.83065873
113,0.68123055
114,0.9328927
115,0.8041567
116,0.9732078
117,0.8580911
118,0.93764776
119,0.8168003
120,0.8729108
121,0.781877
122,0.9561248
123,0.97221327
124,0.93417126
125,0.84233403
126,0.87738794
127,0.8256271
128,0.9909484
129,0.9612567
130,0.85540456
131,0.92143816
132,0.97901696
133,0.81339157
134,0.8094293
135,0.58137363
136,0.6929224
137,0.71618223
138,0.6635779
139,1.0428061
140,0.71925277
141,0.7178759
142,0.7388774
143,0.7749465
144,0.88873345
145,0.72917074
146,1.2591536
147,0.8241347
148,0.8673588
149,0.77698505
150,0.962591
151,0.8345456
152,0.7314491
153,0.7846254
154,0.82933974
155,0.68491614
156,0.702033
157,0.73621017
158,0.90611285
159,1.0578642
160,0.83719856
161,0.7790029
162,0.90306735
163,0.8201853
164,0.76667494
165,0.8130754
166,0.7674119
167,0.708588
168,0.7413022
169,0.8249475
170,0.90003043
171,0.85127324
172,0.93109196
173,0.9806392
174,0.9565996
175,0.9251712
176,0.9888282
177,0.9216677
178,0.91622174
179,0.7432045
180,0.93510807
181,0.8187714
182,0.8405455
183,0.81646746
184,0.818574
185,0.9457951
186,0.74657345
187,0.7546797
188,0.84545696
189,0.87535113
190,0.97162616
191,0.96090156
192,0.89906645
193,0.91295886
194,0.77900165
195,0.8615344
196,0.72472507
197,0.8356813
198,0.82766837
199,0.84441847
200,0.9689408
201,1.0138191
202,1.1270604
203,0.8477816
204,0.8950187
205,0.86643183
206,0.8801016
207,0.95444435
208,0.82211876
209,0.79148984
210,0.8026665
211,0.7792791
212,0.8697857
213,0.8015883
214,0.7101644
215,0.7049318
216,0.93773323
217,0.73204416
218,0.9420031
219,0.914656
220,0.85696566
221,0.8336321
222,0.79113746
223,0.7523434
224,0.69425255
225,0.95200205
226,1.0379704
227,0.9803123
228,0.88785595
229,0.7851984
230,0.9479057
231,0.72691995
232,0.7481213
233,0.8267125
234,0.8411208
235,0.86997855
236,0.86231774
237,0.650979
238,0.7074924
239,0.8621382
240,0.7116366
241,1.0134864
242,0.83870226
243,0.7656759
244,0.75897205
245,0.83217597
246,0.9603412
247,0.87893575
248,0.8418803
249,0.69854987
250,0.7388271
251,0.8606439
252,0.75985533
253,0.8611399
254,0.77637863
255,0.7515978
256,0.79664063
257,0.7875503
258,0.8641472
259,0.7118143
260,0.7520729
261,0.78504467
262,0.8216009
263,0.6353327
264,0.8100311
265,0.7607133
266,1.0733696
267,0.90597963
268,0.97869515
269,0.741663
270,0.68380606
271,0.8191865
272,0.7307177
273,0.85789967
274,0.84986246
275,0.7635095
276,1.0978107
277,0.8483936
278,0.7702639
279,0.86263984
280,0.7870936
281,0.8687499
282,0.72505057
283,0.9329639
284,0.84897804
285,0.89714783
286,0.9443505
287,0.8427502
288,0.6935507
289,0.8424463
290,0.81197745
291,0.938123
292,0.87965333
293,1.02179
294,0.9037721
295,0.8261411
296,0.7475287
297,0.71623147
298,0.9537206
299,0.84139395
300,0.7436155
301,0.7679737
302,0.7394248
303,0.79359305
304,0.8346629
305,0.9156111
306,1.0410484
307,0.899748
308,0.8841556
309,0.7888114
310,0.66524285
311,0.8016355
312,0.8266651
313,0.8654528
314,0.9417151
315,0.9218105
316,1.0053852
317,0.8766855
318,0.7600228
319,0.8531996
320,0.89011973
321,0.8845326
322,0.8422584
323,0.69171447
324,0.76272565
325,0.90674406
326,0.7986512
327,0.82655776
328,1.2294035
329,0.9185674
330,0.77266926
331,0.7469743
332,0.7140581
333,0.86418104
334,0.98630863
335,0.80103314
336,0.8090064
337,0.7856031
338,1.2249025
339,0.9097024
340,0.7532112
341,0.7742349
342,0.71525764
343,0.9529201
344,0.87876713
345,0.7817473
346,0.99378455
347,0.85503787
348,1.1928916
349,0.81428885
350,0.7482281
