,0
0,0.35546875
1,0.42858887
2,0.44311523
3,0.4000244
4,0.39367676
5,0.40234375
6,0.46350098
7,0.4124756
8,0.4736328
9,0.48583984
10,0.5031738
11,0.5534668
12,0.524292
13,0.5821533
14,0.50561523
15,0.58984375
16,0.54919434
17,0.61621094
18,0.6566162
19,0.6588135
20,0.7438965
21,0.74438477
22,0.7755127
23,0.7741699
24,0.8905029
25,0.81970215
26,0.85009766
27,0.99658203
28,1.1104736
29,1.0701904
30,1.2352295
31,1.1589355
32,1.142456
33,1.2679443
34,1.2783203
35,1.3393555
36,1.5172119
37,1.5460205
38,1.5842285
39,1.5826416
40,1.6281738
41,1.7998047
42,1.9234619
43,1.8543701
44,1.8116455
45,1.8762207
46,1.9632568
47,1.8642578
48,2.1531982
49,2.3277588
50,2.3125
51,2.064209
52,2.253418
53,2.2697754
54,2.3677979
55,2.4161377
56,2.453003
57,2.659668
58,2.319458
59,2.4956055
60,2.5620117
61,2.71521
62,2.6501465
63,2.762329
64,2.8199463
65,2.798584
66,2.612793
67,2.7839355
68,2.920166
69,2.7106934
70,2.7843018
71,2.9223633
72,2.949707
73,2.894043
74,2.8520508
75,2.8250732
76,3.0379639
77,2.732666
78,2.956665
79,3.0286865
80,2.9805908
81,3.2835693
82,3.1132812
83,3.1516113
84,3.2281494
85,3.2719727
86,3.355713
87,3.1740723
88,3.20813
89,3.199829
90,3.499878
91,3.3937988
92,3.3588867
93,3.5334473
94,3.3261719
95,3.328247
96,3.272583
97,3.467163
98,3.4573975
99,3.5927734
100,3.496704
101,3.3569336
102,3.4488525
103,3.550537
104,3.5179443
105,3.5916748
106,3.675415
107,3.4450684
108,3.7269287
109,3.6323242
110,3.7520752
111,3.6741943
112,3.6472168
113,3.7564697
114,3.5358887
115,3.901245
116,4.0063477
117,4.024292
118,3.7592773
119,3.8482666
120,3.9829102
121,3.9326172
122,3.8284912
123,3.8579102
124,4.1068115
125,4.1033936
126,3.9136963
127,4.140259
128,4.1520996
129,4.248169
130,4.2421875
131,4.1627197
132,4.4718018
133,4.359619
134,4.154175
135,4.0926514
136,4.1746826
137,4.327759
138,4.302368
139,4.220337
140,4.105957
141,4.2124023
142,4.3063965
143,4.392334
144,4.3551025
145,4.505493
146,4.444702
147,4.4588623
148,4.251709
149,4.209717
150,4.4782715
151,4.5686035
152,4.3931885
153,4.5565186
