,0
0,0.6227376
1,0.6855641
2,0.6860328
3,0.6689726
4,0.64757967
5,0.6592079
6,0.69131464
7,0.6721696
8,0.6785915
9,0.67985415
10,0.70190144
11,0.7776936
12,0.6939652
13,0.8295029
14,0.7452438
15,0.827526
16,0.77750456
17,0.78851056
18,0.87674636
19,0.8336625
20,0.8909466
21,0.8666412
22,0.96989393
23,0.9189714
24,1.0017551
25,1.0030897
26,1.0123698
27,1.0733534
28,1.2665421
29,1.2541261
30,1.1916924
31,1.2788213
32,1.194917
33,1.3196819
34,1.3962065
35,1.3257602
36,1.4252867
37,1.4371878
38,1.4290634
39,1.4700812
40,1.3292925
41,1.5719898
42,1.5714202
43,1.6103328
44,1.5508301
45,1.5049758
46,1.5001603
47,1.4280878
48,1.5049858
49,1.5366204
50,1.6092232
51,1.4483383
52,1.5945885
53,1.5853715
54,1.6323012
55,1.7099342
56,1.5523854
57,1.6284201
58,1.5122781
59,1.5341904
60,1.5586866
61,1.6584811
62,1.61918
63,1.6343726
64,1.6291046
65,1.6633716
66,1.6639627
67,1.706117
68,1.7376021
69,1.698472
70,1.617918
71,1.7009958
72,1.658065
73,1.5434
74,1.6877416
75,1.5802249
76,1.7269405
77,1.7027143
78,1.5952663
79,1.6223783
80,1.6090684
81,1.7408476
82,1.7444413
83,1.6920404
84,1.7109407
85,1.7006879
86,1.6920315
87,1.5691956
88,1.6622145
89,1.6114929
90,1.6767597
91,1.6375569
92,1.735461
93,1.6761348
94,1.6640613
95,1.7335421
96,1.7149931
97,1.6762198
98,1.6242911
99,1.6148831
100,1.5981829
101,1.6862093
102,1.5413637
103,1.6689913
104,1.7513025
105,1.7673924
106,1.7772683
107,1.6985778
108,1.6590536
109,1.725433
110,1.7264552
111,1.7011678
112,1.7042161
113,1.6442356
114,1.6946265
115,1.6543735
116,1.7343633
117,1.8171468
118,1.7560335
119,1.5952963
120,1.6738307
121,1.678026
122,1.7750725
123,1.7053671
124,1.655201
125,1.6654897
126,1.6885116
127,1.6945686
128,1.6869385
129,1.6048356
130,1.6529115
131,1.6867075
132,1.6289572
133,1.7135063
134,1.7360729
135,1.7159308
136,1.6031063
137,1.7048074
138,1.6557353
139,1.67768
140,1.709136
141,1.6683087
142,1.6613625
143,1.6394727
144,1.6526351
145,1.508349
146,1.648232
147,1.7173338
148,1.8090949
149,1.7980875
150,1.626957
151,1.658292
152,1.6250203
153,1.5963457
154,1.6633973
155,1.5516565
156,1.3555431
157,1.5930605
158,1.6025295
159,1.688591
160,1.6855904
161,1.4989892
162,1.4765818
163,1.5260048
164,1.3636949
165,1.6768202
166,1.5370076
167,1.5847708
168,1.3133813
169,1.5208256
170,1.475671
171,1.6256732
172,1.4871982
173,1.579609
174,1.4024745
175,1.6005548
176,1.5929277
177,1.4639801
178,1.5188959
179,1.6157087
180,1.5018841
181,1.5384196
182,1.4965172
183,1.358175
184,1.5137132
185,1.6685209
186,1.2882966
187,1.3281709
188,1.358505
189,1.4860702
190,1.4423838
191,1.3171487
192,1.2811471
193,1.3170631
194,1.449665
195,1.3822665
196,1.2620581
197,1.2577267
198,1.2140838
199,1.4060249
200,1.2411227
201,1.1702172
202,1.2896221
203,1.2655673
204,1.3982319
205,1.2323154
206,1.3066009
207,1.3635688
208,1.3278993
209,1.3622836
210,1.1872317
211,1.4436816
212,1.3172169
213,1.2802217
214,1.25214
215,1.40048
216,1.5090959
217,1.4819964
218,1.3015392
219,1.4099398
220,1.2834737
221,1.4106007
222,1.3667512
223,1.3807361
224,1.29665
225,1.2871898
226,1.4931537
227,1.3187671
228,1.1884011
229,1.1653037
230,1.2582047
231,0.9403257
232,1.0357683
233,1.4312986
234,1.195756
235,1.2486429
236,1.3177816
237,1.3123417
238,1.1660516
239,1.1716124
240,1.269108
241,1.3321091
242,1.3777554
243,1.2387528
244,1.0444375
245,1.3073866
246,1.1848794
247,0.94158596
248,0.96503294
249,0.9819364
250,1.3147336
251,1.3476104
252,1.1003938
253,1.2807785
254,1.2417371
255,1.2934356
256,1.4624797
257,1.2769991
258,1.4240499
259,1.504747
260,1.2914941
261,1.0921347
262,1.3510511
263,1.4101692
264,1.3579645
265,1.182528
266,1.5595618
267,1.3096381
268,1.2826003
269,1.2023239
270,1.1671189
271,1.5086445
272,1.5757225
273,1.46071
274,1.2483069
275,1.1061405
276,1.368008
277,1.0521047
278,0.9786367
279,1.2554182
280,1.2827431
281,1.2585754
282,1.1903982
283,1.3046098
284,1.3228828
285,1.1544473
286,0.91958743
287,1.1726377
288,1.2586409
289,1.1297967
290,1.4207983
291,1.1404092
292,1.1257622
293,1.286941
294,1.3506948
295,1.2359257
296,1.1441302
297,1.2339731
298,1.0502397
299,1.1795566
300,1.3364873
301,1.1986253
302,1.2846388
303,1.1552953
304,1.3976699
305,1.3310269
306,1.3692938
307,1.1786357
308,1.1289945
309,1.2170256
310,1.2001493
311,1.1661528
312,1.2171302
313,1.3086165
314,1.1805161
315,1.0769943
316,1.0736792
317,1.0495969
318,1.1706356
319,1.4068178
320,1.3801953
321,1.5242412
322,1.2105384
323,1.5442439
324,1.4277142
325,0.96561
326,1.2045554
327,1.2152835
328,1.2443677
329,1.1721232
330,1.034563
331,1.0882522
332,1.0190326
333,1.0815232
334,1.1480466
335,1.1518625
336,1.3222805
337,1.1687953
338,0.9527081
339,1.316667
340,1.2792914
341,1.1467965
342,1.4787338
343,0.9524568
344,1.2625313
345,1.2034293
346,1.2930131
347,1.2786956
348,1.093027
349,1.3767691
350,1.216242
351,1.3216522
352,1.1145825
353,1.1397069
354,1.012036
355,1.0096086
356,1.0598955
357,1.384994
358,1.1622851
359,1.3611642
360,1.2946193
361,1.1357036
362,1.3109049
363,1.1415291
364,1.0370098
365,1.0821902
366,1.0777569
367,1.3225516
368,1.1149719
369,1.2069013
370,1.172857
371,1.1516713
372,1.4648197
373,1.0211816
374,1.0443538
375,1.2770323
376,1.3155988
377,1.2271965
378,1.2898632
379,1.2647175
380,1.2067202
381,1.2653219
382,1.3940552
383,1.2758151
384,1.3225464
385,0.9675772
386,1.0238993
387,1.1903707
388,0.85082656
389,1.00427
390,1.1505522
391,1.0496747
392,0.8800977
393,1.3867522
394,1.1123774
395,1.0076435
396,1.1592004
397,1.2180226
398,1.1852978
399,1.2302822
400,1.1226677
401,1.0182976
402,1.101812
403,1.190545
404,1.0210695
405,1.1688448
406,1.0379678
407,1.25115
408,0.9696044
409,1.050999
410,1.117568
411,1.089479
412,1.2789369
413,1.0017498
414,1.0001789
415,1.2428445
416,1.0367429
417,0.8901463
