,0
0,0.35546875
1,0.42858887
2,0.44311523
3,0.4000244
4,0.39294434
5,0.4074707
6,0.47375488
7,0.4152832
8,0.49597168
9,0.48461914
10,0.47595215
11,0.53674316
12,0.51672363
13,0.52978516
14,0.5522461
15,0.6326904
16,0.595459
17,0.58166504
18,0.6065674
19,0.63427734
20,0.732666
21,0.78015137
22,0.78845215
23,0.7869873
24,0.9251709
25,0.8088379
26,0.94714355
27,0.9465332
28,1.0092773
29,1.1044922
30,1.203125
31,1.1733398
32,1.3238525
33,1.4361572
34,1.4107666
35,1.4222412
36,1.5368652
37,1.5471191
38,1.661499
39,1.6661377
40,1.7305908
41,1.7418213
42,1.7772217
43,1.934082
44,2.0596924
45,2.1136475
46,2.208374
47,2.1287842
48,2.338623
49,2.33313
50,2.2746582
51,2.213623
52,2.428711
53,2.64563
54,2.5247803
55,2.5029297
56,2.465332
57,2.7288818
58,2.7248535
59,2.7878418
60,2.7037354
61,2.710083
62,2.8345947
63,2.927002
64,2.78833
65,2.9454346
66,2.91687
67,3.0072021
68,3.3070068
69,3.0876465
70,2.923462
71,3.13562
72,3.2425537
73,3.1878662
74,3.3549805
75,3.224121
76,3.3009033
77,3.3620605
78,3.1381836
79,3.3216553
80,3.270874
81,3.2769775
82,3.3032227
83,3.2600098
84,3.4084473
85,3.460083
86,3.6594238
87,3.284546
88,3.4693604
89,3.2736816
90,3.6343994
91,3.449585
92,3.687622
93,3.6253662
94,3.6660156
95,3.4987793
96,3.8083496
97,3.8424072
98,3.4788818
99,3.9644775
100,3.8908691
101,3.6989746
102,3.876831
103,3.923462
104,3.9760742
105,4.0705566
106,3.9660645
107,4.0198975
108,3.8469238
109,4.131714
110,4.031494
111,4.069824
112,3.8868408
113,4.135498
114,4.234619
115,4.1884766
116,4.085327
117,4.2473145
118,3.9676514
119,4.296997
120,4.1053467
121,4.006836
122,4.3239746
123,4.1757812
124,4.321533
125,4.1065674
126,4.2749023
127,4.420166
128,4.4473877
129,4.3879395
130,4.10083
131,4.3149414
132,4.3311768
133,4.62146
134,4.364746
135,4.7974854
136,4.6383057
137,4.2943115
138,4.529297
139,4.4020996
140,4.4918213
141,4.5668945
142,4.5113525
143,4.595337
144,4.4071045
145,4.5334473
146,4.650879
147,4.631714
148,4.718384
149,4.592163
150,4.6916504
151,4.688843
152,4.4902344
153,4.620117
