,0
0,0.6227376
1,0.6855641
2,0.6860328
3,0.6689726
4,0.647459
5,0.66160965
6,0.7124689
7,0.67975086
8,0.7416418
9,0.67568517
10,0.6679813
11,0.76058125
12,0.73101866
13,0.7541172
14,0.78387356
15,0.8210016
16,0.80778
17,0.7929873
18,0.7688839
19,0.8508306
20,0.8840587
21,0.9712074
22,0.93086106
23,0.9390152
24,1.1687003
25,0.90454036
26,1.1068475
27,1.1037811
28,1.0724087
29,1.1439673
30,1.1720834
31,1.1320232
32,1.3292192
33,1.4015812
34,1.4055887
35,1.3881855
36,1.3509467
37,1.4260675
38,1.420601
39,1.3580222
40,1.3414048
41,1.4173586
42,1.4912843
43,1.4748214
44,1.447562
45,1.5189717
46,1.6023551
47,1.4634005
48,1.6654732
49,1.5829972
50,1.576458
51,1.5833921
52,1.4855802
53,1.6120005
54,1.5986587
55,1.5351791
56,1.6136776
57,1.6096693
58,1.6501231
59,1.5961999
60,1.704236
61,1.5696254
62,1.562275
63,1.6126406
64,1.613787
65,1.6210126
66,1.5644803
67,1.5609453
68,1.5214472
69,1.5427948
70,1.4311428
71,1.6364596
72,1.6235176
73,1.6991813
74,1.6046226
75,1.6706822
76,1.5930097
77,1.6710491
78,1.5993648
79,1.6038624
80,1.6590012
81,1.6776626
82,1.6402748
83,1.6314372
84,1.6400254
85,1.7714139
86,1.7904657
87,1.726755
88,1.5306623
89,1.7672724
90,1.7618518
91,1.7002147
92,1.5982275
93,1.7101052
94,1.7164011
95,1.6761514
96,1.7077856
97,1.6223317
98,1.7389119
99,1.7009636
100,1.7862208
101,1.7098742
102,1.759042
103,1.7954234
104,1.6606392
105,1.7906837
106,1.6863106
107,1.686332
108,1.732889
109,1.7173868
110,1.7604678
111,1.6245935
112,1.7449895
113,1.6295099
114,1.7150878
115,1.7379194
116,1.7814752
117,1.7342478
118,1.6428231
119,1.6652913
120,1.540798
121,1.6112158
122,1.7953546
123,1.6671336
124,1.619221
125,1.6994503
126,1.6121897
127,1.3978863
128,1.682349
129,1.6800013
130,1.4650029
131,1.644707
132,1.5750557
133,1.6176386
134,1.642043
135,1.5872355
136,1.5213042
137,1.5941997
138,1.4131026
139,1.4578844
140,1.518523
141,1.5318098
142,1.553181
143,1.624178
144,1.6345949
145,1.4667271
146,1.4619029
147,1.5946872
148,1.5274549
149,1.537365
150,1.6002834
151,1.3584542
152,1.483542
153,1.3891413
154,1.5663348
155,1.605223
156,1.4816513
157,1.3852237
158,1.6407427
159,1.5549852
160,1.4040886
161,1.3776034
162,1.6559137
163,1.566796
164,1.2542992
165,1.4266056
166,1.4428383
167,1.3075023
168,1.2659266
169,1.2546177
170,1.3277586
171,1.3663917
172,1.5369539
173,1.3621702
174,1.2345368
175,1.2197503
176,1.4555386
177,1.0702076
178,1.350016
179,1.4875978
180,1.3536314
181,1.3821912
182,1.1279553
183,1.24493
184,1.2991645
185,1.3979704
186,1.3889856
187,1.2454699
188,1.3712083
189,1.2033956
190,1.3444544
191,1.3226067
192,1.3672804
193,1.2543317
194,1.2293962
195,1.0135803
196,1.3172394
197,1.4383887
198,1.1862203
199,1.3926871
200,1.1627485
201,0.9100948
202,1.1842504
203,1.1277245
204,1.2434748
205,0.9777144
206,1.0814764
207,1.2211732
208,1.3664833
209,0.98661566
210,1.1852543
211,1.1157179
212,1.1995865
213,1.253148
214,1.277522
215,1.0493395
216,1.499399
217,1.3416154
218,1.1253508
219,0.93502074
220,1.2669754
221,1.0727444
222,0.9883848
223,1.2395859
224,1.2303283
225,1.2836034
226,1.0789632
227,1.0361947
228,1.3847349
229,1.2566253
230,1.1793615
231,1.0069054
232,1.2596492
233,1.2283667
234,1.2050098
235,1.0245332
236,1.1141658
237,1.1303387
238,0.8187379
239,0.97224855
240,0.9368847
241,1.0076259
242,1.0820427
243,1.0783072
244,1.070307
245,0.96361
246,1.1445957
247,1.0488595
248,1.1978045
249,1.166787
250,0.95177615
251,1.1213644
252,0.9479825
253,0.897255
254,1.183598
255,1.1617057
256,1.1451218
257,0.91353315
258,1.0603338
259,1.1400573
260,1.0161892
261,1.1176512
262,1.0825
263,0.99506384
264,0.8316848
265,0.8019759
266,1.0257008
267,0.9942595
268,1.2265972
269,1.1020265
270,1.1452901
271,1.0425662
272,1.1399411
273,0.93934125
274,1.1594881
275,0.88475
276,0.9719066
277,1.0959401
278,1.1651939
279,1.0963382
280,1.0799288
281,0.8872376
282,1.0705018
283,1.1159092
284,1.0537322
285,1.0425717
286,0.83398306
287,0.9071582
288,0.79562724
289,0.8118931
290,0.90197355
291,1.0916396
292,0.9226944
293,1.0575203
294,1.0549605
295,1.0671675
296,1.059391
297,0.9661084
298,0.974667
299,0.8073401
300,1.0493004
301,0.8756439
302,0.90422726
303,1.0634631
304,0.7793652
305,0.92880017
306,0.95781136
307,1.1954765
308,1.0012482
309,0.83741784
310,0.92343897
311,0.8522309
312,0.931046
313,0.9413218
314,0.8315688
315,1.0608256
316,0.9119993
317,0.92243516
318,0.85285157
319,0.9679735
320,0.98217106
321,1.1773884
322,0.71405536
323,0.9619045
324,0.9403234
325,0.8809114
326,1.0233372
327,0.9161757
328,1.1217211
329,0.9585644
330,0.8547438
331,0.8060226
332,0.96087396
333,0.69479585
334,0.82292414
335,0.937036
336,0.87631553
337,0.7718123
338,1.1572481
339,1.0479054
340,0.88852805
341,1.0089928
342,0.8035869
343,0.9842271
344,1.0852273
345,1.0486968
346,0.9160852
347,0.9186022
348,0.93585086
349,1.078454
350,0.8874968
351,0.99051636
352,0.7995523
353,0.7609901
354,0.92684025
355,1.0725913
356,0.9913369
357,1.1143016
358,0.7604824
359,0.62425065
360,0.89101714
361,1.0543274
362,0.905784
363,0.90002686
364,0.9835356
365,0.8720569
366,0.84263235
367,0.75806475
368,0.9290425
369,0.9698483
370,1.052308
371,0.99585336
372,1.1620971
373,0.76721776
374,0.91682756
375,0.9541423
376,0.8995897
377,0.97590095
378,1.0856038
379,1.0267075
380,0.81133133
381,0.6712817
382,0.83588195
383,0.8337018
384,0.84961814
385,0.88547057
386,1.1452177
387,0.9080202
388,0.85400856
389,0.7854804
390,0.8261612
391,0.8643441
392,0.87668693
393,0.84084105
394,0.9573019
395,0.96814865
396,0.88269585
397,0.7725075
398,0.80181974
399,0.8729632
400,0.7519714
401,0.8361986
402,0.8050793
403,0.74133617
404,1.1896567
405,1.1043634
406,0.73018306
407,0.77085304
408,0.71340793
409,0.7681892
410,1.0255015
411,0.6243388
412,0.73263407
413,0.8255721
414,0.9702193
415,0.7273938
416,0.6859574
