,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.1875
61,0.3125
62,0.3125
63,0.3125
64,0.1875
65,0.3125
66,0.3125
67,0.3125
68,0.1875
69,0.3125
70,0.3125
71,0.3125
72,0.1875
73,0.3125
74,0.3125
75,0.3125
76,0.1875
77,0.3125
78,0.3125
79,0.3125
80,0.1875
81,0.3125
82,0.3125
83,0.3125
84,0.125
85,0.0
86,0.25
87,0.25
88,0.125
89,0.0
90,0.25
91,0.25
92,0.125
93,0.0
94,0.25
95,0.25
96,0.125
97,0.0
98,0.25
99,0.25
100,0.25
101,0.25
102,0.375
103,0.25
104,0.25
105,0.25
106,0.375
107,0.25
108,0.375
109,0.375
110,0.4375
111,0.5
112,0.375
113,0.375
114,0.4375
115,0.5
116,0.375
117,0.375
118,0.4375
119,0.5
120,0.375
121,0.375
122,0.4375
123,0.5
124,0.375
125,0.5
126,0.4375
127,0.5
128,0.375
129,0.5
130,0.4375
131,0.5
132,0.125
133,0.5
134,0.4375
135,0.375
136,0.125
137,0.5
138,0.4375
139,0.375
140,0.125
141,0.5
142,0.4375
143,0.375
144,0.125
145,0.5
146,0.4375
147,0.375
148,0.1875
149,0.5
150,0.375
151,0.3125
152,0.1875
153,0.5
154,0.375
155,0.3125
156,0.25
157,0.5
158,0.5625
159,0.3125
160,0.25
161,0.5
162,0.5625
163,0.3125
164,0.25
165,0.375
166,0.5625
167,0.3125
168,0.25
169,0.375
170,0.5625
171,0.3125
172,0.3125
173,0.5
174,0.625
175,0.4375
176,0.3125
177,0.5
178,0.625
179,0.4375
180,0.4375
181,0.4375
182,0.5
183,0.5
184,0.4375
185,0.4375
186,0.5
187,0.5
188,0.4375
189,0.3125
190,0.4375
191,0.75
192,0.4375
193,0.3125
194,0.4375
195,0.75
196,0.5
197,0.3125
198,0.4375
199,0.6875
200,0.5
201,0.3125
202,0.4375
203,0.6875
204,0.375
205,0.375
206,0.4375
207,0.625
208,0.375
209,0.375
210,0.4375
211,0.625
212,0.4375
213,0.375
214,0.5
215,0.625
216,0.4375
217,0.375
218,0.5
219,0.625
220,0.4375
221,0.3125
222,0.5
223,0.5625
224,0.4375
225,0.3125
226,0.5
227,0.5625
228,0.4375
229,0.25
230,0.6875
231,0.5625
232,0.4375
233,0.25
234,0.6875
235,0.5625
236,0.375
237,0.125
238,0.5625
239,0.625
240,0.375
241,0.125
242,0.5625
243,0.625
244,0.3125
245,0.1875
246,0.5625
247,0.625
248,0.3125
249,0.1875
250,0.5625
251,0.625
252,0.125
253,0.25
254,0.5625
255,0.4375
256,0.125
257,0.25
258,0.5625
259,0.4375
260,0.125
261,0.5625
262,0.4375
263,0.4375
264,0.125
265,0.5625
266,0.4375
267,0.4375
268,0.1875
269,0.6875
270,0.4375
271,0.375
272,0.1875
273,0.6875
274,0.4375
275,0.375
276,0.25
277,0.875
278,0.375
279,0.4375
280,0.25
281,0.875
282,0.375
283,0.4375
284,0.25
285,0.6875
286,0.3125
287,0.5
288,0.25
289,0.6875
290,0.3125
291,0.5
292,0.3125
293,0.6875
294,0.25
295,0.4375
296,0.3125
297,0.6875
298,0.25
299,0.4375
300,0.25
301,0.4375
302,0.25
303,0.3125
304,0.25
305,0.4375
306,0.25
307,0.3125
308,0.25
309,0.4375
310,0.3125
311,0.375
312,0.25
313,0.4375
314,0.3125
315,0.375
316,0.375
317,0.5
318,0.3125
319,0.375
320,0.375
321,0.5
322,0.3125
323,0.375
324,0.375
325,0.5
326,0.375
327,0.3125
328,0.375
329,0.5
330,0.375
331,0.3125
332,0.4375
333,0.5625
334,0.5
335,0.3125
336,0.4375
337,0.5625
338,0.5
339,0.3125
340,0.375
341,0.6875
342,0.5
343,0.3125
344,0.375
345,0.6875
346,0.5
347,0.3125
348,0.375
349,0.6875
350,0.5625
351,0.3125
352,0.375
353,0.6875
354,0.5625
355,0.3125
356,0.5
357,0.6875
358,0.375
359,0.125
360,0.5
361,0.6875
362,0.375
363,0.125
364,0.4375
365,0.625
366,0.375
367,0.125
368,0.4375
369,0.625
370,0.375
371,0.125
372,0.4375
373,0.6875
374,0.5
375,0.125
376,0.4375
377,0.6875
378,0.5
379,0.125
380,0.3125
381,0.5625
382,0.5
383,0.25
384,0.3125
385,0.5625
386,0.5
387,0.25
388,0.375
389,0.4375
390,0.5
391,0.1875
392,0.375
393,0.4375
394,0.5
395,0.1875
396,0.4375
397,0.375
398,0.75
399,0.1875
400,0.4375
401,0.375
402,0.75
403,0.1875
404,0.5
405,0.375
406,0.75
407,0.1875
408,0.5
409,0.375
410,0.75
411,0.1875
412,0.375
413,0.3125
414,0.8125
415,0.1875
416,0.375
417,0.3125
418,0.8125
419,0.1875
420,0.1875
421,0.3125
422,0.875
423,0.1875
424,0.1875
425,0.3125
426,0.875
427,0.1875
428,0.125
429,0.3125
430,0.9375
431,0.125
432,0.125
433,0.3125
434,0.9375
435,0.125
436,0.125
437,0.4375
438,0.9375
439,0.1875
440,0.125
441,0.4375
442,0.9375
443,0.1875
444,0.1875
445,0.4375
446,0.75
447,0.125
448,0.1875
449,0.4375
450,0.75
451,0.125
452,0.25
453,0.5
454,0.6875
455,0.1875
456,0.25
457,0.5
458,0.6875
459,0.1875
460,0.25
461,0.5
462,0.25
463,0.1875
464,0.25
465,0.5
466,0.25
467,0.1875
468,0.375
469,0.625
470,0.3125
471,0.5
472,0.375
473,0.625
474,0.3125
475,0.5
476,0.25
477,0.5
478,0.4375
479,0.5
480,0.25
481,0.5
482,0.4375
483,0.5
484,0.3125
485,0.625
486,0.4375
487,0.625
488,0.3125
489,0.625
490,0.4375
491,0.625
492,0.3125
493,0.5
494,0.4375
495,0.625
496,0.3125
497,0.5
498,0.4375
499,0.625
500,0.4375
501,0.6875
502,0.3125
503,0.5625
504,0.4375
505,0.6875
506,0.3125
507,0.5625
508,0.5
509,0.625
510,0.375
511,0.5
512,0.5
513,0.625
514,0.375
515,0.5
516,0.5
517,0.8125
518,0.375
519,0.3125
520,0.5
521,0.8125
522,0.375
523,0.3125
524,0.4375
525,0.625
526,0.3125
527,0.3125
528,0.4375
529,0.625
530,0.3125
531,0.3125
532,0.375
533,0.5625
