,0
0,0.35546875
1,0.43322754
2,0.44604492
3,0.39794922
4,0.42565918
5,0.39111328
6,0.3647461
7,0.40515137
8,0.41882324
9,0.383667
10,0.4078369
11,0.45080566
12,0.39050293
13,0.45812988
14,0.43615723
15,0.42285156
16,0.36938477
17,0.43920898
18,0.41015625
19,0.46350098
20,0.43981934
21,0.43225098
22,0.43859863
23,0.44641113
24,0.4552002
25,0.43225098
26,0.430542
27,0.42956543
28,0.39709473
29,0.42749023
30,0.430542
31,0.39794922
32,0.40075684
33,0.44873047
34,0.3914795
35,0.49621582
36,0.43823242
37,0.41210938
38,0.4625244
39,0.43920898
40,0.4243164
41,0.42565918
42,0.40307617
43,0.40905762
44,0.4407959
45,0.40283203
46,0.41357422
47,0.43969727
48,0.47351074
49,0.43920898
50,0.41467285
51,0.48376465
52,0.41223145
53,0.4248047
54,0.43652344
55,0.4378662
56,0.43103027
57,0.4202881
58,0.42895508
59,0.5109863
60,0.4263916
61,0.44970703
62,0.44714355
63,0.50097656
64,0.46325684
65,0.46191406
66,0.40759277
67,0.4716797
68,0.461792
69,0.4251709
70,0.4593506
71,0.48547363
72,0.41625977
73,0.47424316
74,0.4580078
75,0.46801758
76,0.4814453
77,0.46850586
78,0.50109863
79,0.4979248
80,0.43859863
81,0.4552002
82,0.44714355
83,0.48779297
84,0.4934082
85,0.5317383
86,0.52575684
87,0.48095703
88,0.4555664
89,0.47583008
90,0.4798584
91,0.46496582
92,0.5081787
93,0.46655273
94,0.5029297
95,0.43640137
96,0.43554688
97,0.4958496
98,0.47973633
99,0.55578613
100,0.49401855
101,0.4827881
102,0.51379395
103,0.5114746
104,0.4456787
105,0.47998047
106,0.5662842
107,0.520874
108,0.46118164
109,0.45837402
110,0.47351074
111,0.51000977
112,0.6098633
113,0.53601074
114,0.5963135
115,0.5515137
116,0.4852295
117,0.5596924
118,0.5880127
119,0.5574951
120,0.5859375
121,0.5637207
122,0.5362549
123,0.6134033
124,0.5482178
125,0.578125
126,0.5579834
127,0.6032715
128,0.53430176
129,0.56225586
130,0.5406494
131,0.60791016
132,0.5788574
133,0.5716553
134,0.576416
135,0.65478516
136,0.6097412
137,0.57580566
138,0.6011963
139,0.66748047
140,0.6166992
141,0.6121826
142,0.6602783
143,0.6678467
144,0.6903076
145,0.6654053
146,0.63623047
147,0.6677246
148,0.6715088
149,0.6989746
150,0.6561279
151,0.71276855
152,0.6743164
153,0.76220703
154,0.7570801
155,0.8111572
156,0.7001953
157,0.8251953
158,0.8823242
159,0.6920166
160,0.657959
161,0.69104004
162,0.78393555
163,0.791626
164,0.84277344
165,0.8520508
166,0.7944336
167,0.7902832
168,0.76660156
169,0.7984619
170,0.80358887
171,0.7854004
172,0.8411865
173,0.69470215
174,0.8273926
175,0.81677246
176,0.9000244
177,0.9604492
178,0.85461426
179,0.7663574
180,1.0256348
181,1.0533447
182,0.83166504
183,0.8826904
184,0.9543457
185,0.88012695
186,1.1140137
187,1.0252686
188,1.0233154
189,0.9641113
190,0.85961914
191,0.9486084
192,1.0065918
193,0.95910645
194,1.0946045
195,1.0968018
196,1.1939697
197,1.0362549
198,0.9189453
199,0.9346924
200,1.0600586
201,1.1505127
202,1.1459961
203,1.1801758
204,1.0759277
205,1.0931396
206,1.1500244
207,1.0327148
208,1.0469971
209,1.1743164
210,1.1674805
211,1.1629639
212,1.2722168
213,1.1480713
214,1.0571289
215,1.1761475
216,1.1207275
217,1.2734375
218,1.2989502
219,1.1940918
220,1.2496338
221,1.3540039
222,1.2972412
223,1.2512207
224,1.2965088
225,1.4416504
226,1.3601074
227,1.2945557
228,1.2982178
229,1.2963867
230,1.27771
231,1.354248
232,1.4521484
233,1.3118896
234,1.3460693
235,1.3479004
236,1.2543945
237,1.2601318
238,1.3145752
239,1.3859863
240,1.4344482
241,1.4366455
242,1.399292
243,1.5791016
244,1.5957031
245,1.4002686
246,1.3050537
247,1.3591309
248,1.5748291
249,1.3505859
250,1.7211914
251,1.5686035
