,0
0,0.6227376
1,0.70757926
2,0.7204592
3,0.6660984
4,0.7017979
5,0.63072306
6,0.58714855
7,0.6349119
8,0.66548723
9,0.63901615
10,0.66534036
11,0.7170645
12,0.64949846
13,0.7644792
14,0.7035251
15,0.6469997
16,0.6145852
17,0.67727894
18,0.6461155
19,0.7274514
20,0.6599903
21,0.66202813
22,0.6701572
23,0.6768055
24,0.70758635
25,0.67499274
26,0.6866542
27,0.6359739
28,0.63653916
29,0.63516426
30,0.6457946
31,0.6891568
32,0.6492667
33,0.6935516
34,0.6678226
35,0.6903247
36,0.70440376
37,0.6600262
38,0.69425786
39,0.6685716
40,0.6856398
41,0.62272304
42,0.77031744
43,0.6760632
44,0.69573253
45,0.62779194
46,0.6467702
47,0.6720757
48,0.67984486
49,0.6976983
50,0.65572494
51,0.72043294
52,0.6618893
53,0.67239076
54,0.70615596
55,0.6965292
56,0.6836748
57,0.68571746
58,0.68560207
59,0.69763577
60,0.6885303
61,0.70566195
62,0.7025269
63,0.76562434
64,0.70787805
65,0.7185901
66,0.7167132
67,0.69556963
68,0.7172234
69,0.62676805
70,0.69161266
71,0.7594033
72,0.6946146
73,0.74874294
74,0.6941752
75,0.7214301
76,0.69887424
77,0.67873263
78,0.73785657
79,0.71636534
80,0.6501873
81,0.7127431
82,0.7085824
83,0.7147287
84,0.6851561
85,0.75290346
86,0.7618341
87,0.7229014
88,0.651754
89,0.72662246
90,0.72926056
91,0.6940337
92,0.7336642
93,0.69884413
94,0.73752064
95,0.68222994
96,0.64782244
97,0.7098514
98,0.6702957
99,0.7428456
100,0.6821262
101,0.71428406
102,0.7578078
103,0.7090825
104,0.70536333
105,0.701275
106,0.7807817
107,0.7985912
108,0.7280022
109,0.7378414
110,0.7457769
111,0.73993725
112,0.79925513
113,0.70963806
114,0.89322597
115,0.7673976
116,0.6926488
117,0.7541236
118,0.7789452
119,0.8753431
120,0.8248387
121,0.74138427
122,0.7599625
123,0.7858185
124,0.771419
125,0.7947275
126,0.8037736
127,0.8642357
128,0.77736235
129,0.81191754
130,0.7607035
131,0.8113428
132,0.8027555
133,0.78420836
134,0.7895004
135,0.9331756
136,0.8886589
137,0.8048714
138,0.8500996
139,0.79673827
140,0.8315403
141,0.8574484
142,0.9242259
143,0.8006353
144,0.8648483
145,0.9094687
146,0.9008436
147,0.88633466
148,0.938478
149,0.91827095
150,0.8572639
151,0.9208909
152,0.9324784
153,0.9315421
154,0.989976
155,1.0157969
156,0.9500256
157,1.031941
158,1.192862
159,0.93671554
160,0.9684728
161,0.8672243
162,0.9310695
163,0.97423506
164,1.0258793
165,1.0409513
166,1.0567298
167,1.0048531
168,1.014888
169,1.0410438
170,1.0455317
171,0.9902314
172,0.9856381
173,1.0064156
174,1.0108018
175,1.0311302
176,1.1043636
177,1.1182077
178,1.004254
179,0.9518952
180,1.2140644
181,1.2303976
182,0.99134845
183,0.9915577
184,1.0922382
185,1.019481
186,1.2368207
187,1.1737365
188,1.1484399
189,1.0653367
190,1.0880747
191,1.0847489
192,1.2282107
193,1.1786938
194,1.2440131
195,1.2574115
196,1.3456011
197,1.2229611
198,1.0775688
199,1.1040839
200,1.2170687
201,1.3355225
202,1.254357
203,1.3286791
204,1.2020476
205,1.2473572
206,1.2975628
207,1.2531811
208,1.2281741
209,1.3388845
210,1.2340889
211,1.2693542
212,1.3923339
213,1.2556216
214,1.1396219
215,1.293332
216,1.2132086
217,1.3277344
218,1.3523918
219,1.2861661
220,1.297463
221,1.3252444
222,1.3579922
223,1.2920179
224,1.3396003
225,1.4812511
226,1.349718
227,1.3729671
228,1.4237819
229,1.3574146
230,1.3121842
231,1.4078971
232,1.3261584
233,1.3547027
234,1.4356261
235,1.3048738
236,1.2935688
237,1.2746907
238,1.3364782
239,1.41962
240,1.4953866
241,1.4422948
242,1.4261147
243,1.4925244
244,1.4166701
245,1.4200934
246,1.250228
247,1.3371676
248,1.5267845
249,1.2613312
250,1.5558923
251,1.4502426
252,1.3944769
253,1.4708878
254,1.4286807
255,1.509729
256,1.4658774
257,1.3903562
258,1.4215609
259,1.597224
260,1.3654449
261,1.4657768
262,1.3715963
263,1.3195181
264,1.4579571
265,1.4614489
266,1.4489349
267,1.4058002
268,1.4135818
269,1.4488506
270,1.4511775
271,1.4925567
272,1.3982528
273,1.4533108
274,1.4204652
275,1.4856021
276,1.4622449
277,1.4649521
278,1.4107747
279,1.4401059
280,1.4333686
281,1.589472
282,1.4945774
283,1.6057253
284,1.504432
285,1.5229897
286,1.7094693
287,1.559748
288,1.4816296
289,1.4415336
290,1.6007818
291,1.5106355
292,1.5843412
293,1.5618159
294,1.5358475
295,1.5853449
296,1.5040487
297,1.5594838
298,1.457875
299,1.47102
300,1.5974743
301,1.5318658
302,1.621126
303,1.6167711
304,1.6931362
305,1.4542351
306,1.6205897
307,1.5648742
308,1.5671761
309,1.57091
310,1.4911075
311,1.5365044
312,1.5216923
313,1.4000715
314,1.5010654
315,1.6183019
316,1.5424373
317,1.5791669
318,1.6882665
319,1.5489599
320,1.4061508
321,1.4976519
322,1.5852647
323,1.6938872
324,1.6598843
325,1.6442907
326,1.5878954
327,1.6604242
328,1.5494359
329,1.5882342
330,1.6059835
331,1.6940924
332,1.5277424
333,1.7140988
334,1.5682191
335,1.6794932
336,1.5775772
337,1.5341164
338,1.6017321
339,1.5275359
340,1.5387332
341,1.5985429
342,1.7073306
343,1.6308211
344,1.7558107
345,1.6049643
346,1.6991875
347,1.6167806
348,1.6327138
349,1.6464653
350,1.7280971
351,1.7985959
352,1.6110616
353,1.7216433
354,1.6652642
355,1.6397706
356,1.6780183
357,1.7271265
358,1.4888521
359,1.5986487
360,1.6065872
361,1.6760151
362,1.520485
363,1.6293225
364,1.664445
365,1.735672
366,1.6942624
367,1.6186386
368,1.6668785
369,1.5537865
370,1.7301095
371,1.75226
372,1.6263053
373,1.6906958
374,1.7182207
375,1.6848118
376,1.6036292
377,1.6417122
378,1.6139904
