,0
0,0.35546875
1,0.43322754
2,0.44604492
3,0.39794922
4,0.42565918
5,0.39111328
6,0.3647461
7,0.40515137
8,0.41882324
9,0.383667
10,0.4078369
11,0.45080566
12,0.39050293
13,0.45812988
14,0.43615723
15,0.42285156
16,0.36938477
17,0.43920898
18,0.41015625
19,0.46350098
20,0.43981934
21,0.43225098
22,0.43859863
23,0.44641113
24,0.4552002
25,0.43225098
26,0.430542
27,0.42956543
28,0.39709473
29,0.42749023
30,0.430542
31,0.39794922
32,0.40075684
33,0.44873047
34,0.3914795
35,0.49621582
36,0.43823242
37,0.41210938
38,0.4625244
39,0.43920898
40,0.4243164
41,0.42565918
42,0.40307617
43,0.40905762
44,0.4407959
45,0.40283203
46,0.41357422
47,0.43969727
48,0.47351074
49,0.43920898
50,0.41467285
51,0.48376465
52,0.41223145
53,0.4248047
54,0.43652344
55,0.4378662
56,0.43103027
57,0.4202881
58,0.42895508
59,0.5109863
60,0.4263916
61,0.44970703
62,0.44714355
63,0.50097656
64,0.46325684
65,0.46191406
66,0.40759277
67,0.4716797
68,0.461792
69,0.4251709
70,0.4593506
71,0.48547363
72,0.41625977
73,0.47424316
74,0.4580078
75,0.46801758
76,0.4814453
77,0.46850586
78,0.50109863
79,0.4979248
80,0.43859863
81,0.4552002
82,0.44714355
83,0.48779297
84,0.4934082
85,0.5317383
86,0.52575684
87,0.48095703
88,0.4555664
89,0.47583008
90,0.4798584
91,0.46496582
92,0.5081787
93,0.46655273
94,0.5029297
95,0.43640137
96,0.43554688
97,0.4958496
98,0.47973633
99,0.55578613
100,0.49401855
101,0.4827881
102,0.51379395
103,0.5114746
104,0.4456787
105,0.47998047
106,0.5662842
107,0.520874
108,0.46118164
109,0.45837402
110,0.47351074
111,0.51000977
112,0.6098633
113,0.53601074
114,0.5963135
115,0.5515137
116,0.4852295
117,0.5596924
118,0.5880127
119,0.5574951
120,0.5859375
121,0.5637207
122,0.5362549
123,0.6134033
124,0.5482178
125,0.578125
126,0.5579834
127,0.6032715
128,0.52941895
129,0.56677246
130,0.5423584
131,0.60058594
132,0.5546875
133,0.5710449
134,0.5913086
135,0.6385498
136,0.6135254
137,0.576416
138,0.59851074
139,0.6566162
140,0.6176758
141,0.59558105
142,0.67004395
143,0.6791992
144,0.6843262
145,0.66638184
146,0.64501953
147,0.6738281
148,0.66796875
149,0.6765137
150,0.6459961
151,0.7150879
152,0.67370605
153,0.77246094
154,0.75598145
155,0.817749
156,0.7182617
157,0.8269043
158,0.8880615
159,0.6767578
160,0.6501465
161,0.6876221
162,0.76831055
163,0.7960205
164,0.85046387
165,0.8416748
166,0.7973633
167,0.7766113
168,0.75878906
169,0.8117676
170,0.7993164
171,0.76953125
172,0.86157227
173,0.6837158
174,0.82214355
175,0.85754395
176,0.91796875
177,0.9580078
178,0.87194824
179,0.7573242
180,1.0328369
181,1.048706
182,0.8391113
183,0.87683105
184,0.9642334
185,0.897583
186,1.1171875
187,1.0394287
188,1.0380859
189,0.9719238
190,0.8890381
191,0.9399414
192,0.98779297
193,0.95532227
194,1.0848389
195,1.1036377
196,1.159668
197,1.0354004
198,0.9246826
199,0.95751953
200,1.0378418
201,1.1098633
202,1.0646973
203,1.1678467
204,1.1124268
205,1.1241455
206,1.154419
207,1.0107422
208,1.055542
209,1.1774902
210,1.1713867
211,1.1680908
212,1.2554932
213,1.1787109
214,1.0551758
215,1.1467285
216,1.1418457
217,1.2507324
218,1.272583
219,1.22229
220,1.2452393
221,1.3653564
222,1.2982178
223,1.276001
224,1.2821045
225,1.4859619
226,1.3620605
227,1.3031006
228,1.2359619
229,1.3239746
230,1.2814941
231,1.2983398
232,1.4462891
233,1.2836914
234,1.3530273
235,1.3946533
236,1.2631836
237,1.2962646
238,1.3701172
239,1.4040527
240,1.4111328
241,1.4222412
242,1.4282227
243,1.6032715
244,1.5964355
245,1.4202881
246,1.3265381
247,1.3321533
248,1.5656738
249,1.3692627
250,1.7524414
251,1.5916748
