,0
0,0.6227376
1,0.70757926
2,0.7204592
3,0.6660984
4,0.7017979
5,0.63072306
6,0.58714855
7,0.6349119
8,0.66548723
9,0.63901615
10,0.66534036
11,0.7170645
12,0.64949846
13,0.7644792
14,0.7035251
15,0.6469997
16,0.6145852
17,0.67727894
18,0.6461155
19,0.7274514
20,0.6599903
21,0.66202813
22,0.6701572
23,0.6768055
24,0.70758635
25,0.67499274
26,0.6866542
27,0.6359739
28,0.63653916
29,0.63516426
30,0.6457946
31,0.6891568
32,0.6492667
33,0.6935516
34,0.6678226
35,0.6903247
36,0.70440376
37,0.6600262
38,0.69425786
39,0.6685716
40,0.6856398
41,0.62272304
42,0.77031744
43,0.6760632
44,0.69573253
45,0.62779194
46,0.6467702
47,0.6720757
48,0.67984486
49,0.6976983
50,0.65572494
51,0.72043294
52,0.6618893
53,0.67239076
54,0.70615596
55,0.6965292
56,0.6836748
57,0.68571746
58,0.68560207
59,0.69763577
60,0.6885303
61,0.70566195
62,0.7025269
63,0.76562434
64,0.70787805
65,0.7185901
66,0.7167132
67,0.69556963
68,0.7172234
69,0.62676805
70,0.69161266
71,0.7594033
72,0.6946146
73,0.74874294
74,0.6941752
75,0.7214301
76,0.69887424
77,0.67873263
78,0.73785657
79,0.71636534
80,0.6501873
81,0.7127431
82,0.7085824
83,0.7147287
84,0.6851561
85,0.75290346
86,0.7618341
87,0.7229014
88,0.651754
89,0.72662246
90,0.72926056
91,0.6940337
92,0.7336642
93,0.69884413
94,0.73752064
95,0.68222994
96,0.64782244
97,0.7098514
98,0.6702957
99,0.7428456
100,0.6821262
101,0.71428406
102,0.7578078
103,0.7090825
104,0.70536333
105,0.701275
106,0.7807817
107,0.7985912
108,0.7280022
109,0.7378414
110,0.7457769
111,0.73993725
112,0.79925513
113,0.70963806
114,0.89322597
115,0.7673976
116,0.6926488
117,0.7541236
118,0.7789452
119,0.8753431
120,0.8248387
121,0.74138427
122,0.7599625
123,0.7858185
124,0.771419
125,0.7947275
126,0.8037736
127,0.8642357
128,0.7753614
129,0.8135116
130,0.7708132
131,0.79757303
132,0.7813672
133,0.77360725
134,0.7937823
135,0.9154133
136,0.88763344
137,0.80283946
138,0.8349148
139,0.78023845
140,0.8287556
141,0.83379257
142,0.93939453
143,0.80940926
144,0.8553648
145,0.90417475
146,0.90001327
147,0.88433003
148,0.94585305
149,0.8826922
150,0.84904206
151,0.8999657
152,0.9215318
153,0.9263574
154,0.9885334
155,1.0327226
156,0.9788876
157,1.042701
158,1.193363
159,0.9434742
160,0.9634
161,0.86642176
162,0.90491915
163,0.9784139
164,1.0250654
165,1.0317028
166,1.0685501
167,1.0026332
168,0.9994729
169,1.048142
170,1.0514171
171,0.99515885
172,0.99344915
173,1.0078735
174,0.9962003
175,1.045519
176,1.1305676
177,1.1157143
178,1.0043043
179,0.9489894
180,1.2114247
181,1.2270136
182,0.9904296
183,0.9841718
184,1.0915446
185,1.0173706
186,1.2486076
187,1.1825693
188,1.160892
189,1.0763992
190,1.0930877
191,1.0876195
192,1.2194898
193,1.1926106
194,1.242656
195,1.2608422
196,1.3158047
197,1.2247316
198,1.0805299
199,1.1119696
200,1.2217646
201,1.3200638
202,1.1280185
203,1.3199292
204,1.196382
205,1.2261764
206,1.2997737
207,1.239263
208,1.2502795
209,1.3337166
210,1.2293892
211,1.2721447
212,1.3855355
213,1.288014
214,1.1144831
215,1.2822801
216,1.2126839
217,1.3197805
218,1.344037
219,1.2811648
220,1.3099079
221,1.3410897
222,1.3363922
223,1.3084462
224,1.3329443
225,1.4922645
226,1.3495573
227,1.398084
228,1.3848584
229,1.3597418
230,1.2959745
231,1.3749492
232,1.3308961
233,1.3437818
234,1.43559
235,1.3097575
236,1.2969962
237,1.3246261
238,1.3385528
239,1.4534016
240,1.4980986
241,1.4137157
242,1.4427466
243,1.4969302
244,1.4145508
245,1.4072024
246,1.2402703
247,1.3268013
248,1.5172617
249,1.2915922
250,1.5585086
251,1.4605469
252,1.43956
253,1.4948438
254,1.4505008
255,1.527156
256,1.4463605
257,1.36993
258,1.3874241
259,1.5818102
260,1.3632032
261,1.4803313
262,1.3735653
263,1.3422165
264,1.4807053
265,1.4849838
266,1.4454956
267,1.4004768
268,1.3924532
269,1.4246464
270,1.4684557
271,1.4894274
272,1.4467651
273,1.4169707
274,1.4361207
275,1.4333192
276,1.4978142
277,1.4587306
278,1.3544818
279,1.4632974
280,1.4452618
281,1.6548501
282,1.4829332
283,1.6147758
284,1.5247866
285,1.5433013
286,1.6503253
287,1.5933253
288,1.5767308
289,1.4624407
290,1.5902725
291,1.4998469
292,1.5848594
293,1.5320857
294,1.5510242
295,1.5789388
296,1.5496511
297,1.5631362
298,1.44234
299,1.4688827
300,1.6155704
301,1.5615182
302,1.6355722
303,1.6247039
304,1.6488531
305,1.4580356
306,1.593015
307,1.4588908
308,1.5407935
309,1.5394324
310,1.4741833
311,1.5564446
312,1.5563375
313,1.4472286
314,1.5113671
315,1.5686318
316,1.5906795
317,1.5566996
318,1.6720694
319,1.5698262
320,1.4245051
321,1.5018642
322,1.569547
323,1.6422486
324,1.6969869
325,1.6310492
326,1.557397
327,1.6462288
328,1.5850276
329,1.5611881
330,1.633572
331,1.7267864
332,1.5707362
333,1.7035314
334,1.4958277
335,1.630178
336,1.5472959
337,1.5636665
338,1.5815482
339,1.4931965
340,1.5161884
341,1.6250955
342,1.7307415
343,1.5917016
344,1.7001944
345,1.580651
346,1.6877456
347,1.6043924
348,1.6027253
349,1.6409402
350,1.6761163
351,1.793196
352,1.6300261
353,1.729596
354,1.6373954
355,1.5896975
356,1.6040294
357,1.7261223
358,1.499317
359,1.5634477
360,1.5784912
361,1.6630876
362,1.5704728
363,1.5806892
364,1.6542946
365,1.6784227
366,1.6413589
367,1.6454446
368,1.6722449
369,1.5481956
370,1.6691805
371,1.721542
372,1.631959
373,1.6613618
374,1.7096434
375,1.6600022
376,1.613076
377,1.5768905
378,1.6088388
