,0
0,0.35546875
1,0.42614746
2,0.43188477
3,0.3803711
4,0.4182129
5,0.3717041
6,0.4091797
7,0.40905762
8,0.43981934
9,0.39709473
10,0.40551758
11,0.41394043
12,0.4185791
13,0.4333496
14,0.43151855
15,0.4708252
16,0.39086914
17,0.4675293
18,0.41589355
19,0.4468994
20,0.43481445
21,0.38085938
22,0.44274902
23,0.46105957
24,0.49536133
25,0.42907715
26,0.42321777
27,0.3803711
28,0.41333008
29,0.44470215
30,0.38208008
31,0.49450684
32,0.39941406
33,0.39160156
34,0.44763184
35,0.44799805
36,0.43322754
37,0.43603516
38,0.42382812
39,0.4234619
40,0.4119873
41,0.44030762
42,0.43029785
43,0.39367676
44,0.46826172
45,0.40405273
46,0.45861816
47,0.383667
48,0.460083
49,0.44470215
50,0.3890381
51,0.47766113
52,0.41235352
53,0.44128418
54,0.44763184
55,0.45361328
56,0.4543457
57,0.41271973
58,0.42456055
59,0.4633789
60,0.41992188
61,0.41992188
62,0.47106934
63,0.4859619
64,0.4173584
65,0.4312744
66,0.39953613
67,0.42199707
68,0.4227295
69,0.4317627
70,0.40625
71,0.47888184
72,0.41992188
73,0.46801758
74,0.45617676
75,0.4761963
76,0.4498291
77,0.42504883
78,0.46350098
79,0.44885254
80,0.4753418
81,0.46435547
82,0.4790039
83,0.4630127
84,0.4522705
85,0.5015869
86,0.42407227
87,0.44702148
88,0.4633789
89,0.47766113
90,0.4807129
91,0.47912598
92,0.4342041
93,0.46105957
94,0.43041992
95,0.50634766
96,0.47131348
97,0.46203613
98,0.4666748
99,0.4293213
100,0.46801758
101,0.4840088
102,0.43225098
103,0.45739746
104,0.42199707
105,0.45080566
106,0.42687988
107,0.43554688
108,0.47729492
109,0.44555664
110,0.43579102
111,0.48205566
112,0.4501953
113,0.5472412
114,0.50964355
115,0.47155762
116,0.4522705
117,0.461792
118,0.43066406
119,0.45080566
120,0.460083
121,0.4576416
122,0.41516113
123,0.4564209
124,0.41784668
125,0.46411133
126,0.46655273
127,0.44482422
128,0.43273926
129,0.5142822
130,0.5090332
131,0.46887207
132,0.4847412
133,0.4918213
134,0.4645996
135,0.46862793
136,0.43188477
137,0.46447754
138,0.5194092
139,0.42785645
140,0.47680664
141,0.4798584
142,0.46606445
143,0.4753418
144,0.47424316
145,0.47424316
146,0.52490234
147,0.5345459
148,0.40441895
149,0.49279785
150,0.43249512
151,0.44836426
152,0.5247803
153,0.4736328
154,0.42077637
155,0.46325684
156,0.46899414
157,0.49157715
158,0.51379395
159,0.46069336
160,0.41760254
161,0.4486084
162,0.44519043
163,0.47668457
164,0.51293945
165,0.5760498
166,0.49597168
167,0.50842285
168,0.4822998
169,0.47485352
170,0.5701904
171,0.5180664
172,0.5032959
173,0.4416504
174,0.47766113
175,0.49499512
176,0.5407715
177,0.48828125
178,0.4852295
179,0.4515381
180,0.5263672
181,0.47729492
182,0.444458
183,0.4395752
184,0.47277832
185,0.5180664
186,0.52770996
187,0.53967285
188,0.51794434
189,0.53674316
190,0.50183105
191,0.48461914
192,0.52905273
193,0.5395508
194,0.5559082
195,0.53149414
196,0.48571777
197,0.51708984
198,0.51086426
199,0.49804688
200,0.56018066
201,0.510376
202,0.6212158
203,0.5374756
204,0.5008545
205,0.4925537
206,0.49267578
207,0.545166
208,0.49389648
209,0.55493164
210,0.5578613
211,0.5213623
212,0.49975586
213,0.5246582
214,0.5701904
215,0.5395508
216,0.59069824
217,0.5593262
218,0.55493164
219,0.5946045
220,0.5443115
221,0.5953369
222,0.5518799
223,0.6331787
224,0.5909424
225,0.57751465
226,0.6114502
227,0.5404053
228,0.5809326
229,0.5859375
230,0.56848145
231,0.5605469
232,0.5900879
233,0.557251
234,0.5500488
235,0.55810547
236,0.6101074
237,0.6074219
238,0.6484375
239,0.6068115
240,0.62683105
241,0.63134766
242,0.6561279
243,0.60791016
244,0.5666504
245,0.60217285
