,0
0,0.6227376
1,0.6976627
2,0.69403774
3,0.66132367
4,0.6593308
5,0.61626333
6,0.63184047
7,0.70071185
8,0.73622864
9,0.6260978
10,0.61702627
11,0.6790431
12,0.6545451
13,0.694883
14,0.70586115
15,0.6800939
16,0.63492477
17,0.7063608
18,0.6618115
19,0.70268226
20,0.66541135
21,0.612145
22,0.6783077
23,0.6983849
24,0.7060549
25,0.6937565
26,0.68640757
27,0.6094514
28,0.63952494
29,0.66703844
30,0.61714685
31,0.80720574
32,0.6180391
33,0.68069625
34,0.70256346
35,0.65474594
36,0.65247005
37,0.6686406
38,0.67445624
39,0.63179994
40,0.6484415
41,0.71915835
42,0.6491619
43,0.63251275
44,0.69348836
45,0.61362547
46,0.7096891
47,0.6565415
48,0.67250586
49,0.6990289
50,0.60888755
51,0.7580872
52,0.64660597
53,0.70812094
54,0.73067
55,0.7081739
56,0.69955033
57,0.6584408
58,0.74390256
59,0.66521156
60,0.6665366
61,0.65340424
62,0.7210513
63,0.7355696
64,0.67459947
65,0.69098085
66,0.63231254
67,0.679477
68,0.6985169
69,0.6601313
70,0.6362273
71,0.7079992
72,0.67219
73,0.72092235
74,0.6616471
75,0.71204054
76,0.7344897
77,0.6400512
78,0.698342
79,0.67319715
80,0.7078848
81,0.73000616
82,0.69354475
83,0.68952054
84,0.6449301
85,0.6841162
86,0.6531523
87,0.7080562
88,0.72154796
89,0.7439463
90,0.7102892
91,0.68308514
92,0.6830946
93,0.71667314
94,0.7352338
95,0.71940094
96,0.7110027
97,0.69931203
98,0.702856
99,0.68777305
100,0.7360039
101,0.70761627
102,0.66092086
103,0.6843974
104,0.65941906
105,0.72012216
106,0.66476995
107,0.7036429
108,0.72868276
109,0.6913703
110,0.6529143
111,0.71699536
112,0.6663728
113,0.763367
114,0.7565823
115,0.7110124
116,0.67670304
117,0.6789275
118,0.6751932
119,0.7243476
120,0.6831313
121,0.7203872
122,0.6596857
123,0.70921344
124,0.6728473
125,0.70843893
126,0.69744533
127,0.70443106
128,0.6962284
129,0.81312543
