,0
0,0.6227376
1,0.6976627
2,0.69403774
3,0.66132367
4,0.6593308
5,0.61626333
6,0.63184047
7,0.70071185
8,0.73622864
9,0.6260978
10,0.61702627
11,0.6790431
12,0.6545451
13,0.694883
14,0.70586115
15,0.6800939
16,0.63492477
17,0.7063608
18,0.6618115
19,0.70268226
20,0.66541135
21,0.612145
22,0.6783077
23,0.6983849
24,0.7060549
25,0.6937565
26,0.68640757
27,0.6094514
28,0.63952494
29,0.66703844
30,0.61714685
31,0.80720574
32,0.6180391
33,0.68069625
34,0.70256346
35,0.65474594
36,0.65247005
37,0.6686406
38,0.67445624
39,0.63179994
40,0.6484415
41,0.71915835
42,0.6491619
43,0.63251275
44,0.69348836
45,0.61362547
46,0.7096891
47,0.6565415
48,0.67250586
49,0.6990289
50,0.60888755
51,0.7580872
52,0.64660597
53,0.70812094
54,0.73067
55,0.7081739
56,0.69955033
57,0.6584408
58,0.74390256
59,0.66521156
60,0.6665366
61,0.65340424
62,0.7210513
63,0.7355696
64,0.67459947
65,0.69098085
66,0.63231254
67,0.679477
68,0.6985169
69,0.6601313
70,0.6362273
71,0.7079992
72,0.67219
73,0.72092235
74,0.6616471
75,0.71204054
76,0.7344897
77,0.6400512
78,0.698342
79,0.67319715
80,0.707872
81,0.7142442
82,0.7040234
83,0.6818027
84,0.63266104
85,0.69097805
86,0.6572753
87,0.6964082
88,0.72265726
89,0.73475003
90,0.70829105
91,0.69785744
92,0.70492476
93,0.7263824
94,0.74122465
95,0.7584063
96,0.7119957
97,0.71250415
98,0.70789754
99,0.6819852
100,0.7343295
101,0.70787907
102,0.6891556
103,0.6820609
104,0.65221435
105,0.7198947
106,0.6735568
107,0.71327037
108,0.72833997
109,0.6808735
110,0.67021775
111,0.71552336
112,0.67092043
113,0.73867375
114,0.7229727
115,0.68622375
116,0.6864788
117,0.6498485
118,0.6834093
119,0.7373841
120,0.68087333
121,0.6948129
122,0.65573853
123,0.7533498
124,0.6645608
125,0.7117604
126,0.69801134
127,0.7408699
128,0.7057708
129,0.7397472
