,0
0,0.35546875
1,0.42614746
2,0.43188477
3,0.3803711
4,0.4182129
5,0.3717041
6,0.4091797
7,0.40905762
8,0.43981934
9,0.39709473
10,0.40551758
11,0.41394043
12,0.4185791
13,0.4333496
14,0.43151855
15,0.4708252
16,0.39086914
17,0.4675293
18,0.41589355
19,0.4468994
20,0.43481445
21,0.38085938
22,0.44274902
23,0.46105957
24,0.49536133
25,0.42907715
26,0.42321777
27,0.3803711
28,0.41333008
29,0.44470215
30,0.38208008
31,0.49450684
32,0.39941406
33,0.39160156
34,0.44763184
35,0.44799805
36,0.43322754
37,0.43603516
38,0.42382812
39,0.4234619
40,0.4119873
41,0.44030762
42,0.43029785
43,0.39367676
44,0.46826172
45,0.40405273
46,0.45861816
47,0.383667
48,0.460083
49,0.44470215
50,0.3890381
51,0.47766113
52,0.41235352
53,0.44128418
54,0.44763184
55,0.45361328
56,0.4543457
57,0.41271973
58,0.42456055
59,0.4633789
60,0.41992188
61,0.41992188
62,0.47106934
63,0.4859619
64,0.4173584
65,0.4312744
66,0.39953613
67,0.42199707
68,0.4227295
69,0.4317627
70,0.40625
71,0.47888184
72,0.41992188
73,0.46801758
74,0.45617676
75,0.4761963
76,0.4498291
77,0.42504883
78,0.46350098
79,0.44885254
80,0.4753418
81,0.45568848
82,0.48461914
83,0.46032715
84,0.4465332
85,0.48937988
86,0.4312744
87,0.43359375
88,0.4633789
89,0.4744873
90,0.48583984
91,0.47485352
92,0.4645996
93,0.4859619
94,0.44555664
95,0.54455566
96,0.44909668
97,0.47509766
98,0.4675293
99,0.43249512
100,0.49719238
101,0.48571777
102,0.45031738
103,0.45617676
104,0.4194336
105,0.47253418
106,0.44274902
107,0.43371582
108,0.44604492
109,0.46520996
110,0.44311523
111,0.49108887
112,0.44763184
113,0.52697754
114,0.5036621
115,0.4691162
116,0.46569824
117,0.43554688
118,0.42687988
119,0.5109863
120,0.4534912
121,0.4260254
122,0.4407959
123,0.43115234
124,0.40246582
125,0.4885254
126,0.43603516
127,0.44848633
128,0.41577148
129,0.49438477
130,0.5041504
131,0.5114746
132,0.47802734
133,0.4807129
134,0.49389648
135,0.49938965
136,0.4519043
137,0.50305176
138,0.4777832
139,0.48034668
140,0.45898438
141,0.4300537
142,0.44909668
143,0.48986816
144,0.48046875
145,0.46618652
146,0.5279541
147,0.54504395
148,0.42944336
149,0.4975586
150,0.44726562
151,0.43945312
152,0.51916504
153,0.45129395
154,0.44018555
155,0.43249512
156,0.52246094
157,0.51916504
158,0.49499512
159,0.47509766
160,0.4547119
161,0.46276855
162,0.48791504
163,0.49389648
164,0.5251465
165,0.5932617
166,0.5091553
167,0.5185547
168,0.47070312
169,0.5406494
170,0.54382324
171,0.48205566
172,0.53466797
173,0.4699707
174,0.52526855
175,0.5316162
176,0.53515625
177,0.4552002
178,0.57177734
179,0.47473145
180,0.5057373
181,0.49230957
182,0.47839355
183,0.47644043
184,0.5085449
185,0.50305176
186,0.5222168
187,0.53674316
188,0.5366211
189,0.5675049
190,0.546875
191,0.49328613
192,0.4906006
193,0.48754883
194,0.49291992
195,0.4729004
196,0.4946289
197,0.5209961
198,0.5241699
199,0.50305176
200,0.5389404
201,0.49047852
202,0.5288086
203,0.5604248
204,0.5076904
205,0.53930664
206,0.47851562
207,0.50146484
208,0.5032959
209,0.5324707
210,0.55944824
211,0.52893066
212,0.49389648
213,0.560791
214,0.55358887
215,0.48010254
216,0.54833984
217,0.57995605
218,0.5975342
219,0.57385254
220,0.54870605
221,0.53466797
222,0.5600586
223,0.5970459
224,0.5732422
225,0.532959
226,0.5292969
227,0.5230713
228,0.5587158
229,0.5819092
230,0.56225586
231,0.58654785
232,0.5533447
233,0.5625
234,0.55566406
235,0.567749
236,0.567749
237,0.58081055
238,0.552124
239,0.54870605
240,0.53564453
241,0.56066895
242,0.61083984
243,0.6184082
244,0.56433105
245,0.60217285
