,0
0,0.6227376
1,0.6976627
2,0.69403774
3,0.66132367
4,0.6593308
5,0.61626333
6,0.63184047
7,0.70071185
8,0.73622864
9,0.6260978
10,0.61702627
11,0.6790431
12,0.6545451
13,0.694883
14,0.70586115
15,0.6800939
16,0.63492477
17,0.7063608
18,0.6618115
19,0.70268226
20,0.66541135
21,0.612145
22,0.6783077
23,0.6983849
24,0.7060549
25,0.6937565
26,0.68640757
27,0.6094514
28,0.63952494
29,0.66703844
30,0.61714685
31,0.80720574
32,0.6180391
33,0.68069625
34,0.70256346
35,0.65474594
36,0.65247005
37,0.6686406
38,0.67445624
39,0.63179994
40,0.6484415
41,0.71915835
42,0.6491619
43,0.63251275
44,0.69348836
45,0.61362547
46,0.7096891
47,0.6565415
48,0.67250586
49,0.6990289
50,0.60888755
51,0.7580872
52,0.64660597
53,0.70812094
54,0.73067
55,0.7081739
56,0.69955033
57,0.6584408
58,0.74390256
59,0.66521156
60,0.6665366
61,0.65340424
62,0.7210513
63,0.7355696
64,0.67459947
65,0.69098085
66,0.63231254
67,0.679477
68,0.6985169
69,0.6601313
70,0.6362273
71,0.7079992
72,0.67219
73,0.72092235
74,0.6616471
75,0.71204054
76,0.7344897
77,0.6400512
78,0.698342
79,0.67319715
80,0.7068494
81,0.72145516
82,0.70399785
83,0.6820726
84,0.6399178
85,0.68919146
86,0.6600806
87,0.69595957
88,0.7227313
89,0.72875744
90,0.73390573
91,0.6779179
92,0.7199153
93,0.7421781
94,0.7503025
95,0.76144713
96,0.7019759
97,0.72457886
98,0.6922212
99,0.68844664
100,0.7470592
101,0.7150319
102,0.69962484
103,0.6959941
104,0.6433654
105,0.73718053
106,0.67794764
107,0.7330447
108,0.73088866
109,0.6850172
110,0.6703736
111,0.713581
112,0.67635983
113,0.7340456
114,0.72229844
115,0.69668806
116,0.7064472
117,0.6314094
118,0.6818125
119,0.7946515
120,0.6871696
121,0.6477473
122,0.65952367
123,0.68884534
124,0.6465116
125,0.7433725
126,0.67680615
127,0.714001
128,0.67909294
129,0.75919986
