,0
0,0.35546875
1,0.4317627
2,0.43554688
3,0.39123535
4,0.44299316
5,0.3914795
6,0.38000488
7,0.40856934
8,0.4416504
9,0.3614502
10,0.40966797
11,0.45324707
12,0.4613037
13,0.44104004
14,0.42541504
15,0.39135742
16,0.34814453
17,0.4584961
18,0.4017334
19,0.4781494
20,0.44836426
21,0.41027832
22,0.46191406
23,0.46020508
24,0.48657227
25,0.4437256
26,0.40551758
27,0.41125488
28,0.40966797
29,0.47094727
30,0.4477539
31,0.42614746
32,0.39343262
33,0.446167
34,0.40478516
35,0.4970703
36,0.44482422
37,0.43444824
38,0.4593506
39,0.41906738
40,0.48168945
41,0.4901123
42,0.41760254
43,0.4227295
44,0.46203613
45,0.42138672
46,0.46240234
47,0.46447754
48,0.53466797
49,0.43762207
50,0.4468994
51,0.4399414
52,0.4202881
53,0.48327637
54,0.45178223
55,0.4711914
56,0.46350098
57,0.42492676
58,0.4975586
59,0.47045898
60,0.49401855
61,0.4951172
62,0.5025635
63,0.49169922
64,0.4404297
65,0.49609375
66,0.4901123
67,0.48449707
68,0.5031738
69,0.491333
70,0.4847412
71,0.47631836
72,0.4925537
73,0.4852295
74,0.46972656
75,0.52124023
76,0.5361328
77,0.46984863
78,0.48181152
79,0.48132324
80,0.5061035
81,0.5391846
82,0.5097656
83,0.47070312
84,0.52770996
85,0.5040283
86,0.48010254
87,0.53125
88,0.47351074
89,0.48168945
90,0.49023438
91,0.5106201
92,0.460083
93,0.46484375
94,0.51782227
95,0.51342773
96,0.4790039
97,0.47058105
98,0.5246582
99,0.5074463
100,0.55078125
101,0.5078125
102,0.51867676
103,0.5177002
104,0.47094727
105,0.5482178
106,0.51538086
107,0.5325928
108,0.48486328
109,0.5061035
110,0.5109863
111,0.5262451
112,0.54211426
113,0.571167
114,0.52770996
115,0.5227051
116,0.55737305
117,0.5543213
118,0.5128174
119,0.55615234
120,0.45825195
121,0.53234863
122,0.4807129
123,0.5900879
124,0.5576172
125,0.54663086
126,0.54589844
127,0.5566406
128,0.5159912
129,0.5286865
130,0.5336914
131,0.5695801
132,0.55773926
133,0.57214355
134,0.5723877
135,0.5559082
136,0.555542
137,0.5494385
138,0.59228516
139,0.513916
140,0.5373535
141,0.5498047
142,0.546875
143,0.5609131
144,0.6048584
145,0.58496094
146,0.6201172
147,0.6755371
148,0.6158447
149,0.6102295
150,0.5626221
151,0.54296875
152,0.5124512
153,0.5834961
154,0.53100586
155,0.5994873
156,0.6102295
157,0.60375977
158,0.54541016
159,0.59765625
160,0.6107178
161,0.54089355
162,0.6849365
163,0.56933594
164,0.6591797
165,0.69641113
166,0.6257324
167,0.7071533
168,0.6376953
169,0.68847656
170,0.7125244
171,0.6520996
172,0.7310791
173,0.68640137
174,0.6097412
175,0.65979004
176,0.6861572
177,0.6813965
178,0.73217773
179,0.7307129
180,0.7541504
181,0.664917
182,0.6812744
183,0.72216797
184,0.7648926
185,0.8005371
186,0.76135254
187,0.75549316
188,0.80822754
189,0.7578125
190,0.8331299
191,0.72058105
192,0.7425537
193,0.79089355
194,0.77246094
195,0.8713379
196,0.8487549
197,0.7961426
198,0.7525635
199,0.7788086
200,0.8417969
201,0.7717285
202,0.8640137
203,0.8808594
204,0.8453369
205,0.89453125
206,0.94104004
207,0.8781738
208,0.78564453
209,0.84155273
210,0.9996338
211,0.8013916
212,0.86328125
213,0.8432617
214,0.84936523
215,0.9628906
216,0.95202637
217,0.8322754
218,0.8770752
219,0.89819336
220,0.9490967
221,0.93981934
222,0.88793945
223,0.9847412
224,0.89697266
225,0.9822998
226,1.0061035
227,0.93566895
228,1.1091309
229,0.97302246
230,0.9416504
231,1.0084229
232,0.9909668
233,0.95861816
234,0.9663086
235,0.92907715
236,1.0321045
237,0.9720459
238,0.93981934
239,0.88427734
240,0.8758545
241,0.928833
242,1.0129395
243,1.1479492
244,1.1828613
245,1.0119629
246,1.1394043
247,1.0205078
248,1.1275635
249,1.1552734
250,1.2001953
251,1.0571289
252,1.1342773
253,1.1690674
254,1.1916504
255,1.0437012
256,1.0952148
257,1.2183838
258,1.1337891
259,1.1865234
260,1.1398926
261,1.0419922
262,1.1090088
263,1.1726074
264,1.2266846
265,1.1335449
266,1.4702148
267,1.1560059
268,1.1781006
269,1.1922607
270,1.2717285
271,1.1639404
272,1.1846924
273,1.2733154
274,1.3476562
275,1.1959229
276,1.2471924
277,1.1773682
278,1.2424316
279,1.2437744
280,1.1875
281,1.2978516
282,1.4129639
283,1.3059082
284,1.3448486
285,1.2705078
286,1.24646
287,1.5582275
288,1.326294
289,1.3154297
290,1.2996826
291,1.3778076
292,1.3048096
293,1.3425293
294,1.4586182
295,1.3328857
296,1.3483887
297,1.2935791
298,1.4401855
299,1.5471191
300,1.5627441
301,1.3807373
302,1.3292236
303,1.3218994
304,1.286377
305,1.4874268
306,1.4066162
307,1.3271484
308,1.4628906
309,1.4295654
310,1.357544
311,1.5527344
312,1.4971924
313,1.5058594
314,1.5097656
315,1.3961182
316,1.5665283
317,1.4779053
318,1.4797363
319,1.4746094
320,1.579834
321,1.44104
322,1.2913818
323,1.3397217
324,1.3752441
325,1.6906738
326,1.5795898
327,1.6452637
