,0
0,0.6227376
1,0.7064034
2,0.7052025
3,0.6591353
4,0.70202845
5,0.6319463
6,0.61038023
7,0.6265136
8,0.6980816
9,0.6028037
10,0.6639387
11,0.71586496
12,0.7640076
13,0.7187094
14,0.70437634
15,0.6288269
16,0.6180365
17,0.68178445
18,0.62742656
19,0.7265279
20,0.65272105
21,0.6704249
22,0.7327207
23,0.7135534
24,0.74727064
25,0.68697214
26,0.6807974
27,0.6379022
28,0.6725245
29,0.69202036
30,0.6702048
31,0.670904
32,0.611072
33,0.7114318
34,0.6705775
35,0.691742
36,0.6797377
37,0.6724924
38,0.7097314
39,0.6110096
40,0.7533498
41,0.72257805
42,0.6653371
43,0.6454741
44,0.7163848
45,0.68441886
46,0.655172
47,0.7158282
48,0.7874871
49,0.6327763
50,0.69006103
51,0.6891361
52,0.6590294
53,0.7141248
54,0.6741381
55,0.712027
56,0.7132164
57,0.6947268
58,0.7305377
59,0.72776705
60,0.71583194
61,0.76321405
62,0.70779234
63,0.7195507
64,0.6652039
65,0.7317002
66,0.70721024
67,0.73951256
68,0.7752832
69,0.71375513
70,0.74198943
71,0.704461
72,0.75547683
73,0.7131416
74,0.6829119
75,0.81776416
76,0.80520344
77,0.7135129
78,0.6960837
79,0.71935636
80,0.7127547
81,0.7911422
82,0.7715981
83,0.6881184
84,0.7813835
85,0.692442
86,0.71643275
87,0.7678539
88,0.6963434
89,0.74076784
90,0.6639447
91,0.7512258
92,0.67864937
93,0.6896163
94,0.7020302
95,0.71282566
96,0.6864683
97,0.6953485
98,0.75946337
99,0.7263142
100,0.75120956
101,0.71700704
102,0.76348096
103,0.7414415
104,0.6661351
105,0.737771
106,0.7383587
107,0.7954413
108,0.73272103
109,0.7034456
110,0.76122874
111,0.80482835
112,0.7606239
113,0.74235284
114,0.76080346
115,0.73585093
116,0.7601073
117,0.7863759
118,0.73906857
119,0.82488817
120,0.6846284
121,0.8004993
122,0.7102892
123,0.92131305
124,0.77582526
125,0.7209703
126,0.774403
127,0.7910108
128,0.7327029
129,0.80943376
130,0.76679593
131,0.76517355
132,0.7842668
133,0.81380326
134,0.8472925
135,0.74053216
136,0.7321049
137,0.71670717
138,0.80678815
139,0.76693237
140,0.7493951
141,0.76128227
142,0.74460953
143,0.76447654
144,0.84677744
145,0.78084886
146,0.81007785
147,0.888675
148,0.86037326
149,0.7878211
150,0.77763814
151,0.81974494
152,0.7474509
153,0.7750447
154,0.7834441
155,0.83946526
156,0.8539933
157,0.8022037
158,0.79235125
159,0.81608844
160,0.87329483
161,0.79444337
162,0.87666005
163,0.84017015
164,0.83841115
165,0.9355432
166,0.77406824
167,0.9482754
168,0.9075071
169,0.8862965
170,0.97013474
171,0.95123297
172,0.9112582
173,0.9714783
174,0.81858766
175,0.9459796
176,0.8819555
177,0.8887346
178,0.9610581
179,0.9020615
180,1.0063797
181,0.89043295
182,0.85729915
183,0.9326471
184,0.92459756
185,0.97990537
186,0.9972156
187,0.9680726
188,1.0269634
189,0.9588392
190,1.0600207
191,0.9054017
192,0.9161665
193,1.0435349
194,0.97802186
195,1.1254551
196,1.0917172
197,1.0257641
198,0.9818573
199,1.0209715
200,1.1025853
201,1.0626799
202,1.0287917
203,1.0867925
204,1.0026236
205,1.1811546
206,1.2160689
207,1.09656
208,1.0541717
209,1.0494566
210,1.1087695
211,0.99079406
212,1.0549406
213,0.96044487
214,1.047115
215,1.1641788
216,1.125984
217,1.0070276
218,1.0195365
219,1.1057981
220,1.1466969
221,1.0751392
222,1.0352155
223,1.1213641
224,1.0004297
225,1.1749145
226,1.1462668
227,1.1518656
228,1.2715157
229,1.0513569
230,1.1525546
231,1.1578546
232,1.1573756
233,1.0737554
234,1.1162146
235,1.1091435
236,1.1789658
237,1.1750268
238,1.1495441
239,1.1445936
240,1.1016867
241,1.0899212
242,1.102788
243,1.2775615
244,1.3085914
245,1.1921592
246,1.2539392
247,1.2112426
248,1.2887403
249,1.295768
250,1.3215683
251,1.1781738
252,1.2443374
253,1.2060051
254,1.2707798
255,1.2538201
256,1.1608719
257,1.2429641
258,1.2732872
259,1.3040552
260,1.251741
261,1.182842
262,1.2168282
263,1.3185284
264,1.2940503
265,1.2293162
266,1.6037802
267,1.285085
268,1.2263957
269,1.2891426
270,1.316453
271,1.2402366
272,1.2152172
273,1.3519484
274,1.3664451
275,1.2857459
276,1.3252927
277,1.2465423
278,1.3417741
279,1.2997981
280,1.3173274
281,1.4171985
282,1.4440216
283,1.3579103
284,1.2881296
285,1.3146629
286,1.3958557
287,1.4528824
288,1.4223393
289,1.3472395
290,1.3439897
291,1.2978011
292,1.3199145
293,1.2349119
294,1.4006821
295,1.3919946
296,1.3818941
297,1.299646
298,1.4904765
299,1.4447767
300,1.3211095
301,1.3307639
302,1.3897066
303,1.4307821
304,1.2921677
305,1.4406683
306,1.3770652
307,1.4202101
308,1.4657016
309,1.5090611
310,1.3531537
311,1.4707108
312,1.5038173
313,1.4316167
314,1.4314247
315,1.4517634
316,1.4530301
317,1.4375
318,1.4752448
319,1.4605287
320,1.5588939
321,1.5047745
322,1.3177662
323,1.4289639
324,1.3561608
325,1.5031772
326,1.4909437
327,1.5370243
328,1.5637091
329,1.5744212
330,1.609142
331,1.5031211
332,1.519023
333,1.5436678
334,1.5491375
335,1.5777351
336,1.5389347
337,1.559198
338,1.4892895
339,1.5009885
340,1.6032486
341,1.3904153
342,1.5753425
343,1.4425925
344,1.4537482
345,1.516088
346,1.550098
347,1.5052999
348,1.4985212
349,1.5114291
350,1.4868183
351,1.5171093
352,1.5174029
353,1.446261
354,1.4950619
355,1.5199122
356,1.6047229
357,1.4413193
358,1.5581377
359,1.5418122
360,1.5541602
361,1.5985948
362,1.4638709
363,1.4099525
364,1.5497512
365,1.6459793
366,1.4896743
367,1.5658901
368,1.5223795
369,1.561609
370,1.6022321
371,1.4337609
372,1.5588135
373,1.4964678
374,1.5532833
375,1.6138761
376,1.6141509
377,1.5205421
378,1.6231382
379,1.653468
380,1.536721
381,1.5293704
382,1.5096734
383,1.5086774
384,1.5743903
385,1.4403098
386,1.5516758
387,1.5429428
388,1.5501839
389,1.601081
390,1.5466815
391,1.5450263
392,1.6169951
393,1.552895
394,1.5050994
395,1.4872469
396,1.542182
397,1.5325074
398,1.6151265
399,1.5955645
400,1.4955038
401,1.636592
402,1.4159924
403,1.6700304
404,1.4842163
405,1.4915738
406,1.5657065
407,1.5741296
408,1.6759907
409,1.6825663
410,1.5356213
411,1.6567527
412,1.6075822
413,1.6002723
414,1.6290606
415,1.5553395
416,1.7536082
417,1.5892414
418,1.6808139
419,1.585516
420,1.4946278
421,1.6582754
422,1.5011355
423,1.596557
424,1.635589
425,1.6196942
426,1.5440223
427,1.7028465
428,1.7470171
429,1.5811334
430,1.5450814
431,1.643974
432,1.5716892
433,1.4943787
434,1.4950447
435,1.5591115
436,1.6047039
437,1.6367145
438,1.7413173
439,1.8025082
