,0
0,0.35546875
1,0.42907715
2,0.43676758
3,0.38183594
4,0.42419434
5,0.3774414
6,0.41015625
7,0.40576172
8,0.43737793
9,0.4050293
10,0.38830566
11,0.41833496
12,0.40966797
13,0.44311523
14,0.44384766
15,0.45263672
16,0.4633789
17,0.45983887
18,0.43859863
19,0.44213867
20,0.44311523
21,0.42578125
22,0.47790527
23,0.47460938
24,0.45996094
25,0.41784668
26,0.44433594
27,0.42687988
28,0.39172363
29,0.41662598
30,0.39282227
31,0.42858887
32,0.39501953
33,0.38061523
34,0.41052246
35,0.43981934
36,0.4194336
37,0.42321777
38,0.44750977
39,0.44604492
40,0.4041748
41,0.4020996
42,0.4227295
43,0.42236328
44,0.41711426
45,0.43493652
46,0.44836426
47,0.40368652
48,0.48095703
49,0.49475098
50,0.4078369
51,0.44543457
52,0.43859863
53,0.46154785
54,0.38208008
55,0.42736816
56,0.42370605
57,0.4506836
58,0.37524414
59,0.4272461
60,0.4456787
61,0.44506836
62,0.43225098
63,0.42565918
64,0.5102539
65,0.45251465
66,0.4840088
67,0.4769287
68,0.4711914
69,0.43920898
70,0.45043945
71,0.5062256
72,0.4317627
73,0.43774414
74,0.41345215
75,0.46228027
76,0.4675293
77,0.40551758
78,0.4449463
79,0.48510742
80,0.46496582
81,0.43432617
82,0.5164795
83,0.46862793
84,0.46606445
85,0.46606445
86,0.47875977
87,0.4654541
88,0.42297363
89,0.42541504
90,0.4156494
91,0.453125
92,0.48510742
93,0.45654297
94,0.46520996
95,0.47998047
96,0.44067383
97,0.45593262
98,0.51416016
99,0.50341797
100,0.42492676
101,0.4658203
102,0.4453125
103,0.41882324
104,0.49243164
105,0.49853516
106,0.44213867
107,0.48120117
108,0.42529297
109,0.46276855
110,0.52001953
111,0.47644043
112,0.49609375
113,0.5336914
114,0.46728516
115,0.48168945
116,0.51123047
117,0.4921875
118,0.48010254
119,0.5653076
120,0.5449219
121,0.5369873
122,0.51135254
123,0.51293945
124,0.4781494
125,0.50598145
126,0.47387695
127,0.53234863
128,0.45898438
129,0.51953125
130,0.4897461
131,0.53552246
132,0.5074463
133,0.4892578
134,0.5625
135,0.5522461
136,0.52770996
137,0.52124023
138,0.47045898
139,0.5932617
140,0.56848145
141,0.50561523
142,0.493042
143,0.5476074
144,0.56347656
145,0.5701904
146,0.6094971
147,0.58703613
148,0.5383301
149,0.54663086
150,0.5288086
151,0.51293945
152,0.61413574
153,0.5073242
154,0.58898926
155,0.5718994
156,0.58813477
157,0.6536865
158,0.63964844
159,0.59851074
160,0.5036621
161,0.60180664
162,0.5987549
163,0.68310547
164,0.6904297
165,0.68115234
166,0.65722656
167,0.5891113
168,0.6020508
169,0.59558105
170,0.60705566
171,0.6875
172,0.6690674
173,0.63793945
174,0.703125
175,0.6060791
176,0.6520996
177,0.72229004
178,0.7524414
179,0.66467285
180,0.71972656
181,0.8198242
182,0.6738281
183,0.75061035
184,0.7402344
185,0.71447754
186,0.7281494
187,0.71032715
188,0.72302246
189,0.61291504
190,0.7416992
191,0.7541504
192,0.72424316
193,0.76000977
194,0.72961426
195,0.8048096
196,0.8088379
197,0.7302246
198,0.7565918
199,0.78967285
200,0.88964844
201,0.84936523
202,0.77441406
203,0.7515869
204,0.7911377
205,0.7369385
206,0.84436035
207,0.92248535
208,0.8469238
209,0.9350586
210,0.9468994
211,0.8668213
212,0.8469238
213,0.7967529
214,0.8387451
215,0.89868164
216,0.84277344
217,1.0322266
218,0.9793701
219,0.9173584
220,0.98461914
221,0.8985596
222,0.92614746
223,0.9227295
224,0.96154785
225,1.0065918
226,0.9069824
227,0.8815918
228,0.9154053
229,1.0256348
230,1.0648193
231,0.9324951
232,0.9630127
233,0.9604492
234,0.9284668
235,1.0932617
236,1.0074463
237,0.90148926
238,0.9564209
239,0.98168945
240,0.9946289
241,1.1130371
242,1.0334473
243,0.97106934
244,1.0394287
245,1.0075684
246,1.0909424
247,1.0656738
248,1.0716553
249,1.09021
250,1.0977783
251,0.8574219
252,1.1097412
253,1.1489258
254,1.1177979
255,1.0196533
256,1.1043701
257,1.1932373
258,1.0561523
259,1.2233887
260,1.1025391
261,1.1782227
262,1.1888428
263,1.3615723
264,1.2322998
265,1.0828857
266,1.2354736
267,1.2875977
268,1.2663574
269,1.1090088
270,1.147583
271,1.2137451
272,1.2039795
273,1.1403809
274,1.3067627
275,1.3271484
276,1.3320312
277,1.086792
278,1.2954102
279,1.168335
280,1.1989746
281,1.1149902
282,1.4503174
283,1.2901611
284,1.4470215
285,1.2244873
286,1.2729492
287,1.2476807
288,1.4143066
289,1.2125244
290,1.2786865
291,1.3687744
292,1.3476562
293,1.3366699
294,1.2429199
295,1.3372803
296,1.1943359
297,1.3787842
298,1.2659912
299,1.2004395
300,1.1732178
301,1.1679688
302,1.2557373
303,1.2270508
304,1.2672119
305,1.4344482
306,1.2979736
307,1.4505615
308,1.3283691
309,1.3684082
310,1.2849121
311,1.5107422
312,1.3657227
313,1.5064697
314,1.5618896
315,1.4674072
316,1.401123
317,1.4625244
318,1.5595703
319,1.527832
320,1.2435303
321,1.4000244
322,1.5838623
323,1.4423828
324,1.5080566
325,1.371582
326,1.6270752
327,1.4844971
328,1.5360107
329,1.5938721
330,1.4093018
331,1.4240723
332,1.4783936
333,1.4058838
334,1.4696045
335,1.4642334
336,1.5218506
337,1.4783936
338,1.4987793
339,1.6412354
340,1.5424805
341,1.5473633
342,1.3190918
343,1.461792
344,1.6257324
345,1.6558838
346,1.7373047
347,1.5075684
348,1.4970703
349,1.4450684
350,1.5546875
351,1.5288086
352,1.5435791
353,1.394165
354,1.5274658
355,1.6016846
356,1.4665527
357,1.7165527
358,1.6949463
359,1.6571045
360,1.756958
361,1.5645752
362,1.5465088
363,1.6943359
364,1.661499
365,1.668335
366,1.3988037
367,1.604126
368,1.6398926
369,1.5258789
370,1.6915283
371,1.7751465
372,1.673706
373,1.7073975
374,1.7050781
375,1.7022705
376,1.8590088
377,1.7790527
378,1.822876
379,1.5899658
380,1.7373047
381,1.8212891
382,1.80896
383,1.5911865
384,1.8063965
385,1.7954102
386,1.7255859
387,1.6812744
388,1.6588135
389,1.7454834
390,1.8533936
391,1.7746582
392,1.770752
393,1.9822998
394,1.942627
395,1.6401367
396,1.7092285
397,1.541626
398,1.6726074
399,1.9155273
400,1.9239502
401,1.8878174
402,1.8165283
403,1.7487793
404,1.7697754
405,1.9265137
406,1.7089844
407,1.8699951
408,1.7935791
409,1.8477783
410,1.838501
411,1.9486084
412,1.7458496
413,1.7341309
414,1.7144775
415,1.7027588
416,1.6727295
417,1.7806396
418,1.8029785
419,1.9033203
420,1.9157715
421,1.8742676
422,1.953125
423,1.9020996
424,1.9782715
425,1.8424072
426,1.776001
427,1.6253662
428,1.7636719
429,1.8049316
430,1.9029541
431,1.9447021
432,1.873291
433,1.9874268
434,2.0020752
435,1.9385986
436,1.9616699
437,1.730957
438,1.8894043
439,1.8563232
440,2.161499
441,1.7423096
442,1.9940186
443,1.8409424
444,1.8833008
445,1.8205566
446,1.5998535
447,1.9979248
448,1.9429932
449,1.6508789
450,1.7611084
451,1.8587646
452,1.8310547
453,1.956543
454,1.8520508
455,1.8851318
456,1.8526611
457,1.8937988
458,1.9245605
459,2.001709
460,1.9414062
461,1.9177246
462,1.8807373
463,1.6678467
464,1.7401123
465,1.8067627
466,1.8669434
467,1.8945312
468,1.9539795
469,1.9052734
470,1.8338623
471,1.9602051
472,1.9381104
473,1.9074707
474,1.8623047
475,1.9770508
476,1.9459229
477,1.9207764
478,1.7739258
479,2.01062
480,1.9658203
481,1.9595947
482,1.9017334
483,2.09375
484,1.8693848
485,1.7280273
486,1.8796387
487,1.8100586
488,1.8737793
489,1.9086914
490,2.0319824
491,2.010498
492,2.0997314
493,2.029663
494,1.880249
495,1.8868408
496,2.1115723
497,2.0604248
498,2.1451416
499,1.8979492
500,1.9759521
501,1.932373
502,2.0716553
503,2.0704346
504,2.0142822
505,1.8438721
506,1.946167
507,2.0563965
508,2.1052246
509,1.8729248
510,2.0343018
511,2.0372314
512,2.126587
513,1.8775635
514,1.9399414
515,1.9429932
516,1.9626465
517,1.9940186
518,1.8764648
519,2.064209
520,2.0876465
521,2.189331
522,1.9290771
523,1.9993896
524,1.8056641
525,2.1313477
526,2.0671387
527,1.9189453
528,2.0307617
529,1.7823486
530,2.0012207
531,1.8375244
532,1.9150391
533,2.0931396
534,2.1629639
535,2.2978516
536,2.1348877
537,2.227539
538,2.2629395
539,2.2479248
540,2.0683594
541,2.0614014
542,2.2679443
543,2.2071533
544,2.1176758
545,2.118042
546,1.9522705
547,2.2591553
548,2.1795654
549,2.237671
550,2.1660156
551,2.2398682
552,2.2502441
553,2.1898193
554,2.314331
555,2.2851562
556,2.1169434
557,2.1165771
558,2.0133057
559,1.9836426
560,2.0216064
561,2.0125732
562,2.2502441
563,2.2991943
564,2.2279053
565,2.3685303
566,2.1640625
567,2.1849365
568,1.9957275
569,2.241211
570,2.1082764
571,2.1654053
572,2.2644043
573,2.1325684
574,2.3511963
575,2.3511963
576,2.106079
577,2.2138672
578,2.2922363
579,2.185791
580,2.0517578
581,2.161255
582,2.168457
583,2.171875
584,2.0690918
585,1.989502
586,1.9123535
587,2.0892334
588,2.112915
589,2.1724854
590,2.2890625
591,2.2104492
592,2.0338135
593,2.0683594
594,2.1193848
595,2.1103516
596,2.0090332
597,2.0655518
598,2.012207
599,2.0133057
600,2.133789
601,2.1896973
602,2.2196045
603,2.2905273
604,2.2440186
605,2.2930908
606,2.0822754
607,2.1359863
608,2.321289
609,2.3192139
610,2.4689941
611,2.4179688
612,2.2176514
613,2.164795
614,1.9753418
615,1.9758301
616,2.2861328
617,2.2124023
618,1.9519043
619,2.2473145
620,2.0517578
621,2.1376953
622,2.25
623,2.1400146
624,2.074585
625,2.2966309
626,2.2296143
627,2.1672363
628,2.0512695
629,2.067749
630,2.1895752
631,2.1881104
632,2.1339111
633,2.0002441
634,2.1306152
635,2.1074219
636,2.1729736
637,2.3233643
638,2.255371
639,2.4050293
640,2.268921
641,2.369629
642,2.3811035
643,2.2271729
644,2.3378906
645,2.409546
646,2.482788
647,2.4556885
648,2.230835
649,2.121704
650,2.086792
651,2.2563477
652,2.3920898
653,2.1871338
654,2.1363525
655,2.5682373
656,2.354004
657,2.3494873
658,2.3398438
659,2.5789795
660,2.4680176
661,2.2330322
662,2.2767334
663,2.109375
664,2.0809326
665,2.225586
666,2.1140137
667,2.0634766
668,2.2076416
669,2.1452637
670,2.2686768
671,2.3601074
672,2.248291
673,2.1264648
674,2.0322266
675,1.8790283
676,2.0500488
677,2.1011963
678,2.0830078
679,2.0618896
680,2.2039795
681,2.187378
682,2.0758057
683,2.138916
684,2.2957764
685,2.3649902
686,2.0959473
687,2.2025146
688,2.2355957
689,2.098877
690,2.1774902
691,2.317749
692,2.4361572
693,2.4017334
694,2.6258545
695,2.345459
696,2.5325928
697,2.2076416
698,2.2955322
699,2.2988281
700,2.1678467
701,2.210083
702,2.4057617
703,2.3624268
704,2.300537
705,2.4559326
706,2.4533691
707,2.3149414
708,2.4284668
709,2.394165
710,2.5437012
711,2.4173584
712,2.2770996
713,2.2678223
714,2.072998
715,2.1849365
716,2.1391602
717,2.1223145
718,2.3721924
719,2.380005
720,2.0924072
721,2.3133545
722,2.4598389
723,2.3398438
724,2.279419
725,2.2510986
726,2.25
727,2.1119385
728,2.293213
729,2.4875488
730,2.4157715
731,2.156128
732,2.3321533
733,2.270874
734,2.5187988
735,2.3759766
736,2.3792725
737,2.644043
738,2.4367676
739,2.4798584
740,2.513794
741,2.3242188
742,2.5466309
743,2.3840332
744,2.2695312
745,2.2509766
746,2.6794434
747,2.421875
748,2.2734375
749,2.3929443
750,2.3707275
751,2.328003
752,2.4372559
753,2.46875
754,2.2271729
755,2.5847168
756,2.451416
757,2.3571777
758,2.418213
759,2.2713623
760,2.140503
761,2.2562256
762,2.3934326
763,2.3309326
764,2.2341309
765,2.268921
766,2.1855469
767,2.2835693
768,2.0732422
769,1.9418945
770,1.9951172
771,2.1296387
772,2.102539
773,2.40271
774,2.1831055
775,2.2077637
776,2.1566162
777,2.1204834
778,2.0524902
779,2.1064453
780,2.262085
781,2.34021
782,2.1566162
783,2.2973633
784,2.4732666
785,2.474121
786,2.3275146
787,2.2659912
788,2.5341797
789,2.40271
790,2.432129
791,2.503662
792,2.5045166
793,2.4556885
794,2.631836
795,2.3588867
796,2.6993408
797,2.3588867
798,2.472168
799,2.5439453
800,2.6777344
801,2.5599365
802,2.4719238
803,2.6365967
804,2.3745117
805,2.658081
806,2.6070557
807,2.9204102
808,2.4591064
809,2.4139404
810,2.3876953
811,2.3033447
812,2.2318115
813,2.4952393
814,2.2088623
