,0
0,0.6227376
1,0.70371455
2,0.718516
3,0.66177154
4,0.68062294
5,0.622941
6,0.6191006
7,0.6950269
8,0.743615
9,0.63084304
10,0.6354401
11,0.68619955
12,0.6598815
13,0.6917033
14,0.71279544
15,0.66029465
16,0.6888315
17,0.7018032
18,0.7016577
19,0.71094376
20,0.6562027
21,0.6790024
22,0.7540582
23,0.74088854
24,0.6639124
25,0.6525856
26,0.70004684
27,0.6396907
28,0.6573613
29,0.6305473
30,0.67675346
31,0.67407197
32,0.63292974
33,0.6346175
34,0.6345378
35,0.64312875
36,0.69199747
37,0.69154567
38,0.66396403
39,0.7003549
40,0.64601177
41,0.64171815
42,0.6929021
43,0.6946206
44,0.65808165
45,0.6734467
46,0.70539206
47,0.66566986
48,0.71252644
49,0.73535293
50,0.60881555
51,0.6637967
52,0.6611716
53,0.72550225
54,0.64537954
55,0.6651905
56,0.63568175
57,0.6871515
58,0.65012944
59,0.649579
60,0.69560444
61,0.6683483
62,0.65180784
63,0.6414559
64,0.69237775
65,0.6541567
66,0.7027694
67,0.684621
68,0.71373934
69,0.6464791
70,0.66400534
71,0.743435
72,0.7228024
73,0.6926519
74,0.6955002
75,0.6855748
76,0.70618796
77,0.6424203
78,0.6637564
79,0.7223232
80,0.6826842
81,0.6566839
82,0.7436068
83,0.7053729
84,0.6677348
85,0.72471756
86,0.7288944
87,0.70349157
88,0.65600777
89,0.67626
90,0.6689356
91,0.7006902
92,0.71536076
93,0.66388124
94,0.69562703
95,0.69778484
96,0.6920276
97,0.6499034
98,0.68272096
99,0.7172116
100,0.65957403
101,0.6873606
102,0.645513
103,0.6630984
104,0.7247988
105,0.75259817
106,0.6958454
107,0.7002637
108,0.6677086
109,0.6497675
110,0.76838756
111,0.70550406
112,0.7398297
113,0.69497883
114,0.713742
115,0.7157933
116,0.76936
117,0.71033627
118,0.74712634
119,0.77458566
120,0.7620667
121,0.7781809
122,0.76490265
123,0.83199483
124,0.7048666
125,0.7216067
126,0.73673236
127,0.785102
128,0.7328957
129,0.75848675
130,0.75850785
131,0.7406367
132,0.7725725
133,0.7115
134,0.73917973
135,0.7271619
136,0.7205911
137,0.79012954
138,0.7109676
139,0.8334694
140,0.79974836
141,0.7752694
142,0.69118375
143,0.7772894
144,0.81362545
145,0.775891
146,0.8884142
147,0.8219064
148,0.78778243
149,0.7881095
150,0.82865554
151,0.73757845
152,0.8227481
153,0.7234526
154,0.8151345
155,0.8059873
156,0.81552666
157,0.84595406
158,0.9020811
159,0.85727745
160,0.7743358
161,0.9278864
162,0.8040507
163,0.9114439
164,0.9758391
165,0.90968966
166,0.9863257
167,0.80000526
168,0.8605591
169,0.8852056
170,0.8287227
171,0.97790533
172,0.8563755
173,0.88251024
174,0.938411
175,0.8166822
176,0.88529676
177,0.93340313
178,0.95567983
179,0.8487882
180,0.9157964
181,1.0121369
182,0.9420766
183,0.9335527
184,0.960602
185,0.90551984
186,0.94447845
187,0.87469345
188,0.8769884
189,0.8635943
190,0.9834714
191,0.9636242
192,0.8881589
193,0.9652266
194,0.99866223
195,1.0159189
196,1.0032077
197,0.88965106
198,0.9771964
199,0.9152707
200,1.0529349
201,1.0495603
202,0.98630244
203,0.95052665
204,0.92897403
205,1.0182719
206,1.0495859
207,1.1144129
208,1.0821959
209,1.0945003
210,1.1310548
211,1.047557
212,1.1186912
213,1.0308115
214,1.0337317
215,1.0064431
216,0.99446046
217,1.1480649
218,1.1661062
219,1.2307626
220,1.087261
221,1.0861738
222,1.0891824
223,1.0896176
224,1.1405654
225,1.1088051
226,1.0928078
227,1.0633696
228,1.1633217
229,1.2257718
230,1.2820396
231,1.0621363
232,1.2174369
233,1.0626829
234,1.0308998
