,0
0,0.35546875
1,0.42907715
2,0.43676758
3,0.38183594
4,0.42419434
5,0.3774414
6,0.41015625
7,0.40576172
8,0.43737793
9,0.4050293
10,0.38830566
11,0.41833496
12,0.40966797
13,0.44311523
14,0.44384766
15,0.45263672
16,0.4633789
17,0.45983887
18,0.43859863
19,0.44213867
20,0.44311523
21,0.42578125
22,0.47790527
23,0.47460938
24,0.45996094
25,0.41784668
26,0.44433594
27,0.42687988
28,0.39172363
29,0.41662598
30,0.39282227
31,0.42858887
32,0.39501953
33,0.38061523
34,0.41052246
35,0.43981934
36,0.4194336
37,0.42321777
38,0.44750977
39,0.44604492
40,0.4041748
41,0.4020996
42,0.4227295
43,0.42236328
44,0.41711426
45,0.43493652
46,0.44836426
47,0.40368652
48,0.48095703
49,0.49475098
50,0.4078369
51,0.44543457
52,0.43859863
53,0.46154785
54,0.38208008
55,0.42736816
56,0.42370605
57,0.4506836
58,0.37524414
59,0.4272461
60,0.4456787
61,0.44506836
62,0.43225098
63,0.42565918
64,0.5102539
65,0.45251465
66,0.4840088
67,0.4769287
68,0.4711914
69,0.43920898
70,0.45043945
71,0.5062256
72,0.4317627
73,0.43774414
74,0.41345215
75,0.46228027
76,0.4675293
77,0.40551758
78,0.4449463
79,0.4958496
80,0.46496582
81,0.43469238
82,0.51171875
83,0.46289062
84,0.46520996
85,0.4510498
86,0.4777832
87,0.4552002
88,0.42565918
89,0.4210205
90,0.42504883
91,0.46765137
92,0.46191406
93,0.44970703
94,0.4663086
95,0.48303223
96,0.43945312
97,0.44726562
98,0.5008545
99,0.47961426
100,0.44360352
101,0.4732666
102,0.44665527
103,0.4230957
104,0.4967041
105,0.50512695
106,0.44482422
107,0.47729492
108,0.44604492
109,0.46447754
110,0.5189209
111,0.4819336
112,0.5024414
113,0.5428467
114,0.49353027
115,0.49536133
116,0.53015137
117,0.48742676
118,0.44128418
119,0.5571289
120,0.5430908
121,0.52856445
122,0.5185547
123,0.55029297
124,0.4798584
125,0.49475098
126,0.4510498
127,0.5140381
128,0.45788574
129,0.5062256
130,0.50305176
131,0.49499512
132,0.49194336
133,0.48999023
134,0.5600586
135,0.5498047
136,0.50561523
137,0.5152588
138,0.47509766
139,0.55822754
140,0.5632324
141,0.52526855
142,0.4683838
143,0.5626221
144,0.56921387
145,0.55029297
146,0.58166504
147,0.5662842
148,0.51916504
149,0.5493164
150,0.50427246
151,0.57128906
152,0.53552246
153,0.506958
154,0.56396484
155,0.5284424
156,0.5469971
157,0.6191406
158,0.555542
159,0.50231934
160,0.5463867
161,0.5701904
162,0.5983887
163,0.65478516
164,0.6517334
165,0.6439209
166,0.61938477
167,0.64819336
168,0.54345703
169,0.6245117
170,0.6212158
171,0.6600342
172,0.6217041
173,0.6557617
174,0.692749
175,0.5904541
176,0.66760254
177,0.7109375
178,0.7191162
179,0.67077637
180,0.6357422
181,0.8015137
182,0.70092773
183,0.7269287
184,0.7420654
185,0.6890869
186,0.7330322
187,0.70458984
188,0.6263428
189,0.69873047
190,0.7125244
191,0.8048096
192,0.7233887
193,0.68273926
194,0.7647705
195,0.84643555
196,0.69592285
197,0.74194336
198,0.7792969
199,0.7248535
200,0.7877197
201,0.76538086
202,0.72839355
203,0.79870605
204,0.80444336
205,0.7550049
206,0.7196045
207,0.76708984
208,0.7628174
209,0.77978516
210,0.92578125
211,0.859375
212,0.86901855
213,0.7602539
214,0.8469238
215,0.83203125
216,0.8659668
217,1.0378418
218,0.8865967
219,0.94763184
220,1.0356445
221,0.8972168
222,0.9283447
223,0.88879395
224,0.82470703
225,0.8881836
226,0.93981934
227,0.96606445
228,0.857666
229,0.9980469
230,1.0933838
231,0.8594971
232,0.9197998
233,0.9301758
234,0.8918457
235,0.90625
236,0.9556885
237,0.89404297
238,0.9256592
239,0.96484375
240,0.95410156
241,0.9836426
242,0.94262695
243,1.0030518
244,1.1459961
245,1.0183105
246,0.9748535
247,0.9387207
248,1.2301025
249,1.0238037
250,1.12854
251,0.97265625
252,1.1036377
253,1.0457764
254,1.163208
255,0.9902344
256,1.0070801
257,1.1418457
258,1.0297852
259,1.19104
260,1.1378174
261,1.2302246
262,1.0581055
263,1.194458
264,1.0162354
265,1.0113525
266,1.0672607
267,1.0838623
268,1.31604
269,1.1053467
270,1.0982666
271,1.2612305
272,1.2749023
273,1.2027588
274,1.1568604
275,1.1877441
276,1.15625
277,1.2358398
278,1.2412109
279,1.189331
280,1.2093506
281,1.1540527
282,1.2988281
283,1.2954102
284,1.2832031
285,1.1092529
286,1.3029785
287,1.295166
288,1.2587891
289,1.215332
290,1.4046631
291,1.2095947
292,1.3476562
293,1.3132324
294,1.1588135
295,1.1931152
296,1.2790527
297,1.1912842
298,1.2857666
299,1.2366943
300,1.262085
301,1.4248047
302,1.3469238
303,1.2669678
304,1.315918
305,1.3193359
306,1.4227295
307,1.2498779
308,1.2806396
309,1.2943115
310,1.2597656
311,1.4036865
312,1.465332
313,1.3691406
314,1.4829102
315,1.329834
316,1.3470459
317,1.3273926
318,1.529419
319,1.3743896
320,1.2895508
321,1.383667
322,1.5783691
323,1.4758301
324,1.5070801
325,1.4243164
326,1.3640137
327,1.3483887
328,1.4172363
329,1.3583984
330,1.4677734
331,1.3724365
332,1.3173828
333,1.5593262
334,1.4520264
335,1.645752
336,1.5333252
337,1.6048584
338,1.3518066
339,1.642456
340,1.411499
341,1.5305176
342,1.5335693
343,1.4777832
344,1.5656738
345,1.4796143
346,1.5959473
347,1.4904785
348,1.5625
349,1.4833984
350,1.6064453
351,1.605835
352,1.5164795
353,1.4118652
354,1.3907471
355,1.5424805
356,1.4647217
357,1.6293945
358,1.5577393
359,1.517456
360,1.6627197
361,1.5177002
362,1.4060059
363,1.7264404
364,1.7587891
365,1.5900879
366,1.5070801
367,1.675415
368,1.5386963
369,1.760376
370,1.6445312
371,1.6795654
372,1.565918
373,1.5756836
374,1.5684814
375,1.5446777
376,1.694458
377,1.7329102
378,1.6595459
379,1.6030273
380,1.7120361
381,1.6738281
382,1.6094971
383,1.519043
384,1.6854248
385,1.7821045
386,1.7387695
387,1.5996094
388,1.6905518
389,1.7602539
390,1.9051514
391,1.8585205
392,1.7895508
393,1.6519775
394,1.5493164
395,1.5842285
396,1.6369629
397,1.7427979
398,1.6844482
399,1.6542969
400,1.8619385
401,1.7802734
402,1.6489258
403,1.7757568
404,1.6766357
405,1.6871338
406,1.8505859
407,1.7268066
408,1.8092041
409,1.7756348
410,1.7635498
411,1.7731934
412,1.7722168
413,1.8709717
414,1.7272949
415,1.8145752
416,1.5540771
417,1.8171387
418,1.6156006
419,1.7210693
420,1.8707275
421,1.6824951
422,1.8009033
423,1.7937012
424,1.7563477
425,1.7009277
426,1.8641357
427,1.8077393
428,2.0579834
429,1.9359131
430,1.7635498
431,1.9281006
432,2.0509033
433,1.9118652
434,1.8775635
435,1.9267578
436,1.770752
437,1.7166748
438,2.0679932
439,1.6875
440,1.9281006
441,1.7584229
442,1.9262695
443,1.776001
444,1.8292236
445,1.8901367
446,1.8413086
447,1.6860352
448,1.8800049
449,1.6866455
450,1.8323975
451,1.873291
452,1.8259277
453,1.8532715
454,1.791748
455,1.8928223
456,2.067505
457,1.7412109
458,1.6727295
459,1.7664795
460,1.9764404
461,1.9423828
462,1.9526367
463,1.8041992
464,1.9035645
465,1.8444824
466,1.8487549
467,1.8498535
468,1.8483887
469,1.8626709
470,1.980835
471,1.9758301
472,1.821167
473,1.7155762
474,1.8187256
475,1.7984619
476,1.8372803
477,1.7567139
478,1.869873
479,1.6987305
480,1.9335938
481,1.944458
482,1.8858643
483,1.9194336
484,2.0198975
485,1.7772217
486,1.7919922
487,1.7695312
488,1.7297363
489,1.9918213
490,1.8931885
491,1.9029541
492,1.8099365
493,1.871582
494,1.876831
495,2.041626
496,2.1125488
497,2.0212402
498,1.963623
499,1.795166
500,1.7470703
501,1.9674072
502,1.9084473
503,1.8618164
504,1.809082
505,2.0238037
506,2.052246
507,1.8334961
508,1.9874268
509,1.977417
510,2.0905762
511,2.1086426
512,1.8918457
513,2.0109863
514,1.9210205
515,2.097412
516,1.888916
517,1.845581
518,2.0911865
519,1.8874512
520,1.9742432
521,1.9493408
522,1.8880615
523,1.9605713
524,1.9084473
525,2.0047607
526,1.9833984
527,2.0874023
528,2.1116943
529,2.126709
530,1.9526367
531,1.9294434
532,1.8751221
533,2.1600342
534,2.0861816
535,2.036255
536,1.8944092
537,2.0356445
538,1.8837891
539,2.1522217
540,2.0513916
541,2.123413
542,1.8704834
543,2.1551514
544,1.9772949
545,2.1376953
546,2.081787
547,2.2821045
548,2.000122
549,2.0236816
550,2.1844482
551,2.0065918
552,2.0809326
553,2.0533447
554,2.1987305
555,2.2432861
556,2.0152588
557,2.0133057
558,1.8969727
559,2.0408936
560,2.2145996
561,2.2404785
562,2.0666504
563,1.824707
564,2.1169434
565,2.178955
566,2.0402832
567,2.380249
568,2.2406006
569,2.4298096
570,2.192871
571,2.4266357
572,2.2340088
573,2.1818848
574,2.0378418
575,2.14917
576,2.3432617
577,2.2266846
578,2.3254395
579,2.3115234
580,2.0563965
581,2.1247559
582,2.2080078
583,2.2337646
584,2.3695068
585,2.234497
586,1.947876
587,2.0928955
588,2.057129
589,1.8729248
590,1.9445801
591,2.1206055
592,1.7844238
593,2.1470947
594,2.2182617
595,2.1539307
596,2.2991943
597,2.1182861
598,1.9317627
599,1.9216309
600,2.1103516
601,2.128296
602,2.1193848
603,2.2347412
604,2.2105713
605,2.2437744
606,2.0249023
607,2.0645752
608,2.02771
609,1.9852295
610,2.1113281
611,2.1484375
612,2.19812
613,2.2471924
614,2.2561035
615,2.2338867
616,2.170044
617,2.1542969
618,2.0692139
619,2.163086
620,2.4058838
621,2.2717285
622,2.1618652
623,2.138916
624,2.3233643
625,2.2592773
626,2.0233154
627,1.982544
628,2.411255
629,2.2629395
630,2.4266357
631,2.24292
632,2.1782227
633,2.3101807
634,2.1433105
635,2.1530762
636,2.0076904
637,2.3278809
638,2.0639648
639,2.0736084
640,2.229248
641,2.2658691
642,2.3638916
643,2.255249
644,2.1020508
645,2.1230469
646,2.1798096
647,2.2017822
648,2.2218018
649,2.1287842
650,2.1676025
651,2.185913
652,2.1064453
653,2.0820312
654,2.0385742
655,2.0788574
656,1.9372559
657,1.9035645
658,2.0333252
659,2.1834717
660,2.4261475
661,2.1324463
662,2.1868896
663,1.9638672
664,2.0458984
665,2.2546387
666,2.1948242
667,2.3966064
668,2.262207
669,2.3012695
670,2.3702393
671,2.2770996
672,2.223755
673,2.2388916
674,2.3649902
675,2.3544922
676,2.2963867
677,2.140503
678,1.9488525
679,2.121704
680,2.0054932
681,2.2010498
682,2.3255615
683,2.3570557
684,2.3277588
685,2.33313
686,2.2843018
687,2.2189941
688,2.3499756
689,2.2008057
690,2.1535645
691,2.177002
692,2.1323242
693,2.0944824
694,1.9433594
695,1.975708
696,2.1785889
697,2.192505
698,2.1784668
699,2.1983643
700,2.2253418
701,2.2346191
702,2.2086182
703,2.1451416
704,2.2492676
705,2.1104736
706,2.2340088
707,2.125122
708,2.1783447
709,2.180664
710,2.3015137
711,2.2098389
712,2.3129883
713,2.1325684
714,2.1365967
715,2.355835
716,2.065796
717,2.1325684
718,2.374878
719,2.3205566
720,2.2955322
721,2.440918
722,2.3128662
723,2.3239746
724,2.3078613
725,2.3354492
726,2.145874
727,2.1309814
728,2.2696533
729,2.3013916
730,2.27771
731,2.0458984
732,2.0812988
733,2.2297363
734,2.1807861
735,2.0853271
736,2.2851562
737,2.3546143
738,2.3875732
739,2.1871338
740,2.3017578
741,2.284546
742,2.3043213
743,2.1916504
744,2.1015625
745,2.1849365
746,2.246704
747,2.1724854
748,2.048462
749,2.1342773
750,2.0935059
751,2.0603027
752,2.088501
753,2.1470947
754,2.1427002
755,2.204956
756,2.3133545
757,2.4815674
758,2.309082
759,2.222412
760,2.4437256
761,2.3847656
762,2.3571777
763,2.3730469
764,2.4908447
765,2.2539062
766,2.4569092
767,2.4364014
768,2.3096924
769,2.5266113
770,2.2896729
771,2.3879395
772,2.40271
773,2.157959
774,2.1207275
775,2.225586
776,2.2094727
777,2.131836
778,2.4960938
779,2.2011719
780,2.272461
781,2.248169
782,2.024414
783,2.4086914
784,2.3007812
785,2.7227783
786,2.4042969
787,2.3847656
788,2.4658203
789,2.4002686
790,2.4104004
791,2.557129
792,2.446289
793,2.5805664
794,2.5112305
795,2.6746826
796,2.5690918
797,2.6142578
798,2.519043
799,2.4849854
800,2.4458008
801,2.4726562
802,2.5386963
803,2.4851074
804,2.442749
805,2.267456
806,2.442749
807,2.4208984
808,2.3458252
809,2.2957764
810,2.4794922
811,2.300293
812,2.4075928
813,2.210205
814,2.3337402
