,0
0,0.6227376
1,0.6976627
2,0.6939291
3,0.6610225
4,0.6901027
5,0.65380055
6,0.61524653
7,0.7045678
8,0.6736057
9,0.63586587
10,0.60546166
11,0.71315455
12,0.6946131
13,0.6918898
14,0.67551583
15,0.70095396
16,0.66059434
17,0.6656557
18,0.6290639
19,0.68834287
20,0.63239914
21,0.64503706
22,0.7633642
23,0.687855
24,0.70545876
25,0.6547623
26,0.6574187
27,0.6911723
28,0.67498887
29,0.63138545
30,0.6536945
31,0.67982215
32,0.6535835
33,0.6967288
34,0.6612348
35,0.69448406
36,0.66129607
37,0.6746735
38,0.71396774
39,0.7003403
40,0.7483551
41,0.66716295
42,0.6852475
43,0.69896066
44,0.6619029
45,0.657729
46,0.6918578
47,0.6805957
48,0.6824444
49,0.6679879
50,0.6430367
51,0.6663041
52,0.6955565
53,0.6714501
54,0.62134856
55,0.65338266
56,0.6645239
57,0.7472264
58,0.7061508
59,0.65047556
60,0.7371861
61,0.69183385
62,0.6604227
63,0.7982572
64,0.7157488
65,0.6859333
66,0.64841664
67,0.60606986
68,0.688543
69,0.65240735
70,0.66489375
71,0.7102614
72,0.6641672
73,0.6823202
74,0.6327412
75,0.675742
76,0.6753191
77,0.62975234
78,0.7620986
79,0.61146224
80,0.72617453
81,0.71710247
82,0.76475364
83,0.7430204
84,0.67513245
85,0.76179004
86,0.68618757
87,0.7021762
88,0.6524325
89,0.6879717
90,0.6897334
91,0.72647023
92,0.7353584
93,0.70693886
94,0.6446311
95,0.7070484
96,0.71469176
97,0.7016036
98,0.69268525
99,0.67088413
100,0.66548
101,0.7122452
102,0.71966064
103,0.6540675
104,0.69816154
105,0.72618955
106,0.6494129
107,0.6667855
108,0.6875329
109,0.6765779
110,0.6961288
111,0.68934995
112,0.69890225
113,0.71087146
114,0.6802146
115,0.6846615
116,0.6936811
117,0.73368
118,0.7820357
119,0.76098526
120,0.65064955
121,0.79915506
122,0.7012535
123,0.72549546
124,0.66699386
125,0.7275994
126,0.75225466
127,0.769428
128,0.71023357
129,0.7353546
