,0
0,13.348939
1,13.014274
2,13.011062
3,13.326766
4,14.663011
5,16.295088
6,17.29073
7,17.134192
8,17.66442
9,17.118185
10,18.54443
11,21.59089
12,24.479034
13,22.548443
14,21.708323
15,22.333815
16,27.85977
17,29.718164
18,26.140656
19,28.303724
20,27.517014
21,33.89699
22,34.56607
23,33.29174
24,39.0298
25,31.0326
26,37.462097
27,34.216564
28,35.019844
29,35.395153
30,31.941414
31,39.070244
32,37.942726
33,38.32674
34,39.44791
35,35.83654
36,34.483128
37,40.08217
38,37.049805
39,40.900963
40,43.254356
41,43.1286
42,40.072258
43,40.180782
44,41.25273
45,45.725323
46,48.64478
47,49.353996
48,43.232677
49,44.872242
50,44.06793
51,38.743088
52,38.12572
53,43.817432
54,37.629242
55,40.36074
56,45.918804
57,48.045513
58,43.96809
59,41.38494
60,47.45429
61,46.349266
62,43.31817
63,44.987198
64,44.661404
65,36.891163
66,45.1728
67,40.843884
68,45.1695
69,49.043434
70,43.951668
71,49.20855
72,46.457115
73,41.71608
74,45.152943
75,44.552082
76,49.65358
77,42.48722
78,44.04603
79,48.761703
80,49.099705
81,46.94352
82,50.712315
83,49.198185
84,47.790936
85,52.549385
86,45.758144
87,46.240005
88,49.639275
89,50.64087
90,55.25635
91,51.92823
92,56.474953
93,51.71781
94,47.13969
95,44.047905
96,45.68309
