,0
0,18.630371
1,23.494873
2,25.019043
3,24.679077
4,26.790283
5,28.13977
6,28.712769
7,29.932495
8,31.650879
9,29.56018
10,31.325684
11,35.35437
12,37.83252
13,37.265503
14,38.12439
15,36.250977
16,41.39624
17,43.078003
18,40.93347
19,42.082153
20,41.03772
21,45.410645
22,50.883057
23,48.770386
24,54.548584
25,51.725464
26,51.42627
27,47.65796
28,49.868164
29,54.75061
30,55.621704
31,56.929688
32,57.985962
33,58.78882
34,59.46277
35,57.422607
36,50.357788
37,60.60388
38,54.50354
39,58.02417
40,70.23352
41,63.786987
42,61.688232
43,58.1073
44,62.66626
45,68.57434
46,68.45691
47,68.86072
48,70.19995
49,64.002686
50,66.79468
51,63.899048
52,64.554565
53,66.4801
54,70.454956
55,66.61206
56,67.25879
57,73.11096
58,65.66089
59,65.76599
60,69.769165
61,69.43115
62,64.03247
63,63.283447
64,69.33826
65,61.34436
66,65.38843
67,64.89221
68,68.12927
69,69.73279
70,64.603516
71,75.68042
72,73.60083
73,72.10095
74,75.1958
75,73.08057
76,74.125854
77,67.9375
78,66.32764
79,67.79993
80,77.29968
81,73.4303
82,80.87463
83,75.52588
84,75.17859
85,76.701904
86,73.45361
87,67.74536
88,76.82703
89,73.21948
90,76.01965
91,79.42627
92,82.31213
93,70.57605
94,72.16431
95,73.93347
96,69.54651
