,0
0,18.630371
1,22.992188
2,22.453247
3,21.837158
4,23.508911
5,21.929077
6,22.92566
7,21.473755
8,22.62976
9,21.44751
10,22.284668
11,23.560059
12,24.78479
13,23.680054
14,25.14917
15,23.211304
16,23.426025
17,26.009155
18,24.201782
19,24.28711
20,26.431763
21,26.63855
22,26.34082
23,30.626953
24,28.411865
25,30.102417
26,29.599976
27,29.732544
28,34.123535
29,31.674927
30,31.170044
31,33.67212
32,33.696045
33,35.730713
34,35.205933
35,36.832397
36,35.498535
37,38.032837
38,38.83362
39,37.69226
40,41.581787
41,43.04077
42,44.58911
43,43.587646
44,44.354492
45,46.07605
46,47.354126
47,48.760376
48,52.892944
49,53.41748
50,52.937866
51,52.598877
52,59.851074
53,59.405273
54,67.105225
55,69.597534
56,65.98547
57,70.400024
58,68.159546
59,75.02075
60,74.4729
61,77.26245
62,77.652466
63,83.487305
64,91.80737
65,76.3197
66,89.73059
67,93.42139
68,104.8866
69,99.72534
70,106.66553
71,115.89636
72,110.17578
73,111.79053
74,110.58826
75,111.93286
76,114.31433
77,115.16431
78,112.3042
79,117.32446
80,128.03442
81,126.07898
82,147.10498
83,135.55383
84,128.60925
85,123.85144
86,134.40686
87,138.74426
88,137.06006
89,141.87903
90,147.68933
91,159.10608
92,144.80225
93,134.07019
94,133.73608
95,143.74597
96,142.91833
97,148.83142
98,141.57349
99,143.6001
100,153.89758
101,151.38574
102,145.32861
103,150.09741
104,144.76733
105,145.48132
106,143.58179
107,144.15039
108,146.09253
109,157.48853
110,160.4253
111,166.6991
112,161.79297
113,164.10559
114,178.18567
115,182.26965
116,186.13403
117,186.87622
118,181.62695
119,169.84644
120,161.23499
121,156.73328
122,162.34766
123,162.37878
124,161.32446
125,168.26147
126,162.71692
127,162.92297
128,160.64758
129,168.96973
130,165.02136
131,173.97534
132,181.79956
133,178.0564
134,183.01392
135,176.08643
136,184.86609
137,185.43872
138,181.17102
139,185.52844
140,180.77844
141,175.15686
142,182.1156
143,176.17285
144,167.78589
145,175.60107
146,172.89917
147,162.56787
148,163.03967
149,178.72742
150,180.56543
151,183.8313
152,174.16785
153,167.1034
154,178.74316
155,180.10583
156,170.99011
157,165.41907
158,163.59021
159,172.40564
160,167.17224
161,162.28442
162,170.07715
163,172.89539
164,173.73132
165,168.37915
166,173.04224
167,184.72485
168,187.51514
169,166.25208
170,162.10144
171,168.37195
172,173.32092
173,170.71057
174,180.25195
175,174.7893
176,171.24792
177,169.25183
178,167.38586
179,164.06018
180,163.26477
181,166.21619
182,168.75073
183,175.74988
184,180.76501
185,177.16052
186,181.21558
187,178.0437
188,178.53052
189,173.84753
190,171.60718
191,172.0448
192,176.60083
193,173.37878
194,168.76636
195,174.6217
196,180.93262
197,175.44287
198,171.58105
199,182.69812
200,182.93433
201,182.4325
202,179.6294
203,192.28687
204,192.93799
205,188.29395
206,184.37927
207,187.2992
208,188.21924
209,186.72034
210,179.61108
211,180.04211
212,179.64453
213,180.70581
214,178.5769
215,179.43091
216,184.38196
217,174.026
218,178.31921
219,180.61792
220,178.17017
221,183.78088
222,192.50806
223,193.807
224,198.43652
225,206.26196
226,196.5343
227,197.0398
228,202.32812
229,197.42163
230,188.75867
231,187.00854
232,191.12488
233,193.45715
234,193.62732
235,205.76208
236,199.92029
237,198.67615
238,204.86499
239,200.39099
240,208.5874
241,201.97144
242,194.70203
243,193.85938
244,198.5326
245,196.93652
246,196.85144
247,198.81311
248,208.68127
249,202.86853
250,206.40503
251,204.91504
252,196.495
253,192.9187
254,196.03882
255,195.80493
256,198.46155
257,202.64246
258,217.06042
259,218.87769
260,210.91785
261,203.21814
262,195.16943
263,200.48181
264,208.78772
265,199.50244
266,198.10217
267,206.53186
268,207.13
269,205.521
270,198.7616
271,204.01074
272,203.78369
273,213.67188
274,202.39429
275,213.44873
276,222.21582
277,217.38367
278,201.76086
279,209.48425
280,203.59387
281,205.7085
282,207.66577
283,207.37976
284,210.59741
285,207.8341
286,206.4347
287,216.01636
288,218.9237
289,214.56982
290,208.88037
291,220.2782
292,205.79724
293,190.64734
294,194.31091
295,197.35217
296,198.52332
297,200.73499
298,202.26282
299,195.3573
300,201.4674
301,206.71619
302,205.15918
303,202.68372
304,197.47229
305,202.35352
306,202.04785
307,208.99927
308,207.50342
309,208.75635
310,209.12256
311,217.12024
312,226.67969
313,223.54114
314,232.74963
315,233.87622
316,239.59753
317,238.38062
318,242.93408
319,237.98401
320,218.54968
321,219.43408
322,226.59009
323,230.01172
324,225.46936
325,228.1676
326,224.13037
327,236.56836
328,247.16211
329,242.86353
330,239.41101
331,225.77173
332,218.25903
333,228.0376
334,228.8612
335,221.44885
336,228.93372
337,232.65308
338,240.01794
339,241.73523
340,252.5835
341,243.17493
342,236.44861
343,227.52673
344,240.98767
345,235.60547
346,237.84167
347,239.69531
348,245.01062
349,250.33472
350,249.72778
351,243.74817
352,244.74573
353,245.76672
354,239.50452
355,228.15515
356,227.95752
357,237.18945
358,248.23083
359,254.09998
360,252.54639
361,248.44678
362,254.34326
363,268.599
364,262.98206
365,269.609
366,274.2854
367,268.0719
368,261.77002
369,249.74756
370,261.20312
371,269.90784
372,275.56128
373,266.51672
374,261.8789
375,259.6056
376,265.94006
377,260.62537
378,270.3048
379,277.46497
380,268.52112
381,258.97388
382,262.09424
383,263.56067
384,272.5006
385,273.44653
386,275.44556
387,287.32568
388,279.71814
389,285.97107
390,280.76135
391,283.6504
392,297.69507
393,291.98315
394,287.65625
395,280.25146
396,282.10547
397,282.92175
398,286.20776
399,294.47607
400,303.6355
401,306.85547
402,313.08582
403,311.5299
404,302.6494
405,298.05432
406,300.88928
407,306.0332
408,314.16492
409,300.82654
410,297.6942
411,303.63965
412,312.9088
413,314.2046
414,323.67664
415,332.27283
416,318.0448
417,317.65417
418,321.28223
419,321.985
420,312.66577
421,310.9442
422,307.54272
423,301.33545
424,306.22437
425,308.55957
426,305.6703
427,305.97766
428,319.80396
429,319.2793
430,316.59143
431,309.2257
432,304.5111
433,310.54663
434,308.73853
435,304.94763
436,313.13574
437,323.3485
438,326.45227
439,324.1139
440,328.08582
441,321.60925
442,315.01233
443,322.59485
444,329.54883
445,334.21533
446,330.6781
447,320.85803
448,303.75354
449,315.20947
450,319.67517
451,315.87744
452,317.06104
453,310.9911
454,325.27966
455,332.50537
456,331.0271
457,330.36536
458,324.92737
459,327.65942
460,327.88086
461,325.21106
462,320.6886
463,328.1859
464,326.81116
465,323.16382
466,336.30212
467,340.1515
468,331.27917
469,319.80798
470,313.7937
471,324.1527
472,322.0631
473,327.92932
474,338.14197
475,329.39172
476,331.989
477,335.70947
478,337.94653
479,351.62183
480,351.69214
481,338.99976
482,342.19812
483,334.3778
484,330.76294
485,322.64062
486,325.1682
487,333.93518
488,324.7621
489,309.77014
490,307.63635
491,311.2699
492,317.0808
493,315.2422
494,314.6289
495,314.63416
496,314.86084
497,316.526
498,314.07593
499,319.7351
500,312.52905
501,311.22717
502,308.9225
503,323.85596
504,333.5763
505,325.32715
506,316.90393
507,306.96082
508,314.3557
509,322.68933
510,327.89197
511,337.54968
512,340.03662
513,349.69092
514,350.1819
515,348.83875
516,353.50525
517,357.26843
518,348.0531
519,352.50586
520,357.76953
521,365.96643
522,358.97363
523,348.79846
524,351.69592
525,350.36536
526,359.45215
527,369.3971
528,367.18298
529,370.42407
530,367.71472
531,362.17883
532,367.9944
533,376.3069
534,382.34363
535,384.84448
536,382.97144
537,387.73584
538,388.00415
539,386.3938
540,387.44775
541,380.3678
542,380.9104
543,387.2638
544,393.88647
545,402.4181
546,399.63867
547,397.93115
548,395.85083
549,395.75195
550,402.9259
551,401.01965
