,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.21594238
20,0.453125
21,0.453125
22,0.453125
23,0.453125
24,0.453125
25,0.453125
26,0.453125
27,0.453125
28,0.453125
29,0.453125
30,0.453125
31,0.453125
32,0.453125
33,0.453125
34,0.453125
35,0.453125
36,0.453125
37,0.453125
38,0.453125
39,0.52697754
40,0.53125
41,0.53125
42,0.53125
43,0.53125
44,0.53125
45,0.53125
46,0.53125
47,0.53125
48,0.53125
49,0.53125
50,0.53125
51,0.53125
52,0.53125
53,0.53125
54,0.53125
55,0.53125
56,0.53125
57,0.53125
58,0.5118408
59,0.484375
60,0.484375
61,0.484375
62,0.484375
63,0.484375
64,0.484375
65,0.484375
66,0.484375
67,0.484375
68,0.484375
69,0.484375
70,0.484375
71,0.484375
72,0.484375
73,0.484375
74,0.484375
75,0.484375
76,0.484375
77,0.484375
78,0.5119629
79,0.515625
80,0.515625
81,0.515625
82,0.515625
83,0.515625
84,0.515625
85,0.515625
86,0.515625
87,0.515625
88,0.515625
89,0.515625
90,0.515625
91,0.515625
92,0.515625
93,0.515625
94,0.515625
95,0.515625
96,0.515625
97,0.46618652
98,0.375
99,0.375
100,0.375
101,0.375
102,0.375
103,0.375
104,0.375
105,0.375
106,0.375
107,0.375
108,0.375
109,0.375
110,0.375
111,0.375
112,0.375
113,0.375
114,0.375
115,0.375
116,0.375
117,0.41345215
118,0.421875
119,0.421875
120,0.421875
121,0.421875
122,0.421875
123,0.421875
124,0.421875
125,0.421875
126,0.421875
127,0.421875
128,0.421875
129,0.421875
130,0.421875
131,0.421875
132,0.421875
133,0.421875
134,0.421875
135,0.421875
136,0.4263916
137,0.4375
138,0.4375
139,0.4375
140,0.4375
141,0.4375
142,0.4375
143,0.4375
144,0.4375
145,0.4375
146,0.4375
147,0.4375
148,0.4375
149,0.4375
150,0.4375
151,0.4375
152,0.4375
153,0.4375
154,0.4375
155,0.4375
156,0.6624756
157,0.734375
158,0.734375
159,0.734375
160,0.734375
161,0.734375
162,0.734375
163,0.734375
164,0.734375
165,0.734375
166,0.734375
167,0.734375
168,0.734375
169,0.734375
170,0.734375
171,0.734375
172,0.734375
173,0.734375
174,0.734375
175,0.6883545
176,0.53125
177,0.53125
178,0.53125
179,0.53125
180,0.53125
181,0.53125
182,0.53125
183,0.53125
184,0.53125
185,0.53125
186,0.53125
187,0.53125
188,0.53125
189,0.53125
190,0.53125
191,0.53125
192,0.53125
193,0.53125
194,0.53125
195,0.44433594
196,0.40625
197,0.40625
198,0.40625
199,0.40625
200,0.40625
201,0.40625
202,0.40625
203,0.40625
204,0.40625
205,0.40625
206,0.40625
207,0.40625
208,0.40625
209,0.40625
210,0.40625
211,0.40625
212,0.40625
213,0.40625
214,0.43188477
215,0.5625
216,0.5625
217,0.5625
218,0.5625
219,0.5625
220,0.5625
221,0.5625
222,0.5625
223,0.5625
224,0.5625
225,0.5625
226,0.5625
227,0.5625
228,0.5625
229,0.5625
230,0.5625
231,0.5625
232,0.5625
233,0.5625
234,0.7404785
235,0.84375
236,0.84375
237,0.84375
238,0.84375
239,0.84375
240,0.84375
241,0.84375
242,0.84375
243,0.84375
244,0.84375
245,0.84375
246,0.84375
247,0.84375
248,0.84375
249,0.84375
250,0.84375
251,0.84375
252,0.84375
253,0.8564453
254,0.96875
255,0.96875
256,0.96875
257,0.96875
258,0.96875
259,0.96875
260,0.96875
261,0.96875
262,0.96875
263,0.96875
264,0.96875
265,0.96875
266,0.96875
267,0.96875
268,0.96875
269,0.96875
270,0.96875
271,0.96875
272,0.96875
273,0.84399414
274,0.75
275,0.75
276,0.75
277,0.75
278,0.75
279,0.75
280,0.75
281,0.75
282,0.75
283,0.75
284,0.75
285,0.75
286,0.75
287,0.75
288,0.75
289,0.75
290,0.75
291,0.75
292,0.7561035
293,0.90625
294,0.90625
295,0.90625
296,0.90625
297,0.90625
298,0.90625
299,0.90625
300,0.90625
301,0.90625
302,0.90625
303,0.90625
304,0.90625
305,0.90625
306,0.90625
307,0.90625
308,0.90625
309,0.90625
310,0.90625
311,0.90625
312,1.2553711
313,1.59375
314,1.59375
315,1.59375
316,1.59375
317,1.59375
318,1.59375
319,1.59375
320,1.59375
321,1.59375
322,1.59375
323,1.59375
324,1.59375
325,1.59375
326,1.59375
327,1.59375
328,1.59375
329,1.59375
330,1.59375
331,1.59375
332,1.3343506
333,1.328125
334,1.328125
335,1.328125
336,1.328125
337,1.328125
338,1.328125
339,1.328125
340,1.328125
341,1.328125
342,1.328125
343,1.328125
344,1.328125
345,1.328125
346,1.328125
347,1.328125
348,1.328125
349,1.328125
350,1.328125
351,1.369873
352,1.421875
353,1.421875
354,1.421875
355,1.421875
356,1.421875
357,1.421875
358,1.421875
359,1.421875
360,1.421875
361,1.421875
362,1.421875
363,1.421875
364,1.421875
365,1.421875
366,1.421875
367,1.421875
368,1.421875
369,1.421875
370,1.421875
371,1.3504639
372,1.34375
373,1.34375
374,1.34375
375,1.34375
376,1.34375
377,1.34375
378,1.34375
379,1.34375
380,1.34375
381,1.34375
382,1.34375
383,1.34375
384,1.34375
385,1.34375
386,1.34375
387,1.34375
388,1.34375
389,1.34375
390,1.6428223
391,2.125
392,2.125
393,2.125
394,2.125
395,2.125
396,2.125
397,2.125
398,2.125
399,2.125
400,2.125
401,2.125
402,2.125
403,2.125
404,2.125
405,2.125
406,2.125
407,2.125
408,2.125
409,2.125
410,2.2713623
411,2.296875
412,2.296875
413,2.296875
414,2.296875
415,2.296875
416,2.296875
417,2.296875
418,2.296875
419,2.296875
420,2.296875
421,2.296875
422,2.296875
423,2.296875
424,2.296875
425,2.296875
426,2.296875
427,2.296875
428,2.296875
429,2.6171875
430,3.296875
431,3.296875
432,3.296875
433,3.296875
434,3.296875
435,3.296875
436,3.296875
437,3.296875
438,3.296875
439,3.296875
440,3.296875
441,3.296875
442,3.296875
443,3.296875
444,3.296875
445,3.296875
446,3.296875
447,3.296875
448,3.296875
449,3.9503174
450,4.125
451,4.125
452,4.125
453,4.125
454,4.125
455,4.125
456,4.125
457,4.125
458,4.125
459,4.125
460,4.125
461,4.125
462,4.125
463,4.125
464,4.125
465,4.125
466,4.125
467,4.125
468,4.3465576
469,4.984375
470,4.984375
471,4.984375
472,4.984375
473,4.984375
474,4.984375
475,4.984375
476,4.984375
477,4.984375
478,4.984375
479,4.984375
480,4.984375
481,4.984375
482,4.984375
483,4.984375
484,4.984375
485,4.984375
486,4.984375
487,4.984375
488,4.96167
489,4.953125
490,4.953125
491,4.953125
492,4.953125
493,4.953125
494,4.953125
495,4.953125
496,4.953125
497,4.953125
498,4.953125
499,4.953125
500,4.953125
