,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.22338867
20,0.46875
21,0.46875
22,0.46875
23,0.46875
24,0.46875
25,0.46875
26,0.46875
27,0.46875
28,0.46875
29,0.46875
30,0.46875
31,0.46875
32,0.46875
33,0.46875
34,0.46875
35,0.46875
36,0.46875
37,0.46875
38,0.46875
39,0.58691406
40,0.59375
41,0.59375
42,0.59375
43,0.59375
44,0.59375
45,0.59375
46,0.59375
47,0.59375
48,0.59375
49,0.59375
50,0.59375
51,0.59375
52,0.59375
53,0.59375
54,0.59375
55,0.59375
56,0.59375
57,0.59375
58,0.5484619
59,0.484375
60,0.484375
61,0.484375
62,0.484375
63,0.484375
64,0.484375
65,0.484375
66,0.484375
67,0.484375
68,0.484375
69,0.484375
70,0.484375
71,0.484375
72,0.484375
73,0.484375
74,0.484375
75,0.484375
76,0.484375
77,0.484375
78,0.47058105
79,0.46875
80,0.46875
81,0.46875
82,0.46875
83,0.46875
84,0.46875
85,0.46875
86,0.46875
87,0.46875
88,0.46875
89,0.46875
90,0.46875
91,0.46875
92,0.46875
93,0.46875
94,0.46875
95,0.46875
96,0.46875
97,0.39733887
98,0.265625
99,0.265625
100,0.265625
101,0.265625
102,0.265625
103,0.265625
104,0.265625
105,0.265625
106,0.265625
107,0.265625
108,0.265625
109,0.265625
110,0.265625
111,0.265625
112,0.265625
113,0.265625
114,0.265625
115,0.265625
116,0.265625
117,0.31689453
118,0.328125
119,0.328125
120,0.328125
121,0.328125
122,0.328125
123,0.328125
124,0.328125
125,0.328125
126,0.328125
127,0.328125
128,0.328125
129,0.328125
130,0.328125
131,0.328125
132,0.328125
133,0.328125
134,0.328125
135,0.328125
136,0.328125
137,0.328125
138,0.328125
139,0.328125
140,0.328125
141,0.328125
142,0.328125
143,0.328125
144,0.328125
145,0.328125
146,0.328125
147,0.328125
148,0.328125
149,0.328125
150,0.328125
151,0.328125
152,0.328125
153,0.328125
154,0.328125
155,0.328125
156,0.5057373
157,0.5625
158,0.5625
159,0.5625
160,0.5625
161,0.5625
162,0.5625
163,0.5625
164,0.5625
165,0.5625
166,0.5625
167,0.5625
168,0.5625
169,0.5625
170,0.5625
171,0.5625
172,0.5625
173,0.5625
174,0.5625
175,0.52001953
176,0.375
177,0.375
178,0.375
179,0.375
180,0.375
181,0.375
182,0.375
183,0.375
184,0.375
185,0.375
186,0.375
187,0.375
188,0.375
189,0.375
190,0.375
191,0.375
192,0.375
193,0.375
194,0.375
195,0.3206787
196,0.296875
197,0.296875
198,0.296875
199,0.296875
200,0.296875
201,0.296875
202,0.296875
203,0.296875
204,0.296875
205,0.296875
206,0.296875
207,0.296875
208,0.296875
209,0.296875
210,0.296875
211,0.296875
212,0.296875
213,0.296875
214,0.3302002
215,0.5
216,0.5
217,0.5
218,0.5
219,0.5
220,0.5
221,0.5
222,0.5
223,0.5
224,0.5
225,0.5
226,0.5
227,0.5
228,0.5
229,0.5
230,0.5
231,0.5
232,0.5
233,0.5
234,0.4703369
235,0.453125
236,0.453125
237,0.453125
238,0.453125
239,0.453125
240,0.453125
241,0.453125
242,0.453125
243,0.453125
244,0.453125
245,0.453125
246,0.453125
247,0.453125
248,0.453125
249,0.453125
250,0.453125
251,0.453125
252,0.453125
253,0.44677734
254,0.390625
255,0.390625
256,0.390625
257,0.390625
258,0.390625
259,0.390625
260,0.390625
261,0.390625
262,0.390625
263,0.390625
264,0.390625
265,0.390625
266,0.390625
267,0.390625
268,0.390625
269,0.390625
270,0.390625
271,0.390625
272,0.390625
273,0.42626953
274,0.453125
275,0.453125
276,0.453125
277,0.453125
278,0.453125
279,0.453125
280,0.453125
281,0.453125
282,0.453125
283,0.453125
284,0.453125
285,0.453125
286,0.453125
287,0.453125
288,0.453125
289,0.453125
290,0.453125
291,0.453125
292,0.453125
293,0.453125
294,0.453125
295,0.453125
296,0.453125
297,0.453125
298,0.453125
299,0.453125
300,0.453125
301,0.453125
302,0.453125
303,0.453125
304,0.453125
305,0.453125
306,0.453125
307,0.453125
308,0.453125
309,0.453125
310,0.453125
311,0.453125
312,0.40551758
313,0.359375
314,0.359375
315,0.359375
316,0.359375
317,0.359375
318,0.359375
319,0.359375
320,0.359375
321,0.359375
322,0.359375
323,0.359375
324,0.359375
325,0.359375
326,0.359375
327,0.359375
328,0.359375
329,0.359375
330,0.359375
331,0.359375
332,0.5272217
333,0.53125
334,0.53125
335,0.53125
336,0.53125
337,0.53125
338,0.53125
339,0.53125
340,0.53125
341,0.53125
342,0.53125
343,0.53125
344,0.53125
345,0.53125
346,0.53125
347,0.53125
348,0.53125
349,0.53125
350,0.53125
351,0.47558594
352,0.40625
353,0.40625
354,0.40625
355,0.40625
356,0.40625
357,0.40625
358,0.40625
359,0.40625
360,0.40625
361,0.40625
362,0.40625
363,0.40625
364,0.40625
365,0.40625
366,0.40625
367,0.40625
368,0.40625
369,0.40625
370,0.40625
371,0.49194336
372,0.5
373,0.5
374,0.5
375,0.5
376,0.5
377,0.5
378,0.5
379,0.5
380,0.5
381,0.5
382,0.5
383,0.5
384,0.5
385,0.5
386,0.5
387,0.5
388,0.5
389,0.5
390,0.49401855
391,0.484375
392,0.484375
393,0.484375
394,0.484375
395,0.484375
396,0.484375
397,0.484375
398,0.484375
399,0.484375
400,0.484375
401,0.484375
402,0.484375
403,0.484375
404,0.484375
405,0.484375
406,0.484375
407,0.484375
408,0.484375
409,0.484375
410,0.35131836
411,0.328125
412,0.328125
413,0.328125
414,0.328125
415,0.328125
416,0.328125
417,0.328125
418,0.328125
419,0.328125
420,0.328125
421,0.328125
422,0.328125
423,0.328125
424,0.328125
425,0.328125
426,0.328125
427,0.328125
428,0.328125
429,0.3531494
430,0.40625
431,0.40625
432,0.40625
433,0.40625
434,0.40625
435,0.40625
436,0.40625
437,0.40625
438,0.40625
439,0.40625
440,0.40625
441,0.40625
442,0.40625
443,0.40625
444,0.40625
445,0.40625
446,0.40625
447,0.40625
448,0.40625
449,0.3446045
450,0.328125
451,0.328125
452,0.328125
453,0.328125
454,0.328125
455,0.328125
456,0.328125
457,0.328125
458,0.328125
459,0.328125
460,0.328125
461,0.328125
462,0.328125
463,0.328125
464,0.328125
465,0.328125
466,0.328125
467,0.328125
468,0.37243652
469,0.5
470,0.5
471,0.5
472,0.5
473,0.5
474,0.5
475,0.5
476,0.5
477,0.5
478,0.5
479,0.5
480,0.5
481,0.5
482,0.5
483,0.5
484,0.5
485,0.5
486,0.5
487,0.5
488,0.37512207
489,0.328125
490,0.328125
491,0.328125
492,0.328125
493,0.328125
494,0.328125
495,0.328125
496,0.328125
497,0.328125
498,0.328125
499,0.328125
500,0.328125
