,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.5678133
20,0.7493487
21,0.7493487
22,0.7493487
23,0.7493487
24,0.7493487
25,0.7493487
26,0.7493487
27,0.7493487
28,0.7493487
29,0.7493487
30,0.7493487
31,0.7493487
32,0.7493487
33,0.7493487
34,0.7493487
35,0.7493487
36,0.7493487
37,0.7493487
38,0.7493487
39,0.7835994
40,0.784991
41,0.784991
42,0.784991
43,0.784991
44,0.784991
45,0.784991
46,0.784991
47,0.784991
48,0.784991
49,0.784991
50,0.784991
51,0.784991
52,0.784991
53,0.784991
54,0.784991
55,0.784991
56,0.784991
57,0.784991
58,0.7640897
59,0.7287015
60,0.7287015
61,0.7287015
62,0.7287015
63,0.7287015
64,0.7287015
65,0.7287015
66,0.7287015
67,0.7287015
68,0.7287015
69,0.7287015
70,0.7287015
71,0.7287015
72,0.7287015
73,0.7287015
74,0.7287015
75,0.7287015
76,0.7287015
77,0.7287015
78,0.74697554
79,0.7493487
80,0.7493487
81,0.7493487
82,0.7493487
83,0.7493487
84,0.7493487
85,0.7493487
86,0.7493487
87,0.7493487
88,0.7493487
89,0.7493487
90,0.7493487
91,0.7493487
92,0.7493487
93,0.7493487
94,0.7493487
95,0.7493487
96,0.7493487
97,0.68924344
98,0.53741825
99,0.53741825
100,0.53741825
101,0.53741825
102,0.53741825
103,0.53741825
104,0.53741825
105,0.53741825
106,0.53741825
107,0.53741825
108,0.53741825
109,0.53741825
110,0.53741825
111,0.53741825
112,0.53741825
113,0.53741825
114,0.53741825
115,0.53741825
116,0.53741825
117,0.57953185
118,0.5877576
119,0.5877576
120,0.5877576
121,0.5877576
122,0.5877576
123,0.5877576
124,0.5877576
125,0.5877576
126,0.5877576
127,0.5877576
128,0.5877576
129,0.5877576
130,0.5877576
131,0.5877576
132,0.5877576
133,0.5877576
134,0.5877576
135,0.5877576
136,0.61773115
137,0.6859001
138,0.6859001
139,0.6859001
140,0.6859001
141,0.6859001
142,0.6859001
143,0.6859001
144,0.6859001
145,0.6859001
146,0.6859001
147,0.6859001
148,0.6859001
149,0.6859001
150,0.6859001
151,0.6859001
152,0.6859001
153,0.6859001
154,0.6859001
155,0.6859001
156,0.72363573
157,0.72618437
158,0.72618437
159,0.72618437
160,0.72618437
161,0.72618437
162,0.72618437
163,0.72618437
164,0.72618437
165,0.72618437
166,0.72618437
167,0.72618437
168,0.72618437
169,0.72618437
170,0.72618437
171,0.72618437
172,0.72618437
173,0.72618437
174,0.72618437
175,0.7138689
176,0.649519
177,0.649519
178,0.649519
179,0.649519
180,0.649519
181,0.649519
182,0.649519
183,0.649519
184,0.649519
185,0.649519
186,0.649519
187,0.649519
188,0.649519
189,0.649519
190,0.649519
191,0.649519
192,0.649519
193,0.649519
194,0.649519
195,0.5832309
196,0.54999113
197,0.54999113
198,0.54999113
199,0.54999113
200,0.54999113
201,0.54999113
202,0.54999113
203,0.54999113
204,0.54999113
205,0.54999113
206,0.54999113
207,0.54999113
208,0.54999113
209,0.54999113
210,0.54999113
211,0.54999113
212,0.54999113
213,0.54999113
214,0.56572515
215,0.6123724
216,0.6123724
217,0.6123724
218,0.6123724
219,0.6123724
220,0.6123724
221,0.6123724
222,0.6123724
223,0.6123724
224,0.6123724
225,0.6123724
226,0.6123724
227,0.6123724
228,0.6123724
229,0.6123724
230,0.6123724
231,0.6123724
232,0.6123724
233,0.6123724
234,0.6276109
235,0.6356514
236,0.6356514
237,0.6356514
238,0.6356514
239,0.6356514
240,0.6356514
241,0.6356514
242,0.6356514
243,0.6356514
244,0.6356514
245,0.6356514
246,0.6356514
247,0.6356514
248,0.6356514
249,0.6356514
250,0.6356514
251,0.6356514
252,0.6356514
253,0.6301347
254,0.57600963
255,0.57600963
256,0.57600963
257,0.57600963
258,0.57600963
259,0.57600963
260,0.57600963
261,0.57600963
262,0.57600963
263,0.57600963
264,0.57600963
265,0.57600963
266,0.57600963
267,0.57600963
268,0.57600963
269,0.57600963
270,0.57600963
271,0.57600963
272,0.57600963
273,0.65377754
274,0.7055514
275,0.7055514
276,0.7055514
277,0.7055514
278,0.7055514
279,0.7055514
280,0.7055514
281,0.7055514
282,0.7055514
283,0.7055514
284,0.7055514
285,0.7055514
286,0.7055514
287,0.7055514
288,0.7055514
289,0.7055514
290,0.7055514
291,0.7055514
292,0.7055514
293,0.7055514
294,0.7055514
295,0.7055514
296,0.7055514
297,0.7055514
298,0.7055514
299,0.7055514
300,0.7055514
301,0.7055514
302,0.7055514
303,0.7055514
304,0.7055514
305,0.7055514
306,0.7055514
307,0.7055514
308,0.7055514
309,0.7055514
310,0.7055514
311,0.7055514
312,0.67774236
313,0.6463162
314,0.6463162
315,0.6463162
316,0.6463162
317,0.6463162
318,0.6463162
319,0.6463162
320,0.6463162
321,0.6463162
322,0.6463162
323,0.6463162
324,0.6463162
325,0.6463162
326,0.6463162
327,0.6463162
328,0.6463162
329,0.6463162
330,0.6463162
331,0.6463162
332,0.7268505
333,0.72819877
334,0.72819877
335,0.72819877
336,0.72819877
337,0.72819877
338,0.72819877
339,0.72819877
340,0.72819877
341,0.72819877
342,0.72819877
343,0.72819877
344,0.72819877
345,0.72819877
346,0.72819877
347,0.72819877
348,0.72819877
349,0.72819877
350,0.72819877
351,0.69921803
352,0.65476024
353,0.65476024
354,0.65476024
355,0.65476024
356,0.65476024
357,0.65476024
358,0.65476024
359,0.65476024
360,0.65476024
361,0.65476024
362,0.65476024
363,0.65476024
364,0.65476024
365,0.65476024
366,0.65476024
367,0.65476024
368,0.65476024
369,0.65476024
370,0.65476024
371,0.6826415
372,0.68465316
373,0.68465316
374,0.68465316
375,0.68465316
376,0.68465316
377,0.68465316
378,0.68465316
379,0.68465316
380,0.68465316
381,0.68465316
382,0.68465316
383,0.68465316
384,0.68465316
385,0.68465316
386,0.68465316
387,0.68465316
388,0.68465316
389,0.68465316
390,0.7187251
391,0.7703933
392,0.7703933
393,0.7703933
394,0.7703933
395,0.7703933
396,0.7703933
397,0.7703933
398,0.7703933
399,0.7703933
400,0.7703933
401,0.7703933
402,0.7703933
403,0.7703933
404,0.7703933
405,0.7703933
406,0.7703933
407,0.7703933
408,0.7703933
409,0.7703933
410,0.59896
411,0.5605435
412,0.5605435
413,0.5605435
414,0.5605435
415,0.5605435
416,0.5605435
417,0.5605435
418,0.5605435
419,0.5605435
420,0.5605435
421,0.5605435
422,0.5605435
423,0.5605435
424,0.5605435
425,0.5605435
426,0.5605435
427,0.5605435
428,0.5605435
429,0.56761324
430,0.5787581
431,0.5787581
432,0.5787581
433,0.5787581
434,0.5787581
435,0.5787581
436,0.5787581
437,0.5787581
438,0.5787581
