,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.22338867
20,0.46875
21,0.46875
22,0.46875
23,0.46875
24,0.46875
25,0.46875
26,0.46875
27,0.46875
28,0.46875
29,0.46875
30,0.46875
31,0.46875
32,0.46875
33,0.46875
34,0.46875
35,0.46875
36,0.46875
37,0.46875
38,0.46875
39,0.58691406
40,0.59375
41,0.59375
42,0.59375
43,0.59375
44,0.59375
45,0.59375
46,0.59375
47,0.59375
48,0.59375
49,0.59375
50,0.59375
51,0.59375
52,0.59375
53,0.59375
54,0.59375
55,0.59375
56,0.59375
57,0.59375
58,0.5484619
59,0.484375
60,0.484375
61,0.484375
62,0.484375
63,0.484375
64,0.484375
65,0.484375
66,0.484375
67,0.484375
68,0.484375
69,0.484375
70,0.484375
71,0.484375
72,0.484375
73,0.484375
74,0.484375
75,0.484375
76,0.484375
77,0.484375
78,0.44299316
79,0.4375
80,0.4375
81,0.4375
82,0.4375
83,0.4375
84,0.4375
85,0.4375
86,0.4375
87,0.4375
88,0.4375
89,0.4375
90,0.4375
91,0.4375
92,0.4375
93,0.4375
94,0.4375
95,0.4375
96,0.4375
97,0.38256836
98,0.28125
99,0.28125
100,0.28125
101,0.28125
102,0.28125
103,0.28125
104,0.28125
105,0.28125
106,0.28125
107,0.28125
108,0.28125
109,0.28125
110,0.28125
111,0.28125
112,0.28125
113,0.28125
114,0.28125
115,0.28125
116,0.28125
117,0.31970215
118,0.328125
119,0.328125
120,0.328125
121,0.328125
122,0.328125
123,0.328125
124,0.328125
125,0.328125
126,0.328125
127,0.328125
128,0.328125
129,0.328125
130,0.328125
131,0.328125
132,0.328125
133,0.328125
134,0.328125
135,0.328125
136,0.3145752
137,0.28125
138,0.28125
139,0.28125
140,0.28125
141,0.28125
142,0.28125
143,0.28125
144,0.28125
145,0.28125
146,0.28125
147,0.28125
148,0.28125
149,0.28125
150,0.28125
151,0.28125
152,0.28125
153,0.28125
154,0.28125
155,0.28125
156,0.38781738
157,0.421875
158,0.421875
159,0.421875
160,0.421875
161,0.421875
162,0.421875
163,0.421875
164,0.421875
165,0.421875
166,0.421875
167,0.421875
168,0.421875
169,0.421875
170,0.421875
171,0.421875
172,0.421875
173,0.421875
174,0.421875
175,0.42895508
176,0.453125
177,0.453125
178,0.453125
179,0.453125
180,0.453125
181,0.453125
182,0.453125
183,0.453125
184,0.453125
185,0.453125
186,0.453125
187,0.453125
188,0.453125
189,0.453125
190,0.453125
191,0.453125
192,0.453125
193,0.453125
194,0.453125
195,0.3770752
196,0.34375
197,0.34375
198,0.34375
199,0.34375
200,0.34375
201,0.34375
202,0.34375
203,0.34375
204,0.34375
205,0.34375
206,0.34375
207,0.34375
208,0.34375
209,0.34375
210,0.34375
211,0.34375
212,0.34375
213,0.34375
214,0.37963867
215,0.5625
216,0.5625
217,0.5625
218,0.5625
219,0.5625
220,0.5625
221,0.5625
222,0.5625
223,0.5625
224,0.5625
225,0.5625
226,0.5625
227,0.5625
228,0.5625
229,0.5625
230,0.5625
231,0.5625
232,0.5625
233,0.5625
234,0.5822754
235,0.59375
236,0.59375
237,0.59375
238,0.59375
239,0.59375
240,0.59375
241,0.59375
242,0.59375
243,0.59375
244,0.59375
245,0.59375
246,0.59375
247,0.59375
248,0.59375
249,0.59375
250,0.59375
251,0.59375
252,0.59375
253,0.5699463
254,0.359375
255,0.359375
256,0.359375
257,0.359375
258,0.359375
259,0.359375
260,0.359375
261,0.359375
262,0.359375
263,0.359375
264,0.359375
265,0.359375
266,0.359375
267,0.359375
268,0.359375
269,0.359375
270,0.359375
271,0.359375
272,0.359375
273,0.37719727
274,0.390625
275,0.390625
276,0.390625
277,0.390625
278,0.390625
279,0.390625
280,0.390625
281,0.390625
282,0.390625
283,0.390625
284,0.390625
285,0.390625
286,0.390625
287,0.390625
288,0.390625
289,0.390625
290,0.390625
291,0.390625
292,0.3930664
293,0.453125
294,0.453125
295,0.453125
296,0.453125
297,0.453125
298,0.453125
299,0.453125
300,0.453125
301,0.453125
302,0.453125
303,0.453125
304,0.453125
305,0.453125
306,0.453125
307,0.453125
308,0.453125
309,0.453125
310,0.453125
311,0.453125
312,0.42138672
313,0.390625
314,0.390625
315,0.390625
316,0.390625
317,0.390625
318,0.390625
319,0.390625
320,0.390625
321,0.390625
322,0.390625
323,0.390625
324,0.390625
325,0.390625
326,0.390625
327,0.390625
328,0.390625
329,0.390625
330,0.390625
331,0.390625
332,0.49743652
333,0.5
334,0.5
335,0.5
336,0.5
337,0.5
338,0.5
339,0.5
340,0.5
341,0.5
342,0.5
343,0.5
344,0.5
345,0.5
346,0.5
347,0.5
348,0.5
349,0.5
350,0.5
351,0.47216797
352,0.4375
353,0.4375
354,0.4375
355,0.4375
356,0.4375
357,0.4375
358,0.4375
359,0.4375
360,0.4375
361,0.4375
362,0.4375
363,0.4375
364,0.4375
365,0.4375
366,0.4375
367,0.4375
368,0.4375
369,0.4375
370,0.4375
371,0.5946045
372,0.609375
373,0.609375
374,0.609375
375,0.609375
376,0.609375
377,0.609375
378,0.609375
379,0.609375
380,0.609375
381,0.609375
382,0.609375
383,0.609375
384,0.609375
385,0.609375
386,0.609375
387,0.609375
388,0.609375
389,0.609375
390,0.5734863
391,0.515625
392,0.515625
393,0.515625
394,0.515625
395,0.515625
396,0.515625
397,0.515625
398,0.515625
399,0.515625
400,0.515625
401,0.515625
402,0.515625
403,0.515625
404,0.515625
405,0.515625
406,0.515625
407,0.515625
408,0.515625
409,0.515625
410,0.43579102
411,0.421875
412,0.421875
413,0.421875
414,0.421875
415,0.421875
416,0.421875
417,0.421875
418,0.421875
419,0.421875
420,0.421875
421,0.421875
422,0.421875
423,0.421875
424,0.421875
425,0.421875
426,0.421875
427,0.421875
428,0.421875
429,0.4519043
430,0.515625
431,0.515625
432,0.515625
433,0.515625
434,0.515625
435,0.515625
436,0.515625
437,0.515625
438,0.515625
439,0.515625
440,0.515625
441,0.515625
442,0.515625
443,0.515625
444,0.515625
445,0.515625
446,0.515625
447,0.515625
448,0.515625
449,0.4416504
450,0.421875
451,0.421875
452,0.421875
453,0.421875
454,0.421875
455,0.421875
456,0.421875
457,0.421875
458,0.421875
459,0.421875
460,0.421875
461,0.421875
462,0.421875
463,0.421875
464,0.421875
465,0.421875
466,0.421875
467,0.421875
468,0.43395996
469,0.46875
470,0.46875
471,0.46875
472,0.46875
473,0.46875
474,0.46875
475,0.46875
476,0.46875
477,0.46875
478,0.46875
479,0.46875
480,0.46875
481,0.46875
482,0.46875
483,0.46875
484,0.46875
485,0.46875
486,0.46875
487,0.46875
488,0.36657715
489,0.328125
490,0.328125
491,0.328125
