,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.22338867
20,0.46875
21,0.46875
22,0.46875
23,0.46875
24,0.46875
25,0.46875
26,0.46875
27,0.46875
28,0.46875
29,0.46875
30,0.46875
31,0.46875
32,0.46875
33,0.46875
34,0.46875
35,0.46875
36,0.46875
37,0.46875
38,0.46875
39,0.5130615
40,0.515625
41,0.515625
42,0.515625
43,0.515625
44,0.515625
45,0.515625
46,0.515625
47,0.515625
48,0.515625
49,0.515625
50,0.515625
51,0.515625
52,0.515625
53,0.515625
54,0.515625
55,0.515625
56,0.515625
57,0.515625
58,0.5091553
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,0.5
70,0.5
71,0.5
72,0.5
73,0.5
74,0.5
75,0.5
76,0.5
77,0.5
78,0.5689697
79,0.578125
80,0.578125
81,0.578125
82,0.578125
83,0.578125
84,0.578125
85,0.578125
86,0.578125
87,0.578125
88,0.578125
89,0.578125
90,0.578125
91,0.578125
92,0.578125
93,0.578125
94,0.578125
95,0.578125
96,0.578125
97,0.51220703
98,0.390625
99,0.390625
100,0.390625
101,0.390625
102,0.390625
103,0.390625
104,0.390625
105,0.390625
106,0.390625
107,0.390625
108,0.390625
109,0.390625
110,0.390625
111,0.390625
112,0.390625
113,0.390625
114,0.390625
115,0.390625
116,0.390625
117,0.44189453
118,0.453125
119,0.453125
120,0.453125
121,0.453125
122,0.453125
123,0.453125
124,0.453125
125,0.453125
126,0.453125
127,0.453125
128,0.453125
129,0.453125
130,0.453125
131,0.453125
132,0.453125
133,0.453125
134,0.453125
135,0.453125
136,0.40795898
137,0.296875
138,0.296875
139,0.296875
140,0.296875
141,0.296875
142,0.296875
143,0.296875
144,0.296875
145,0.296875
146,0.296875
147,0.296875
148,0.296875
149,0.296875
150,0.296875
151,0.296875
152,0.296875
153,0.296875
154,0.296875
155,0.296875
156,0.5218506
157,0.59375
158,0.59375
159,0.59375
160,0.59375
161,0.59375
162,0.59375
163,0.59375
164,0.59375
165,0.59375
166,0.59375
167,0.59375
168,0.59375
169,0.59375
170,0.59375
171,0.59375
172,0.59375
173,0.59375
174,0.59375
175,0.5548096
176,0.421875
177,0.421875
178,0.421875
179,0.421875
180,0.421875
181,0.421875
182,0.421875
183,0.421875
184,0.421875
185,0.421875
186,0.421875
187,0.421875
188,0.421875
189,0.421875
190,0.421875
191,0.421875
192,0.421875
193,0.421875
194,0.421875
195,0.33496094
196,0.296875
197,0.296875
198,0.296875
199,0.296875
200,0.296875
201,0.296875
202,0.296875
203,0.296875
204,0.296875
205,0.296875
206,0.296875
207,0.296875
208,0.296875
209,0.296875
210,0.296875
211,0.296875
212,0.296875
213,0.296875
214,0.32763672
215,0.484375
216,0.484375
217,0.484375
218,0.484375
219,0.484375
220,0.484375
221,0.484375
222,0.484375
223,0.484375
224,0.484375
225,0.484375
226,0.484375
227,0.484375
228,0.484375
229,0.484375
230,0.484375
231,0.484375
232,0.484375
233,0.484375
234,0.57336426
235,0.625
236,0.625
237,0.625
238,0.625
239,0.625
240,0.625
241,0.625
242,0.625
243,0.625
244,0.625
245,0.625
246,0.625
247,0.625
248,0.625
249,0.625
250,0.625
251,0.625
252,0.625
253,0.60913086
254,0.46875
255,0.46875
256,0.46875
257,0.46875
258,0.46875
259,0.46875
260,0.46875
261,0.46875
262,0.46875
263,0.46875
264,0.46875
265,0.46875
266,0.46875
267,0.46875
268,0.46875
269,0.46875
270,0.46875
271,0.46875
272,0.46875
273,0.46875
274,0.46875
275,0.46875
276,0.46875
277,0.46875
278,0.46875
279,0.46875
280,0.46875
281,0.46875
282,0.46875
283,0.46875
284,0.46875
285,0.46875
286,0.46875
287,0.46875
288,0.46875
289,0.46875
290,0.46875
291,0.46875
292,0.46447754
293,0.359375
294,0.359375
295,0.359375
296,0.359375
297,0.359375
298,0.359375
299,0.359375
300,0.359375
301,0.359375
302,0.359375
303,0.359375
304,0.359375
305,0.359375
306,0.359375
307,0.359375
308,0.359375
309,0.359375
310,0.359375
311,0.359375
312,0.414917
313,0.46875
314,0.46875
315,0.46875
316,0.46875
317,0.46875
318,0.46875
319,0.46875
320,0.46875
321,0.46875
322,0.46875
323,0.46875
324,0.46875
325,0.46875
326,0.46875
327,0.46875
328,0.46875
329,0.46875
330,0.46875
331,0.46875
332,0.54504395
333,0.546875
334,0.546875
335,0.546875
336,0.546875
337,0.546875
338,0.546875
339,0.546875
340,0.546875
341,0.546875
342,0.546875
343,0.546875
344,0.546875
345,0.546875
346,0.546875
347,0.546875
348,0.546875
349,0.546875
350,0.546875
351,0.532959
352,0.515625
353,0.515625
354,0.515625
355,0.515625
356,0.515625
357,0.515625
358,0.515625
359,0.515625
360,0.515625
361,0.515625
362,0.515625
363,0.515625
364,0.515625
365,0.515625
366,0.515625
367,0.515625
368,0.515625
369,0.515625
370,0.515625
371,0.58703613
372,0.59375
373,0.59375
374,0.59375
375,0.59375
376,0.59375
377,0.59375
378,0.59375
379,0.59375
380,0.59375
381,0.59375
382,0.59375
383,0.59375
384,0.59375
385,0.59375
386,0.59375
387,0.59375
388,0.59375
389,0.59375
390,0.5698242
391,0.53125
392,0.53125
393,0.53125
394,0.53125
395,0.53125
396,0.53125
397,0.53125
398,0.53125
399,0.53125
400,0.53125
401,0.53125
402,0.53125
403,0.53125
404,0.53125
405,0.53125
406,0.53125
407,0.53125
408,0.53125
409,0.53125
410,0.41149902
411,0.390625
412,0.390625
413,0.390625
414,0.390625
415,0.390625
416,0.390625
417,0.390625
418,0.390625
419,0.390625
420,0.390625
421,0.390625
422,0.390625
423,0.390625
424,0.390625
425,0.390625
426,0.390625
427,0.390625
428,0.390625
429,0.4456787
430,0.5625
431,0.5625
432,0.5625
433,0.5625
434,0.5625
435,0.5625
436,0.5625
437,0.5625
438,0.5625
439,0.5625
440,0.5625
441,0.5625
442,0.5625
443,0.5625
444,0.5625
445,0.5625
446,0.5625
447,0.5625
448,0.5625
449,0.5131836
450,0.5
451,0.5
452,0.5
453,0.5
454,0.5
455,0.5
456,0.5
457,0.5
458,0.5
459,0.5
460,0.5
461,0.5
462,0.5
463,0.5
464,0.5
465,0.5
466,0.5
467,0.5
468,0.49597168
469,0.484375
470,0.484375
471,0.484375
472,0.484375
473,0.484375
474,0.484375
475,0.484375
476,0.484375
477,0.484375
478,0.484375
479,0.484375
480,0.484375
481,0.484375
482,0.484375
483,0.484375
484,0.484375
485,0.484375
486,0.484375
487,0.484375
488,0.5411377
489,0.5625
490,0.5625
491,0.5625
492,0.5625
493,0.5625
494,0.5625
495,0.5625
496,0.5625
497,0.5625
