,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.5678133
20,0.7493487
21,0.7493487
22,0.7493487
23,0.7493487
24,0.7493487
25,0.7493487
26,0.7493487
27,0.7493487
28,0.7493487
29,0.7493487
30,0.7493487
31,0.7493487
32,0.7493487
33,0.7493487
34,0.7493487
35,0.7493487
36,0.7493487
37,0.7493487
38,0.7493487
39,0.7882965
40,0.790415
41,0.790415
42,0.790415
43,0.790415
44,0.790415
45,0.790415
46,0.790415
47,0.790415
48,0.790415
49,0.790415
50,0.790415
51,0.790415
52,0.790415
53,0.790415
54,0.790415
55,0.790415
56,0.790415
57,0.790415
58,0.7740199
59,0.7493487
60,0.7493487
61,0.7493487
62,0.7493487
63,0.7493487
64,0.7493487
65,0.7493487
66,0.7493487
67,0.7493487
68,0.7493487
69,0.7493487
70,0.7493487
71,0.7493487
72,0.7493487
73,0.7493487
74,0.7493487
75,0.7493487
76,0.7493487
77,0.7493487
78,0.7284552
79,0.7246699
80,0.7246699
81,0.7246699
82,0.7246699
83,0.7246699
84,0.7246699
85,0.7246699
86,0.7246699
87,0.7246699
88,0.7246699
89,0.7246699
90,0.7246699
91,0.7246699
92,0.7246699
93,0.7246699
94,0.7246699
95,0.7246699
96,0.7246699
97,0.70579165
98,0.65233207
99,0.65233207
100,0.65233207
101,0.65233207
102,0.65233207
103,0.65233207
104,0.65233207
105,0.65233207
106,0.65233207
107,0.65233207
108,0.65233207
109,0.65233207
110,0.65233207
111,0.65233207
112,0.65233207
113,0.65233207
114,0.65233207
115,0.65233207
116,0.65233207
117,0.603637
118,0.592103
119,0.592103
120,0.592103
121,0.592103
122,0.592103
123,0.592103
124,0.592103
125,0.592103
126,0.592103
127,0.592103
128,0.592103
129,0.592103
130,0.592103
131,0.592103
132,0.592103
133,0.592103
134,0.592103
135,0.592103
136,0.5559954
137,0.43944877
138,0.43944877
139,0.43944877
140,0.43944877
141,0.43944877
142,0.43944877
143,0.43944877
144,0.43944877
145,0.43944877
146,0.43944877
147,0.43944877
148,0.43944877
149,0.43944877
150,0.43944877
151,0.43944877
152,0.43944877
153,0.43944877
154,0.43944877
155,0.43944877
156,0.6681463
157,0.7043392
158,0.7043392
159,0.7043392
160,0.7043392
161,0.7043392
162,0.7043392
163,0.7043392
164,0.7043392
165,0.7043392
166,0.7043392
167,0.7043392
168,0.7043392
169,0.7043392
170,0.7043392
171,0.7043392
172,0.7043392
173,0.7043392
174,0.7043392
175,0.6967345
176,0.649519
177,0.649519
178,0.649519
179,0.649519
180,0.649519
181,0.649519
182,0.649519
183,0.649519
184,0.649519
185,0.649519
186,0.649519
187,0.649519
188,0.649519
189,0.649519
190,0.649519
191,0.649519
192,0.649519
193,0.649519
194,0.649519
195,0.64733374
196,0.6463162
197,0.6463162
198,0.6463162
199,0.6463162
200,0.6463162
201,0.6463162
202,0.6463162
203,0.6463162
204,0.6463162
205,0.6463162
206,0.6463162
207,0.6463162
208,0.6463162
209,0.6463162
210,0.6463162
211,0.6463162
212,0.6463162
213,0.6463162
214,0.67321074
215,0.7627497
216,0.7627497
217,0.7627497
218,0.7627497
219,0.7627497
220,0.7627497
221,0.7627497
222,0.7627497
223,0.7627497
224,0.7627497
225,0.7627497
226,0.7627497
227,0.7627497
228,0.7627497
229,0.7627497
230,0.7627497
231,0.7627497
232,0.7627497
233,0.7627497
234,0.81536704
235,0.8441839
236,0.8441839
237,0.8441839
238,0.8441839
239,0.8441839
240,0.8441839
241,0.8441839
242,0.8441839
243,0.8441839
244,0.8441839
245,0.8441839
246,0.8441839
247,0.8441839
248,0.8441839
249,0.8441839
250,0.8441839
251,0.8441839
252,0.8441839
253,0.8362955
254,0.74198186
255,0.74198186
256,0.74198186
257,0.74198186
258,0.74198186
259,0.74198186
260,0.74198186
261,0.74198186
262,0.74198186
263,0.74198186
264,0.74198186
265,0.74198186
266,0.74198186
267,0.74198186
268,0.74198186
269,0.74198186
270,0.74198186
271,0.74198186
272,0.74198186
273,0.647471
274,0.56509817
275,0.56509817
276,0.56509817
277,0.56509817
278,0.56509817
279,0.56509817
280,0.56509817
281,0.56509817
282,0.56509817
283,0.56509817
284,0.56509817
285,0.56509817
286,0.56509817
287,0.56509817
288,0.56509817
289,0.56509817
290,0.56509817
291,0.56509817
292,0.5672542
293,0.61792874
294,0.61792874
295,0.61792874
296,0.61792874
297,0.61792874
298,0.61792874
299,0.61792874
300,0.61792874
301,0.61792874
302,0.61792874
303,0.61792874
304,0.61792874
305,0.61792874
306,0.61792874
307,0.61792874
308,0.61792874
309,0.61792874
310,0.61792874
311,0.61792874
312,0.6280499
313,0.6343057
314,0.6343057
315,0.6343057
316,0.6343057
317,0.6343057
318,0.6343057
319,0.6343057
320,0.6343057
321,0.6343057
322,0.6343057
323,0.6343057
324,0.6343057
325,0.6343057
326,0.6343057
327,0.6343057
328,0.6343057
329,0.6343057
330,0.6343057
331,0.6343057
332,0.7261524
333,0.72819877
334,0.72819877
335,0.72819877
336,0.72819877
337,0.72819877
338,0.72819877
339,0.72819877
340,0.72819877
341,0.72819877
342,0.72819877
343,0.72819877
344,0.72819877
345,0.72819877
346,0.72819877
347,0.72819877
348,0.72819877
349,0.72819877
350,0.72819877
351,0.7278669
352,0.7273601
353,0.7273601
354,0.7273601
355,0.7273601
356,0.7273601
357,0.7273601
358,0.7273601
359,0.7273601
360,0.7273601
361,0.7273601
362,0.7273601
363,0.7273601
364,0.7273601
365,0.7273601
366,0.7273601
367,0.7273601
368,0.7273601
369,0.7273601
370,0.7273601
371,0.79583746
372,0.8003905
373,0.8003905
374,0.8003905
375,0.8003905
376,0.8003905
377,0.8003905
378,0.8003905
379,0.8003905
380,0.8003905
381,0.8003905
382,0.8003905
383,0.8003905
384,0.8003905
385,0.8003905
386,0.8003905
387,0.8003905
388,0.8003905
389,0.8003905
390,0.78384274
391,0.75
392,0.75
393,0.75
394,0.75
395,0.75
396,0.75
397,0.75
398,0.75
399,0.75
400,0.75
401,0.75
402,0.75
403,0.75
404,0.75
405,0.75
406,0.75
407,0.75
408,0.75
409,0.75
410,0.65279
411,0.62947613
412,0.62947613
413,0.62947613
414,0.62947613
415,0.62947613
416,0.62947613
417,0.62947613
418,0.62947613
419,0.62947613
420,0.62947613
421,0.62947613
422,0.62947613
423,0.62947613
424,0.62947613
425,0.62947613
426,0.62947613
427,0.62947613
428,0.62947613
429,0.6457801
430,0.6612533
431,0.6612533
432,0.6612533
433,0.6612533
434,0.6612533
435,0.6612533
436,0.6612533
437,0.6612533
438,0.6612533
439,0.6612533
440,0.6612533
441,0.6612533
442,0.6612533
443,0.6612533
444,0.6612533
445,0.6612533
