,0
0,2.3731031
1,3.1091983
2,2.9619505
3,3.0571089
4,3.1960835
5,3.420073
6,3.5108593
7,2.9385397
8,3.0899572
9,3.4490237
10,2.6773446
11,3.253121
12,2.9003341
13,2.5786738
14,3.0113804
15,2.9666579
16,3.0542378
17,2.8607063
18,2.9637861
19,3.293754
20,3.086875
21,2.959485
22,2.8893132
23,2.905127
24,3.2508092
25,2.783321
26,3.6816256
27,3.7508278
28,2.88893
29,3.4112291
30,3.3907585
31,3.364069
32,3.3665814
33,3.5767007
34,3.9008064
35,3.345329
36,4.2094593
37,3.8881233
38,3.636829
39,3.4842145
40,3.6407287
41,3.888256
42,3.930098
43,3.209596
44,3.713461
45,3.9838357
46,4.1081367
47,3.8328433
48,3.9479039
49,4.011759
50,3.2210376
51,3.256869
52,3.657421
53,3.3973496
54,3.3230104
55,3.9887073
56,3.5481715
57,4.3365355
58,3.901834
59,3.756563
60,3.7108963
61,3.302699
62,4.523313
63,4.595247
64,4.3938875
65,3.683233
66,3.4343596
67,4.2578125
68,4.3122354
69,4.100124
70,4.7217755
71,4.5384254
72,4.285279
73,4.7182145
74,4.334769
75,4.031762
76,4.1797385
77,4.0210457
78,4.7439055
79,4.8959203
80,4.4962363
81,4.162858
82,4.202241
83,4.687397
84,4.5550327
85,4.4898753
86,4.6719494
87,5.3429313
88,4.953234
89,4.5831823
90,4.8296146
91,4.7207336
92,4.97468
93,4.1241465
94,4.571213
95,4.810736
96,4.7110076
97,5.2914643
98,5.576577
99,4.909547
100,4.0547414
101,4.46422
102,4.7760468
103,4.9327826
104,5.381312
105,4.7995877
106,5.0426974
107,5.2792687
108,5.0495486
109,4.8193336
110,4.2280197
111,4.853043
112,5.135986
113,5.127527
114,5.894208
115,5.1365566
116,5.3209014
117,5.6460457
118,5.085369
119,4.845781
120,5.2258472
121,5.396654
122,4.7401075
123,5.264051
124,5.4128428
125,5.629354
126,5.355899
127,5.0355573
128,4.9967966
129,5.1987567
130,4.8369946
131,4.5174623
132,4.9140863
133,5.578028
134,4.926252
135,4.498859
136,5.0112
137,5.56013
138,5.511681
139,5.273332
140,4.7651772
141,5.760222
142,5.3776646
143,4.900404
144,5.503865
145,5.943372
146,5.096013
147,5.9428377
148,5.2081923
149,5.053127
150,5.1033807
151,5.6711826
152,5.8743696
153,6.117813
154,5.882975
155,5.330072
156,6.160366
157,5.912305
158,5.5378776
159,5.6502886
160,5.295151
161,6.0257277
162,6.056265
163,5.678385
164,5.255775
165,4.8920197
166,5.1827035
167,5.359436
168,5.356376
169,5.534751
170,5.469931
171,5.7700253
172,5.6660137
173,5.9112387
174,5.305752
175,5.5596285
176,4.9928856
177,5.584296
178,6.014586
179,5.440337
180,5.380235
181,6.0455017
182,5.9134197
183,5.405269
184,5.5903463
185,5.1727424
186,5.093652
187,4.946409
188,5.2510014
189,5.3992844
190,5.7811556
191,6.063943
192,5.6856046
193,5.827652
194,5.488633
195,5.501585
196,5.8787513
197,5.3532286
198,5.6915674
199,5.7712374
200,5.8463454
201,5.8176274
202,5.841582
203,5.5683975
204,6.2277355
205,5.505216
206,5.3991218
207,5.9129143
208,5.7154717
209,5.8211865
210,5.820992
211,6.089938
212,5.8590045
213,6.192902
214,6.2124987
215,6.437764
216,5.5107517
217,5.6760635
218,6.162787
219,6.061615
220,5.9152045
221,6.0378494
222,5.9449306
223,5.606998
224,6.1742363
225,5.6652827
226,5.970135
227,5.0774
228,5.102986
229,5.6385293
230,6.182563
231,6.031737
232,5.4254975
233,5.849452
234,5.731895
235,5.950219
236,6.1531973
237,5.42172
238,6.09015
239,6.016279
240,7.200198
241,5.7033963
242,5.5304956
243,5.761947
244,5.8995576
245,6.4241433
246,6.315712
247,5.860912
248,6.1918263
249,5.7871394
250,6.142186
251,6.238467
252,6.0898056
253,6.3164344
254,6.253581
255,5.963762
256,6.064665
257,6.4587927
258,5.6202893
259,6.297402
260,6.4905324
261,6.5354195
262,6.148735
263,6.0979786
264,6.126698
265,6.7476616
266,7.2908306
267,7.0074115
268,6.890129
269,6.4673467
270,6.315879
271,6.2057676
272,6.6828914
273,6.471934
274,6.9899044
275,5.534477
276,5.980154
277,6.674706
278,7.4377694
279,7.3606687
280,7.342466
281,6.3628187
282,5.9163814
283,6.54797
284,6.8231945
285,6.023184
286,6.7152576
287,6.7001014
288,6.6312747
289,6.4451823
290,6.1370287
291,5.847056
292,6.2204413
293,6.6930842
294,7.603865
295,7.1582575
296,6.476456
297,6.9291406
298,7.258908
299,7.522901
300,6.996384
301,6.569985
302,6.700709
303,5.8911443
304,6.2096844
305,6.43624
306,5.884072
307,5.9751625
308,6.51895
309,7.0315785
310,6.664935
311,7.4201107
312,7.90302
313,7.5893245
314,6.23096
315,6.534832
316,6.7909
317,7.002659
318,6.833167
319,6.4196386
320,6.960012
321,6.404021
322,6.6456366
323,6.981803
324,6.782822
325,7.119305
326,7.7330384
327,6.967587
328,6.3316903
329,6.532148
330,6.3388968
331,6.3095417
332,6.148896
333,6.3082867
334,6.4316993
335,6.4146137
336,6.711515
337,7.27248
338,8.216152
339,7.154044
340,6.7221794
341,7.696144
342,8.381979
343,7.220948
344,7.7666526
345,7.2504654
346,7.0404215
347,7.6407967
348,7.149913
349,6.8834114
350,6.660523
351,6.528625
352,6.685251
353,6.9579
354,6.68847
355,7.502725
356,7.1940455
357,7.2410755
358,7.184905
359,7.173142
360,6.8810306
361,7.2496886
362,7.48905
363,8.015449
364,6.9453425
365,7.185981
366,7.375693
367,7.128582
368,6.442558
369,6.7414427
370,6.7800107
371,7.051096
372,7.102791
373,7.505899
374,7.2467494
375,7.083771
376,6.87346
377,7.900394
378,7.177495
379,6.906786
380,7.1717415
381,7.0355835
382,8.026456
383,7.5753
384,6.662789
385,7.292192
386,7.3602533
387,7.4783077
388,7.3813167
389,7.09229
390,6.9736686
391,7.125577
392,7.3685255
393,7.0818396
394,7.749357
395,7.74929
396,7.6065946
397,7.177239
398,8.308397
399,8.015199
400,6.486361
401,6.5188184
402,6.6134796
403,6.808425
404,8.179232
405,7.6513324
406,7.497092
407,7.6614156
408,7.7768326
409,9.2111435
410,9.782811
411,8.8524065
412,7.580739
413,8.004319
414,7.71248
415,7.330119
416,6.9756536
417,7.6832724
418,7.846404
419,7.773402
420,7.7576566
421,8.51846
422,8.538518
423,7.3026834
424,6.7937
425,7.022131
426,7.5828004
427,7.744277
428,7.1978455
429,8.06811
430,8.598425
431,6.907021
432,7.283302
433,8.819448
434,10.663589
435,8.479177
436,9.006957
437,8.430071
438,8.396209
439,7.733102
440,7.1288176
441,7.38987
442,7.8665433
443,7.2017283
444,7.0344
445,7.5915265
446,8.687649
447,9.535942
448,10.51469
449,9.688668
450,8.111876
451,9.322181
452,8.305608
453,6.743707
454,7.7474318
455,8.02013
456,7.2157454
457,6.585943
458,8.401526
459,7.3109956
460,8.199157
461,8.110099
462,7.833664
463,7.6186595
464,7.9461174
465,7.414767
466,8.389983
467,9.273026
468,9.587189
469,9.18823
470,8.373618
471,8.624793
472,8.0499935
473,7.7979684
474,8.338442
475,9.865659
476,10.217621
477,9.76592
478,9.025048
479,7.873445
480,9.100046
481,9.281195
482,8.236628
483,8.693059
484,10.274795
485,9.94302
486,9.509266
487,7.9088035
488,7.0352654
489,8.477346
490,10.051537
491,9.860204
492,9.508029
493,8.571073
494,8.175535
495,7.9977856
496,10.180736
497,10.048434
498,7.4929767
499,8.725731
500,8.1864395
501,9.508962
502,10.748458
503,9.836954
504,8.730877
505,8.04979
506,7.549903
507,8.07657
508,8.256864
509,8.466727
510,7.3259296
511,9.060014
512,9.887379
513,8.402652
514,8.005585
515,8.23558
516,9.066332
517,9.600074
518,8.7028265
519,10.05848
520,9.607035
521,9.880776
522,7.542288
523,7.2378545
524,7.080129
525,7.7768846
526,8.232479
527,8.974366
528,9.310057
529,9.934924
530,11.42216
531,10.726317
532,9.68023
533,8.88759
534,8.164242
535,9.506747
536,9.724727
537,9.60993
538,10.173803
539,10.8204365
540,10.666645
541,8.763493
542,9.10665
543,7.965668
544,9.725932
545,10.828338
546,9.479281
547,9.411969
548,8.48139
549,8.89393
550,9.562431
551,7.3097844
552,8.856402
553,8.58026
554,6.3111596
555,7.4815845
556,9.007901
557,10.115336
558,9.986409
559,10.280179
560,9.517049
561,10.141874
562,10.151399
563,9.90003
564,9.810004
565,10.775406
566,11.175457
567,11.25544
568,11.304665
569,8.492285
570,8.68396
571,10.065306
572,11.476127
573,11.729138
574,11.591404
575,11.035753
576,9.47801
577,11.205308
578,12.65911
579,9.726246
580,10.259772
581,10.23537
582,9.301605
583,8.692287
584,8.786243
585,10.434789
586,9.899808
587,11.099297
588,11.349461
589,9.464471
590,9.611546
591,10.153838
592,10.624399
593,10.427197
594,10.906049
595,10.371402
596,10.846301
597,10.330516
598,9.952215
599,10.357348
600,8.567372
601,10.252405
602,10.144861
603,10.666236
604,11.630992
605,12.615073
606,10.492846
607,11.077576
608,11.276988
609,10.023552
610,8.78594
611,9.594582
612,11.73419
613,13.451363
614,11.008418
615,9.37069
616,10.153811
617,10.506632
618,11.797675
619,11.365165
620,11.747715
621,14.5152235
622,16.29373
623,16.63357
624,15.275793
625,12.970565
626,13.499817
627,12.055127
628,11.713387
629,13.042974
630,9.584334
631,7.5955334
632,9.058289
633,10.341155
634,13.053679
635,14.066498
636,11.94904
637,11.464309
638,11.53039
639,10.929284
640,10.868342
641,10.380652
642,9.313981
643,10.215701
644,10.804701
645,11.098944
646,11.783456
647,12.90453
648,12.674751
649,11.713054
650,12.189081
651,11.988751
652,11.534018
653,12.776962
654,12.974261
655,13.719395
656,13.613112
657,9.692621
658,9.372906
659,7.9813886
660,9.365353
661,9.014035
662,7.5487504
663,9.851701
664,12.710995
665,12.045922
666,10.344017
667,12.365342
668,14.012174
669,14.162633
670,13.565305
671,10.824401
672,9.58631
673,9.575759
674,9.87803
675,11.88018
676,12.943766
677,13.701465
678,14.003829
679,15.71776
680,15.015269
681,15.076714
682,12.823672
683,12.979044
684,11.526676
685,10.948829
686,10.734985
687,11.37828
688,10.709248
689,9.315532
690,11.290586
691,10.963371
692,13.591073
693,9.460658
694,10.477275
695,11.095597
696,9.814689
697,10.553002
698,13.52202
699,13.669949
700,12.982381
701,12.729254
702,11.886111
703,10.441205
704,9.860275
705,11.876714
706,11.297627
707,11.489103
708,12.068939
709,12.042632
710,11.56578
711,10.463908
712,8.826189
713,8.972119
714,9.631499
715,10.356985
