,0
0,2.0410156
1,4.0529785
2,4.2650146
3,4.6862793
4,4.6679688
5,4.8754883
6,5.5061035
7,4.966919
8,5.147461
9,5.439575
10,4.9466553
11,5.4854736
12,5.3792725
13,5.138794
14,5.1591797
15,5.295166
16,5.500244
17,5.5838623
18,5.3845215
19,5.8984375
20,5.515991
21,5.2801514
22,5.461548
23,5.3931885
24,5.8449707
25,5.6710205
26,6.161865
27,6.1676025
28,5.494507
29,5.7790527
30,5.6451416
31,5.778076
32,5.864258
33,5.9923096
34,5.7738037
35,5.6395264
36,6.543457
37,5.9610596
38,5.780884
39,5.8309326
40,6.1427
41,5.942627
42,6.3651123
43,5.6220703
44,5.9195557
45,6.190796
46,6.597168
47,6.4781494
48,6.3171387
49,6.7318115
50,6.147949
51,6.0289307
52,6.095581
53,6.3951416
54,6.6934814
55,6.5112305
56,6.616211
57,6.9365234
58,6.600342
59,6.6921387
60,6.499878
61,6.2304688
62,7.2164307
63,7.4466553
64,7.2318115
65,6.928711
66,6.9277344
67,7.159912
68,7.77124
69,6.968506
70,7.534912
71,7.6452637
72,7.189209
73,8.207397
74,7.411255
75,7.228882
76,7.2504883
77,6.764038
78,8.000732
79,8.432373
80,8.07019
81,7.526245
82,7.29187
83,7.573242
84,7.8858643
85,7.6710205
86,7.8066406
87,8.558105
88,8.131714
89,7.992676
90,8.50415
91,7.690918
92,8.267456
93,7.401367
94,7.899292
95,8.220703
96,8.098877
97,8.283691
98,8.469849
99,8.840698
100,8.271973
101,8.300049
102,8.870972
103,8.944336
104,9.168579
105,8.509644
106,8.817017
107,8.96106
108,9.467041
109,9.3688965
110,8.261353
111,9.096191
112,9.185059
113,9.286987
114,9.704346
115,9.5979
116,9.688843
117,9.725708
118,9.579834
119,9.302368
120,10.145752
121,9.560425
122,9.49707
123,9.890137
124,10.787964
125,10.250366
126,9.033203
127,9.586426
128,10.436035
129,10.560791
130,9.431519
131,9.652954
132,10.188232
133,9.924194
134,10.562866
135,9.713135
136,9.929199
137,10.8741455
138,10.74353
139,10.351807
140,10.536377
141,11.761963
142,10.659058
143,10.575562
144,10.605347
145,11.301514
146,11.287109
147,11.637939
148,10.915405
149,10.016113
150,10.307739
151,10.877197
152,11.248291
153,11.174683
154,11.476685
155,10.792603
156,11.781982
157,10.754883
158,11.069946
159,11.105591
160,10.800171
161,11.325806
162,11.861694
163,12.49292
164,12.090698
165,11.168579
166,11.455322
167,12.031128
168,12.4904785
169,11.795776
170,11.6032715
171,11.7438965
172,11.032349
173,11.105469
174,10.503662
175,12.340088
176,11.73999
177,11.6936035
178,11.348145
179,11.939453
180,12.107422
181,12.023315
182,12.160034
183,11.426025
184,12.596924
185,12.129517
186,11.682861
187,11.7248535
188,11.969849
189,12.221069
190,12.431885
191,11.881226
192,11.213623
193,12.332275
194,11.781494
195,12.066528
196,12.727051
197,12.254028
198,12.537109
199,12.68042
200,12.041504
201,12.404541
202,12.187744
203,13.1657715
204,12.282349
205,13.285034
206,12.741577
207,12.12915
208,12.3342285
209,11.718262
210,12.137085
211,13.067627
212,13.465698
213,13.643433
214,13.308594
215,13.132935
216,13.242065
217,12.254395
218,12.434204
219,12.859131
