,0
0,2.3731031
1,3.1091983
2,2.9619505
3,3.0571089
4,3.1960835
5,3.420073
6,3.5108593
7,2.9385397
8,3.0899572
9,3.4490237
10,2.6773446
11,3.253121
12,2.9003341
13,2.5786738
14,3.0113804
15,2.9666579
16,3.0542378
17,2.8607063
18,2.9637861
19,3.293754
20,3.086875
21,2.959485
22,2.8893132
23,2.905127
24,3.2508092
25,2.783321
26,3.6816256
27,3.7508278
28,2.88893
29,3.4112291
30,3.3907585
31,3.364069
32,3.3665814
33,3.5767007
34,3.9008064
35,3.345329
36,4.2094593
37,3.8881233
38,3.636829
39,3.4842145
40,3.6407287
41,3.888256
42,3.930098
43,3.209596
44,3.713461
45,3.9838357
46,4.1081367
47,3.8328433
48,3.9479039
49,4.011759
50,3.2210376
51,3.256869
52,3.657421
53,3.3973496
54,3.3230104
55,3.9887073
56,3.5481715
57,4.3365355
58,3.901834
59,3.756563
60,3.7108963
61,3.302699
62,4.523313
63,4.595247
64,4.3938875
65,3.683233
66,3.4343596
67,4.2578125
68,4.3122354
69,4.100124
70,4.7217755
71,4.5384254
72,4.285279
73,4.7182145
74,4.334769
75,4.031762
76,4.1797385
77,4.0210457
78,4.7439055
79,4.8959203
80,4.4962363
81,4.162858
82,4.202241
83,4.687397
84,4.5550327
85,4.4898753
86,4.6719494
87,5.3429313
88,4.953234
89,4.5831823
90,4.8296146
91,4.7207336
92,4.97468
93,4.1241465
94,4.571213
95,4.810736
96,4.7110076
97,5.2914643
98,5.576577
99,4.909547
100,4.0547414
101,4.46422
102,4.7760468
103,4.9327826
104,5.381312
105,4.7995877
106,5.0426974
107,5.2792687
108,5.0495486
109,4.8193336
110,4.2280197
111,4.853043
112,5.135986
113,5.127527
114,5.894208
115,5.1365566
116,5.3209014
117,5.6423635
118,5.0829997
119,4.854374
120,5.2313185
121,5.469175
122,4.5127034
123,5.2792287
124,5.5032024
125,5.5992413
126,5.134007
127,4.8541822
128,5.190846
129,5.37143
130,5.025564
131,4.503421
132,5.0353208
133,5.3028855
134,4.8650947
135,5.0068536
136,5.04316
137,5.3831387
138,5.391238
139,5.396307
140,5.0615015
141,5.9235835
142,5.3771424
143,5.1319885
144,5.3916106
145,5.818832
146,4.996052
147,5.7504687
148,5.419492
149,4.820836
150,5.138834
151,5.8033414
152,5.509878
153,6.094081
154,6.0171623
155,5.5377417
156,5.9986844
157,5.9930563
158,5.6126695
159,5.347719
160,5.195751
161,6.0915604
162,5.8131747
163,5.6033607
164,5.163603
165,5.619574
166,5.8313246
167,5.739621
168,5.1050878
169,5.507068
170,5.37428
171,5.5670485
172,5.4346523
173,5.859946
174,5.2349334
175,5.8080726
176,5.4588766
177,5.373375
178,5.4103026
179,5.52637
180,5.5512023
181,5.9088798
182,5.76568
183,5.254058
184,5.7153664
185,5.975368
186,5.650572
187,5.06011
188,5.582277
189,5.1437664
190,5.0948524
191,5.5179863
192,5.9420023
193,6.332787
194,5.7937665
195,5.686284
196,6.127547
197,6.1562734
198,6.4454093
199,5.988304
200,5.3732495
201,5.2992406
202,5.31017
203,5.348167
204,5.354315
205,5.6934147
206,6.0472364
207,5.7898097
208,6.2506137
209,5.600377
210,5.228811
211,5.667984
212,5.9470353
213,5.987857
214,6.0385103
215,5.9519587
216,6.144669
217,6.1338215
218,6.1429358
219,6.1179357
220,6.8289275
221,6.2401953
222,5.6765985
223,5.5769296
224,5.758811
225,5.415318
226,5.779762
227,6.396295
228,5.27177
229,5.6828403
230,6.2611513
231,6.364979
232,6.309995
233,5.7957044
234,5.806572
235,5.9543366
236,5.469017
237,5.7236447
238,6.7946258
239,6.6234503
240,6.4730954
241,5.5305004
242,5.7600026
243,6.12537
244,6.046675
245,6.0573845
246,5.492497
247,5.298344
248,5.9372916
249,6.143774
250,6.828519
251,7.0941396
252,6.8902063
253,6.3928785
254,6.319834
255,6.315423
256,6.680306
257,7.0496383
258,6.3423653
259,5.6988177
260,6.1458693
261,6.017477
262,6.6285195
263,6.3034415
264,5.503713
265,6.03058
266,6.4792414
267,6.7414837
268,6.5638685
269,7.436481
270,7.8748326
271,6.592413
272,6.5463076
273,6.7563424
274,6.675891
275,7.467688
276,7.977447
277,6.718735
278,6.885735
279,6.851386
280,6.171265
281,6.258582
282,6.4021387
283,6.047843
284,5.929457
285,6.866519
286,6.6886716
287,7.0671096
288,6.0762324
289,6.7291636
290,6.682939
291,6.570343
292,7.1172757
293,6.125707
294,6.2200365
295,6.159304
296,6.2788134
297,7.1776934
298,7.67817
299,6.964429
300,6.508394
301,6.3784223
302,6.789866
303,7.2292714
304,6.288544
305,8.001751
306,7.341392
307,7.467824
308,7.293535
309,6.660433
310,6.482895
311,6.7069063
312,6.9468784
313,7.10537
314,6.110605
315,6.7294226
316,7.5764604
317,7.7708983
318,7.219992
319,6.8518195
320,7.308595
321,6.7699604
322,6.7449384
323,6.3232355
324,6.3950677
325,6.8014984
326,7.2596307
327,6.421836
328,6.738948
329,7.108573
330,6.3273354
331,7.223452
332,7.483644
333,7.4375205
334,6.8457313
335,6.458367
336,6.603457
337,7.1180096
338,6.9237223
339,6.742249
340,6.6336584
341,7.5532656
342,8.357934
343,7.2090893
344,6.9674516
345,7.07337
346,7.096289
347,7.289849
348,7.4962277
349,6.868038
350,6.6811934
351,6.667062
352,6.2849536
353,6.755741
354,6.5318975
355,6.789965
356,7.4675736
357,7.0555496
358,8.013609
359,8.163036
360,8.077313
361,8.088237
362,7.6504817
363,7.9287415
364,7.5038385
365,7.74921
366,7.899319
367,7.772657
368,7.7613273
369,8.760999
370,8.478379
371,8.476271
372,9.055554
373,7.6323915
374,7.5439744
375,9.087706
376,7.9752407
377,6.737913
378,7.9837356
379,8.19321
380,7.264904
381,7.3414445
382,7.614549
383,7.965441
384,7.821267
385,8.013921
386,7.5483394
387,7.3605013
388,7.3157687
389,7.5976243
390,8.561234
391,7.921858
392,9.2554035
393,8.670434
394,8.1375065
395,9.305897
396,8.698268
397,8.766964
398,8.917047
399,7.6722293
400,6.439978
401,6.989146
402,7.507431
403,6.9930177
404,7.043294
405,7.4620657
406,8.136505
407,7.6382556
408,8.149355
409,8.83223
410,9.041387
411,7.985993
412,7.98286
413,7.8987417
414,8.3142805
415,8.629485
416,7.9533105
417,8.318908
418,9.97748
419,10.774758
420,9.140909
421,8.554769
422,7.4309278
423,7.378983
424,7.9843607
425,7.6440744
426,6.707167
427,7.5696373
428,7.906478
429,7.613297
430,7.280559
431,6.886286
432,8.477701
433,9.5478525
434,8.249791
435,8.376202
436,7.916735
437,8.304727
438,8.105047
439,6.9102745
440,7.118409
441,7.6221247
442,9.030514
443,8.915125
444,7.253574
445,6.7311416
446,7.8540177
447,7.7071004
448,9.2656
449,9.127303
450,8.471649
451,9.136933
452,9.135107
453,10.346353
454,9.53515
455,9.559832
456,7.606788
457,8.083371
458,7.85691
459,8.781286
460,8.7955885
461,8.917615
462,9.733392
463,10.370921
464,9.21978
465,8.587555
466,7.3262563
467,7.6002812
468,7.6778073
469,7.905295
470,10.038785
471,8.88326
472,9.170298
473,8.866711
474,9.383782
475,9.474704
476,9.068038
477,7.8652453
478,7.6945095
479,7.551237
480,6.735929
481,7.5365653
482,9.833091
483,8.311592
484,8.36498
485,10.381284
486,9.744202
487,8.93933
488,8.761423
489,8.606818
490,7.786174
491,7.6726785
492,9.034928
493,9.148211
494,9.42724
495,8.922697
496,7.3900676
497,8.374458
498,7.1237
499,6.767486
500,6.47645
501,7.4253826
502,8.746102
503,9.481214
504,8.0914755
505,8.381284
506,8.862043
507,9.536084
508,10.570115
509,10.8685875
510,8.905068
511,9.144197
512,8.969469
513,8.952926
514,8.90525
515,8.577353
516,8.462552
517,9.117758
518,8.000053
519,8.428277
520,9.224968
521,9.219071
522,8.795578
523,8.398236
524,8.311744
525,9.029621
526,9.291571
527,8.154421
528,9.086531
529,9.512259
530,11.356631
531,9.655551
532,12.524557
533,11.335784
534,9.862664
535,9.42869
536,9.066445
537,9.428508
538,9.256493
539,10.30581
540,10.14813
541,10.282742
542,9.557079
543,10.163079
544,10.047862
545,9.947507
546,9.663823
547,9.434072
548,8.472993
549,10.020888
550,12.8963
551,11.405056
552,12.727109
553,10.55565
554,8.926375
555,9.565209
556,8.502675
557,9.135358
558,8.624572
559,8.579882
560,10.068734
561,10.986513
562,8.978127
563,8.755264
564,8.335707
565,9.994479
566,10.706363
567,9.220109
568,8.240211
569,9.464888
570,10.568602
571,10.396284
572,9.183853
573,9.147926
574,9.190229
575,8.805324
576,10.088041
577,12.351478
578,12.883988
579,9.6842785
580,9.763009
581,9.125819
582,10.164138
583,10.775765
584,15.744186
585,14.055833
586,8.866055
587,10.325453
588,10.465
589,10.507737
590,11.0258665
591,10.14133
592,10.07824
593,9.2860775
594,12.365166
595,13.865445
596,11.170299
597,11.096755
598,11.232217
599,12.911278
600,11.882795
601,9.516134
602,8.955968
603,9.502958
604,10.58664
605,12.875295
606,14.158138
607,11.74037
608,10.81781
609,11.276153
610,10.682936
611,13.116689
612,10.478424
613,10.768101
614,9.510091
615,8.253844
616,9.343445
617,9.577436
618,10.156962
619,11.406867
620,12.5939
621,12.557042
622,9.491097
623,8.765975
624,9.586489
625,10.105744
626,11.441137
627,12.856673
628,10.174538
629,10.956087
630,12.403702
631,9.884475
632,9.154828
633,10.955568
634,11.789296
635,10.599446
636,9.561086
637,10.645169
638,11.636627
639,9.996159
640,9.787925
641,9.64473
642,10.460261
643,10.099157
644,9.691417
645,9.934549
646,10.211322
647,14.534352
648,13.795464
649,8.806852
650,8.980468
651,11.057187
652,10.409932
653,7.867435
654,9.870496
655,11.624014
656,10.964003
657,11.37484
658,14.760479
659,15.397751
660,12.958867
661,10.244818
662,10.481424
663,10.082107
664,8.979539
665,8.0910845
666,9.357213
667,11.735478
668,11.808727
669,10.112606
670,11.025423
671,11.162986
672,11.7534485
673,12.473818
674,11.553051
675,11.848755
676,13.627166
677,13.181082
678,10.526094
679,11.316494
680,11.425517
681,11.579513
682,11.526538
683,12.655635
684,12.397072
685,12.215018
686,12.720075
687,11.900916
688,11.174415
689,11.065263
690,16.278685
691,13.153969
692,12.53258
693,12.76168
694,11.920082
695,11.312973
696,10.290526
697,10.305156
698,11.132798
699,12.049641
700,11.310389
701,9.024497
702,9.127478
703,9.538694
704,10.347947
705,11.05771
706,10.303925
707,11.542812
708,11.033955
709,12.287562
710,12.295325
711,10.4972725
712,9.111202
713,7.9830875
714,8.279689
