,0
0,2.0410156
1,4.211792
2,4.33313
3,5.040283
4,4.1342773
5,3.861084
6,4.1556396
7,4.4608154
8,4.4449463
9,4.333496
10,3.8325195
11,3.965088
12,3.8148193
13,3.9371338
14,4.4659424
15,4.3999023
16,4.192993
17,4.753662
18,4.4279785
19,4.61084
20,4.0549316
21,3.9799805
22,4.2332764
23,4.3583984
24,4.484741
25,4.489624
26,4.522827
27,4.3997803
28,4.35083
29,4.4921875
30,4.3481445
31,4.5718994
32,4.807373
33,4.8637695
34,4.239624
35,4.720703
36,4.696411
37,4.8165283
38,4.31604
39,4.604492
40,4.9836426
41,5.062134
42,4.682007
43,4.8587646
44,4.866577
45,4.642334
46,4.9396973
47,5.4506836
48,5.0742188
49,4.9019775
50,4.6914062
51,5.029175
52,5.1531982
53,5.081909
54,4.750366
55,4.777588
56,4.92749
57,4.840332
58,4.696411
59,4.694336
60,5.3322754
61,4.727051
62,4.4940186
63,4.570923
64,4.7407227
65,4.9263916
66,4.810547
67,4.437866
68,4.727417
69,4.815918
70,5.2872314
71,5.656616
72,4.993042
73,4.9328613
74,5.002075
75,5.2211914
76,5.190674
77,5.236328
78,4.627075
79,4.98999
80,5.083618
81,5.046631
82,5.418579
83,5.10376
84,5.3098145
85,5.7368164
86,5.4750977
87,5.4682617
88,4.9404297
89,5.4941406
90,5.8397217
91,5.1881104
92,4.9558105
93,5.198242
94,5.3898926
95,5.2181396
96,5.019165
97,5.2872314
98,4.7736816
99,5.1065674
100,5.0421143
101,5.2700195
102,5.4541016
103,5.4956055
104,5.6531982
105,5.7113037
106,5.1567383
107,5.3338623
108,5.3216553
109,5.3062744
110,5.397705
111,5.338745
112,6.265991
113,5.6297607
114,5.149658
115,5.4921875
116,5.670044
117,6.013916
118,5.652832
119,5.0944824
120,5.274414
121,5.404785
122,5.3372803
123,4.8830566
124,4.7747803
125,5.4648438
126,5.1763916
127,4.977173
128,5.421753
129,5.605835
130,4.935913
131,5.119385
132,5.109131
133,5.1280518
134,5.3272705
135,5.527954
136,6.017212
137,5.7158203
138,5.793701
139,5.416626
140,5.6469727
141,5.4852295
142,5.628784
143,5.2772217
144,5.1049805
145,5.8339844
146,5.21167
147,5.3200684
148,5.6291504
149,5.459961
150,5.1862793
151,5.816284
152,5.026001
153,5.3808594
154,5.1727295
155,5.583618
156,5.791626
157,5.824951
158,5.6867676
159,5.702759
160,5.475464
161,5.47876
162,5.7110596
163,5.631836
164,5.400635
165,5.5701904
166,5.237549
167,5.1608887
168,5.5733643
169,5.492676
170,5.638794
171,5.1063232
172,5.3568115
173,5.60437
174,5.637207
175,5.8981934
176,5.751709
177,5.3217773
178,5.276123
179,5.541992
180,5.7891846
181,5.63501
182,5.297241
183,5.531372
184,5.8668213
185,5.6447754
186,5.040039
187,5.564575
188,5.6132812
189,5.7130127
190,5.5596924
191,5.5039062
192,5.473877
193,5.555542
194,5.296509
195,5.7651367
196,5.9143066
197,5.177124
198,5.590576
199,5.2382812
200,5.5753174
201,5.336548
202,5.5634766
203,6.059082
204,5.8582764
205,5.9903564
206,5.3129883
207,5.5655518
208,5.7038574
209,5.8775635
210,5.386963
211,5.3308105
212,5.942505
213,5.4157715
214,5.5407715
215,5.1712646
216,5.211792
217,5.734619
218,5.612793
219,5.920044
220,5.7877197
221,6.216797
222,5.6121826
223,5.588623
224,5.376709
225,5.3673096
226,6.0595703
227,6.0008545
228,5.6175537
229,5.7874756
230,5.5356445
231,5.210449
232,5.1968994
233,5.7456055
234,5.6307373
235,5.501953
236,6.0477295
237,5.4744873
238,5.420288
239,5.6016846
240,5.487549
241,5.288086
242,5.447754
243,5.678955
244,6.20874
245,5.395508
246,5.496338
247,5.3637695
248,5.2751465
249,5.532715
250,5.8511963
251,5.5460205
252,5.4921875
253,5.3394775
254,5.910034
255,5.722046
256,5.6728516
257,5.814453
258,5.728882
259,5.3415527
260,5.4971924
261,5.2926025
262,5.5230713
263,5.3968506
264,5.7681885
265,5.451782
266,5.2781982
267,5.885376
268,5.6363525
269,5.647705
270,5.6939697
271,6.113159
272,5.8251953
273,5.6884766
274,5.869751
275,5.8814697
276,5.472534
277,5.329834
278,5.85083
279,5.569092
280,5.4813232
281,5.399536
282,5.436157
283,5.376587
284,5.8950195
285,6.031006
286,5.5490723
287,5.79187
288,5.6759033
289,6.056885
290,5.3095703
291,5.9310303
292,5.6098633
293,5.636963
294,5.36792
295,5.6590576
296,5.6661377
297,5.496338
298,5.7960205
299,5.383667
300,5.4227295
301,5.739502
302,5.9119873
303,6.0335693
304,5.513794
305,5.6729736
306,6.0290527
307,6.074585
308,6.683838
309,5.982544
310,5.77417
311,5.9815674
312,5.48291
313,5.765259
314,5.7178955
315,5.5461426
316,5.8205566
317,5.359619
318,5.6073
319,5.5498047
320,5.763794
321,5.6013184
322,5.6724854
323,5.665039
324,5.699951
325,6.1536865
326,6.699463
327,5.934082
328,6.3271484
329,5.859741
330,6.1453857
331,5.5162354
332,5.7315674
333,5.8291016
334,5.77417
335,6.0880127
336,6.0964355
337,6.1342773
338,6.061157
339,5.579712
340,5.775757
341,5.9660645
342,5.8323975
343,5.8153076
344,5.744751
345,5.9018555
346,6.7994385
347,6.261963
348,5.6729736
349,4.973999
350,6.1011963
351,6.2111816
352,6.2421875
353,5.888916
354,5.9172363
355,5.9086914
356,5.650635
357,6.126343
358,6.0793457
359,5.7614746
360,6.098877
361,5.5889893
362,5.770752
363,6.045288
364,6.4484863
365,6.171875
366,5.852417
367,6.2818604
368,5.8311768
369,5.8311768
370,5.466797
371,5.6394043
372,6.067749
373,5.593384
374,6.2784424
375,6.300171
376,5.8620605
377,5.61499
378,5.9370117
379,5.510376
380,5.683716
381,5.867798
382,6.6242676
383,6.138672
384,6.118408
385,5.6765137
386,5.6087646
387,5.932495
388,5.647217
389,6.557495
390,6.1955566
391,6.141968
392,5.7109375
393,5.6879883
394,6.4639893
395,6.3632812
396,6.00708
397,5.8532715
398,5.8640137
399,6.0336914
400,6.407837
401,6.099121
402,5.6446533
403,5.6870117
404,5.5231934
405,6.027466
406,6.1572266
407,6.1345215
408,5.869629
409,5.8771973
410,6.3687744
411,5.8936768
412,6.0439453
413,5.9033203
414,6.42749
415,7.396118
416,7.100464
417,6.0180664
418,5.947876
419,6.092163
420,6.0861816
421,6.2418213
422,5.692627
423,5.7817383
424,6.016968
425,6.0321045
426,6.0546875
427,6.3986816
428,5.873657
429,5.9329834
430,6.0686035
431,5.753784
432,6.1401367
433,6.734009
434,5.7493896
435,6.1811523
436,6.114624
437,6.315674
438,6.3342285
439,6.2194824
440,6.0875244
441,6.0371094
442,6.675415
443,6.144043
444,5.7476807
445,6.718384
446,6.1363525
447,6.408081
448,5.743164
449,5.951172
450,6.022827
451,6.28833
452,6.6053467
453,6.0163574
454,6.3273926
455,6.5216064
456,5.977051
457,5.5906982
458,6.583496
459,6.2092285
460,6.53125
461,7.1656494
462,6.7071533
463,6.0651855
464,6.0179443
465,6.64624
466,6.6712646
467,6.8652344
468,6.968506
469,7.070923
470,6.8183594
471,6.1312256
472,6.116333
473,6.1660156
474,6.305176
475,6.4505615
476,6.1989746
477,7.2720947
478,6.592041
479,6.520996
480,6.6905518
481,6.262085
482,6.3304443
483,6.368408
484,6.202759
485,5.942993
486,6.7824707
487,6.9852295
488,6.5594482
489,6.5197754
490,6.5734863
491,6.0386963
492,6.8549805
493,5.9456787
494,6.29187
495,6.5646973
496,6.203491
497,6.5629883
498,6.5688477
499,6.2401123
500,6.6816406
501,6.6237793
502,6.310547
503,6.38855
504,6.4576416
505,7.229126
506,6.297241
507,6.612671
508,6.349365
509,6.4500732
510,6.6625977
511,6.177002
512,6.592285
513,6.2441406
514,6.048828
515,6.274414
516,6.4281006
517,7.053711
518,6.427368
519,7.258667
520,7.1934814
521,6.643799
522,6.5091553
523,6.807129
524,6.208618
525,6.5009766
526,7.0859375
527,6.6292725
528,6.497925
529,6.17688
530,6.779907
531,7.168335
532,6.3914795
533,6.3406982
534,6.5323486
535,6.432129
536,6.6296387
537,6.481201
538,6.7351074
539,5.923706
540,6.4172363
541,6.4692383
542,6.4191895
543,6.8084717
544,6.8841553
545,6.828247
546,6.3582764
547,6.5164795
548,5.8773193
549,6.6326904
550,6.592407
551,7.298706
552,7.184082
553,6.7731934
554,6.124756
555,6.7770996
556,6.8728027
557,6.282715
558,6.908325
559,6.9387207
560,6.6417236
561,6.7872314
562,6.385132
563,6.718628
564,6.1208496
565,6.337158
566,6.5546875
567,6.447876
568,6.3272705
569,6.519409
570,6.425537
571,6.65271
572,6.9578857
573,6.822876
574,7.3813477
575,6.6518555
576,6.5200195
577,6.451538
578,6.88562
579,6.4920654
580,6.314087
581,6.8811035
582,6.895874
583,6.729492
584,7.40979
585,7.272583
586,7.0178223
587,6.7248535
588,6.8310547
589,6.754883
590,7.1192627
591,6.5841064
592,6.5892334
593,6.557373
594,6.8007812
595,6.7495117
596,7.126953
597,7.1224365
598,6.9556885
599,7.083008
600,6.8398438
601,6.7113037
602,6.482666
603,7.1520996
604,6.7730713
605,6.4799805
606,7.1698
607,6.90625
608,6.862793
609,6.998047
610,6.8223877
611,7.0716553
612,7.438843
613,7.2404785
614,6.6429443
615,7.1865234
616,7.0722656
617,7.216675
618,7.2286377
619,6.442383
620,6.609619
621,7.2231445
622,6.834839
623,7.225708
624,6.9908447
625,6.7770996
626,7.6728516
627,6.8913574
628,7.5507812
629,7.5544434
630,6.9107666
631,7.6123047
632,6.3293457
633,7.113159
634,7.1601562
635,7.6488037
636,7.4815674
637,7.277466
638,7.5321045
639,7.106201
640,6.711914
641,7.269165
642,7.385132
643,7.1727295
644,6.1938477
645,6.675537
646,7.1383057
647,7.242676
648,7.4434814
649,7.381592
650,6.6696777
651,6.9294434
652,6.7124023
653,7.4279785
654,6.6274414
655,6.788208
656,7.346924
657,7.317505
658,7.1088867
659,7.260376
660,7.331299
661,6.868408
662,7.76416
663,7.5081787
664,7.100342
665,7.296875
666,6.8780518
667,6.8795166
668,7.435547
669,7.3789062
670,7.3049316
671,8.224976
672,7.295166
673,7.67395
674,7.253174
675,7.8598633
676,7.967285
677,7.6154785
678,7.2875977
679,7.630249
680,7.414673
681,6.90979
682,7.086548
683,6.8398438
684,7.6574707
685,8.060913
686,7.4069824
687,7.066162
688,7.8811035
689,7.383423
690,7.4714355
691,6.9682617
692,7.388672
693,7.0806885
694,7.9171143
695,7.4813232
696,8.244995
697,7.258667
698,7.329468
699,7.3200684
700,8.251465
701,8.059448
702,7.666748
703,7.680542
704,8.33728
705,7.916992
706,7.934204
707,8.199463
708,8.320679
709,8.364502
710,7.7824707
711,8.689575
712,7.4608154
713,8.4678955
714,7.458008
715,7.9484863
716,8.243164
