,0
0,2.3731031
1,3.1331446
2,3.3746002
3,3.7445385
4,3.6786888
5,2.8549297
6,3.32024
7,3.5362144
8,3.455443
9,3.269975
10,2.9894881
11,2.9735577
12,3.4672024
13,2.8606687
14,3.8216863
15,3.398427
16,2.9461286
17,3.3439121
18,2.949889
19,3.2751682
20,3.134269
21,2.7749383
22,3.0738235
23,3.0538328
24,3.32776
25,2.951122
26,3.0537925
27,3.1055195
28,2.9846964
29,3.126201
30,3.3817763
31,3.0868304
32,3.4623399
33,3.4194832
34,3.1290329
35,3.1267369
36,3.0175264
37,3.3944254
38,2.784206
39,3.1281734
40,3.7783728
41,3.5880623
42,3.0228748
43,3.1984644
44,3.3160205
45,2.9130895
46,3.2157946
47,3.319496
48,3.139709
49,3.2350595
50,3.046512
51,3.222503
52,3.2822309
53,3.467237
54,3.3983655
55,3.43524
56,3.5715163
57,3.0333667
58,3.0105195
59,3.0371363
60,3.4783359
61,3.103317
62,3.0883338
63,3.1496058
64,3.2085943
65,3.4562805
66,3.2296906
67,2.7575
68,2.8983493
69,3.083324
70,3.4564664
71,3.6903305
72,3.1534758
73,3.241483
74,2.7545896
75,3.152326
76,3.2186773
77,3.8607106
78,3.1013107
79,3.1691256
80,3.0382833
81,2.8482575
82,3.7706738
83,3.458914
84,3.7497997
85,3.7826471
86,3.279555
87,3.163508
88,2.946523
89,3.5833356
90,3.9814413
91,3.1040533
92,3.176067
93,3.4532673
94,3.362402
95,3.04778
96,3.257353
97,3.44419
98,3.1350698
99,3.3985355
100,3.3243904
101,3.1523163
102,3.294481
103,3.5884445
104,3.5202005
105,3.537747
106,3.2691507
107,3.5201685
108,3.0706093
109,3.3937657
110,3.2012625
111,3.0325582
112,3.6558728
113,3.690314
114,3.0524092
115,3.4411469
116,3.406987
117,3.8428354
118,3.406011
119,3.0955422
120,3.3016317
121,3.1493528
122,2.9988828
123,2.7686682
124,2.6865792
125,2.9951105
126,2.920916
127,2.8734865
128,3.9862716
129,3.6769955
130,2.9074123
131,2.9221933
132,3.0260189
133,3.235897
134,3.5629382
135,3.3730028
136,3.6934962
137,3.0273094
138,2.9951408
139,3.3819923
140,3.1786613
141,3.2562706
142,3.03789
143,2.9604204
144,2.8369534
145,3.4965146
146,3.2778063
147,3.203902
148,3.1626127
149,2.9792755
150,3.0541527
151,3.284866
152,2.7036097
153,3.2130508
154,3.422813
155,3.0544121
156,3.3599074
157,3.445569
158,3.7319593
159,3.5445893
160,3.0454135
161,3.10891
162,3.143055
163,3.3742335
164,3.602522
165,3.3650687
166,2.8495333
167,2.963069
168,3.269247
169,3.4525163
170,3.6302865
171,3.082413
172,3.2529294
173,3.4334626
174,3.669876
175,3.5387967
176,3.4562163
177,3.1750638
178,3.3189318
179,3.3963366
180,3.2757194
181,3.0551705
182,3.217673
183,3.4661436
184,3.8698568
185,3.526204
186,2.8697486
187,2.9380784
188,3.2178562
189,3.4066854
190,3.478639
191,3.3190506
192,2.9566863
193,3.3569891
194,3.5709326
195,3.7880578
196,3.6266134
197,2.9883807
198,3.283905
199,2.8995402
200,3.4400475
201,3.3787801
202,3.5686107
203,3.6097708
204,3.5267956
205,3.8330684
206,3.3017495
207,3.6452289
208,3.7010405
209,3.859283
210,3.265837
211,3.6273816
212,3.8957343
213,3.2826238
214,3.501715
215,3.0260649
216,3.0899506
217,3.8448787
218,3.3676817
219,3.5474021
220,3.5160737
221,3.7450645
222,3.4931033
223,2.9457927
224,2.71258
225,3.1028466
226,3.878321
227,3.7030423
228,3.6288502
229,3.4828155
230,3.4848933
231,2.9457412
232,3.1682823
233,3.441933
234,3.2512014
235,3.3379028
236,3.7967517
237,3.102825
238,3.610118
239,3.2420144
240,3.2693746
241,2.936006
242,3.3785722
243,3.9800782
244,4.1265836
245,2.924559
246,3.2160542
247,3.4176261
248,3.0734382
249,3.2459643
250,3.453719
251,3.115075
252,3.3551116
253,3.0244145
254,3.4113116
255,3.0640962
256,3.2262738
257,3.064611
258,3.2318232
259,3.5368865
260,3.2422144
261,3.3119037
262,3.5879648
263,3.2971497
264,3.8364513
265,3.1495316
266,2.7124786
267,3.2615733
268,3.168095
269,3.2578273
270,3.6339092
271,3.4412286
272,3.5761743
273,3.4406765
274,3.825829
275,3.5024388
276,3.3212192
277,3.1573093
278,3.5076945
279,3.5024562
280,3.5070927
281,3.4996393
282,3.3916438
283,3.1955557
284,3.8305113
285,3.3407938
286,3.3790176
287,3.5532386
288,3.288172
289,3.4677203
290,3.0597272
291,3.8155413
292,3.5835302
293,3.5592146
294,3.4401817
295,3.6614337
