,0
0,2.0410156
1,4.211792
2,4.33313
3,5.040283
4,4.1342773
5,3.861084
6,4.1556396
7,4.4608154
8,4.4449463
9,4.333496
10,3.8325195
11,3.965088
12,3.8148193
13,3.9371338
14,4.4659424
15,4.3999023
16,4.192993
17,4.753662
18,4.4279785
19,4.61084
20,4.0549316
21,3.9799805
22,4.2332764
23,4.3583984
24,4.484741
25,4.489624
26,4.522827
27,4.3997803
28,4.35083
29,4.4921875
30,4.3481445
31,4.5718994
32,4.807373
33,4.8637695
34,4.239624
35,4.720703
36,4.696411
37,4.8165283
38,4.31604
39,4.604492
40,4.9836426
41,5.062134
42,4.682007
43,4.8587646
44,4.866577
45,4.642334
46,4.9396973
47,5.4506836
48,5.0742188
49,4.9019775
50,4.6914062
51,5.029175
52,5.1531982
53,5.081909
54,4.750366
55,4.777588
56,4.92749
57,4.840332
58,4.696411
59,4.694336
60,5.3322754
61,4.727051
62,4.484741
63,4.597168
64,4.8395996
65,4.9871826
66,4.8155518
67,4.4991455
68,4.739502
69,4.735962
70,5.3531494
71,5.503662
72,4.9588623
73,4.8970947
74,5.02771
75,5.3692627
76,5.130249
77,5.3410645
78,4.7894287
79,5.146118
80,5.1063232
81,5.1810303
82,5.498535
83,5.134033
84,5.290039
85,5.814087
86,5.444458
87,5.4906006
88,5.008423
89,5.472412
90,5.8217773
91,5.0150146
92,4.791992
93,5.2353516
94,5.44458
95,5.180176
96,4.8984375
97,5.175537
98,4.649292
99,4.9833984
100,5.111206
101,5.1413574
102,5.3916016
103,5.474121
104,5.793213
105,5.7335205
106,5.1223145
107,5.3570557
108,5.210327
109,5.272339
110,5.4626465
111,5.164917
112,6.05896
113,5.677124
114,5.1411133
115,5.661499
116,5.718506
117,6.048706
118,5.6757812
119,5.1500244
120,5.324341
121,5.2019043
122,5.4312744
123,5.085449
124,4.89209
125,5.5491943
126,5.1119385
127,5.024292
128,5.381836
129,5.6851807
130,4.935791
131,5.1799316
132,5.029907
133,5.0480957
134,5.3044434
135,5.437622
136,5.8200684
137,5.5391846
138,5.6516113
139,5.2593994
140,5.513672
141,5.3410645
142,5.598633
143,5.317627
144,5.080078
145,5.7382812
146,5.2127686
147,5.4503174
148,5.6933594
149,5.5439453
150,5.218872
151,5.853882
152,5.0273438
153,5.3465576
154,5.1140137
155,5.5021973
156,5.7423096
157,5.8239746
158,5.6740723
159,5.498535
160,5.232422
161,5.473633
162,5.741577
163,5.513794
164,5.203247
165,5.642212
166,5.3188477
167,5.2142334
168,5.6593018
169,5.41626
170,5.65979
171,5.202759
172,5.335327
173,5.6000977
174,5.607788
175,5.916382
176,5.694824
177,5.3847656
178,5.6376953
179,5.3988037
180,5.716675
181,5.4625244
182,5.275635
183,5.3112793
184,5.785034
185,5.7662354
186,5.1279297
187,5.576172
188,5.6568604
189,5.6922607
190,5.5286865
191,5.5684814
192,5.421753
193,5.5423584
194,5.270996
195,5.797241
196,5.6380615
197,5.160034
198,5.4731445
199,5.3081055
200,5.376831
201,5.28479
202,5.595581
203,5.8483887
204,5.720459
205,6.001465
206,5.3774414
207,5.3461914
208,5.6567383
209,5.883545
210,5.3081055
211,5.3254395
212,5.796509
213,5.4974365
214,5.4362793
215,5.1643066
216,5.3876953
217,5.720703
218,5.739502
219,5.991089
220,5.8807373
221,6.42688
222,5.8170166
223,5.673706
224,5.3479004
225,5.4068604
226,6.005249
227,5.9017334
228,5.677124
229,5.761841
230,5.6796875
231,5.3948975
232,5.1798096
233,5.5740967
234,5.751831
235,5.687256
236,6.067749
237,5.647339
238,5.713379
239,5.716797
240,5.543091
241,5.512085
242,5.458496
243,5.5352783
244,5.9486084
245,5.387451
246,5.6539307
247,5.5129395
248,5.336792
249,5.720581
250,5.8530273
251,5.479004
252,5.4838867
253,5.401367
254,5.8164062
255,5.6766357
256,5.743286
257,5.7994385
258,5.7230225
259,5.1882324
260,5.2685547
261,5.251709
262,5.548706
263,5.453003
264,5.7963867
265,5.338379
266,5.226074
267,5.7105713
268,5.5078125
269,5.6243896
270,5.6896973
271,6.1275635
272,5.8497314
273,5.5168457
274,5.522705
275,5.6674805
276,5.1916504
277,5.465332
278,6.003296
279,5.647583
280,5.5025635
281,5.36145
282,5.4193115
283,5.453491
284,5.8464355
285,6.0515137
286,5.6033936
287,5.72937
288,5.5706787
289,5.734741
290,5.203369
291,5.930786
292,5.73999
293,5.6815186
294,5.3740234
295,5.805298
296,5.509033
297,5.4733887
298,5.8675537
299,5.388794
300,5.4051514
301,5.766968
302,5.8897705
303,5.881592
304,5.626709
305,5.7609863
306,5.907837
307,6.0806885
308,6.798218
309,6.170288
310,5.716919
311,6.105591
312,5.6953125
313,5.942627
314,5.680908
315,5.704468
316,5.807251
317,5.465332
318,5.8256836
319,5.822998
320,5.6815186
321,5.4572754
322,5.688843
323,5.7402344
324,5.757324
325,6.157715
326,6.499878
327,6.015381
328,6.4141846
329,6.059326
330,5.8012695
331,5.598633
332,5.795532
333,5.86145
334,5.6290283
335,6.2095947
336,5.888794
337,5.901001
338,6.0567627
339,5.6915283
340,5.7907715
341,6.0908203
342,6.020508
343,5.824341
344,5.872925
345,5.9625244
346,6.525635
347,6.3411865
348,5.4747314
349,4.977539
350,6.043701
351,6.0096436
352,6.2686768
353,5.9421387
354,5.98291
355,5.959717
356,5.76062
357,6.116699
358,6.0793457
359,5.970581
360,6.0771484
361,5.4119873
362,5.9349365
363,6.07666
364,6.623413
365,6.4154053
366,5.992798
367,6.321167
368,5.734741
369,5.78125
370,5.525635
371,5.5125732
372,5.754883
373,5.5369873
374,6.17395
375,6.1138916
376,5.630005
377,5.557617
378,5.8901367
379,5.531494
380,5.4592285
381,6.057617
382,6.670532
383,6.4188232
384,6.2629395
385,5.998291
386,5.5266113
387,5.7855225
388,5.522339
389,6.4991455
390,6.113037
391,6.0583496
392,5.7851562
393,5.607422
394,6.2946777
395,6.400635
396,6.249878
397,5.779785
398,5.8045654
399,5.8182373
400,6.397705
401,6.0960693
402,5.6867676
403,5.9414062
404,5.5494385
405,5.932617
406,6.246582
407,5.9714355
408,6.2576904
409,5.8566895
410,6.6850586
411,6.1486816
412,6.1417236
413,5.916626
414,6.4144287
415,7.3149414
416,6.9416504
417,5.8598633
418,6.112549
419,6.1551514
420,5.88916
421,6.432495
422,5.5579834
423,5.720825
424,5.9125977
425,5.8912354
426,5.737549
427,6.1828613
428,6.2770996
429,6.4869385
430,6.0544434
431,6.010376
432,6.1120605
433,6.458008
434,5.784912
435,5.7946777
436,6.2387695
437,6.1674805
438,6.446411
439,6.2264404
440,6.2734375
441,6.107788
442,6.5079346
443,6.1031494
444,5.869995
445,6.5183105
446,6.309082
447,6.118042
448,5.925049
449,5.815674
450,6.2021484
451,6.477295
452,6.6920166
453,5.8828125
454,6.401123
455,6.46521
456,6.026123
457,5.5911865
458,6.6085205
459,6.2894287
460,6.456421
461,7.26062
462,6.98645
463,6.335205
464,5.916748
465,6.6586914
466,6.517578
467,6.820923
468,6.949829
469,6.9769287
470,7.0078125
471,5.8276367
472,5.93396
473,6.192383
474,6.2093506
475,6.6342773
476,6.4989014
477,6.5911865
478,6.3719482
479,6.4278564
480,6.456299
481,6.15979
482,6.246216
483,6.2218018
484,6.085083
485,6.1708984
486,6.34375
487,6.6643066
488,6.3653564
489,6.465088
490,6.391968
491,6.216675
492,6.843994
493,6.006714
494,6.4490967
495,6.671997
496,6.423828
497,7.0021973
498,6.501465
499,5.9659424
500,6.4260254
501,6.655884
502,6.331665
503,6.428467
504,6.2491455
505,6.925171
506,5.9364014
507,6.9161377
508,6.697754
509,6.5635986
510,6.695923
511,6.524048
512,6.6712646
513,6.5025635
514,6.456543
515,6.2490234
516,6.600708
517,7.3033447
518,6.776367
519,7.122925
520,7.500366
521,7.1070557
522,6.4263916
523,6.0926514
524,6.3499756
525,6.781616
526,6.5200195
527,6.647339
528,6.688843
529,6.557373
530,6.6531982
531,6.9455566
532,6.3824463
533,5.9816895
534,6.658203
535,6.2716064
536,6.4108887
537,6.4561768
538,6.3154297
539,5.7923584
540,6.154175
541,6.4486084
542,6.772339
543,6.551758
544,6.699341
545,6.3320312
546,6.1204834
547,6.005615
548,5.8481445
549,6.4918213
550,6.3410645
551,7.033203
552,7.1053467
553,6.756958
554,6.204468
555,7.1915283
556,6.8916016
557,6.500244
558,6.557373
559,6.560913
560,6.819702
561,6.5183105
562,6.213257
563,6.8258057
564,6.890259
565,7.015747
566,6.566284
567,6.295166
568,6.1867676
569,6.7860107
570,6.1627197
571,6.664795
572,6.812378
573,6.665161
574,7.017578
575,6.5733643
576,6.608032
577,6.6296387
578,6.779663
579,6.7633057
580,6.2609863
581,6.748535
582,6.8757324
583,6.934326
584,7.203125
585,7.335449
586,6.782837
587,6.687744
588,6.591797
589,6.7785645
590,6.6939697
591,6.5441895
592,6.69104
593,6.3027344
594,6.557617
595,6.65625
596,7.472534
597,7.5842285
598,7.727173
599,7.6990967
600,7.623413
601,6.82312
602,6.5213623
603,7.15271
604,7.100586
605,6.552002
606,6.677246
607,6.7078857
608,6.57605
609,7.041748
610,6.720093
611,6.81958
612,6.86145
613,6.6400146
614,6.682007
615,6.7855225
616,7.0406494
617,7.123657
618,6.9414062
619,6.5340576
620,7.071533
621,7.4052734
622,7.1501465
623,7.100586
624,6.886841
625,6.756836
626,7.2685547
627,6.8795166
628,6.941284
629,7.218994
630,6.9052734
631,7.197876
632,7.313843
633,7.187134
634,7.4295654
635,7.4924316
636,7.220093
637,7.244873
638,7.2788086
639,7.0231934
640,6.6688232
641,7.0776367
642,7.0860596
643,6.8496094
644,6.3658447
645,6.621338
646,7.128296
647,7.0876465
648,7.326294
649,7.3250732
650,6.728882
651,7.251587
652,6.7559814
653,7.2371826
654,6.779419
655,7.0771484
656,7.5300293
657,7.484009
658,7.1569824
659,7.7199707
660,7.699951
661,7.1691895
662,7.3846436
663,6.9315186
664,6.921509
665,7.1920166
666,7.079834
667,6.659546
668,7.279175
669,7.352661
670,7.7158203
671,8.263916
672,7.201294
673,7.76001
674,7.3223877
675,7.503418
676,7.585083
677,7.8240967
678,7.454834
679,7.663574
680,7.3946533
681,7.1381836
682,7.0300293
683,6.8269043
684,7.4588623
685,7.8570557
686,7.7493896
687,7.217407
688,7.626709
689,7.2685547
690,7.227295
691,7.560425
692,7.4577637
693,7.0183105
694,8.04187
695,7.284668
696,8.157349
697,7.6593018
698,7.1411133
699,7.4125977
700,7.849365
701,7.380249
702,7.8826904
703,7.6900635
704,8.364624
705,7.814209
706,8.224243
707,7.9848633
708,7.802002
709,7.826782
710,7.796631
711,7.901123
712,7.6342773
713,8.532837
714,7.1835938
715,7.4000244
716,7.5563965
717,7.338379
718,7.692383
719,7.666626
720,7.4923096
