,0
0,2.3731031
1,3.1331446
2,3.3746002
3,3.7445385
4,3.6786888
5,2.8549297
6,3.32024
7,3.5362144
8,3.455443
9,3.269975
10,2.9894881
11,2.9735577
12,3.4672024
13,2.8606687
14,3.8216863
15,3.398427
16,2.9461286
17,3.3439121
18,2.949889
19,3.2751682
20,3.134269
21,2.7749383
22,3.0738235
23,3.0538328
24,3.32776
25,2.951122
26,3.0537925
27,3.1055195
28,2.9846964
29,3.126201
30,3.3817763
31,3.0868304
32,3.4623399
33,3.4194832
34,3.1290329
35,3.1267369
36,3.0175264
37,3.3944254
38,2.784206
39,3.1281734
40,3.7783728
41,3.5880623
42,3.0228748
43,3.1984644
44,3.3160205
45,2.9130895
46,3.2157946
47,3.319496
48,3.139709
49,3.2350595
50,3.046512
51,3.222503
52,3.2822309
53,3.467237
54,3.3983655
55,3.43524
56,3.5715163
57,3.0333667
58,3.0105195
59,3.0371363
60,3.4783359
61,3.103317
62,3.089211
63,3.1584277
64,3.2463026
65,3.3091016
66,3.2012248
67,2.7147508
68,2.8392842
69,3.0728042
70,3.5063305
71,3.6995614
72,3.2316022
73,3.1669886
74,2.7128327
75,3.1156497
76,3.1938899
77,3.8498912
78,3.1777148
79,3.1756463
80,3.0645795
81,2.9867573
82,3.7208827
83,3.4682014
84,3.7795203
85,3.739109
86,3.2691877
87,3.126626
88,3.0628667
89,3.4268973
90,3.9901273
91,3.0675015
92,3.1117208
93,3.4811544
94,3.4784288
95,3.0502799
96,3.279566
97,3.4598985
98,3.2081022
99,3.3652518
100,3.401044
101,3.124264
102,3.3273132
103,3.6652617
104,3.4503257
105,3.465815
106,3.3134844
107,3.6046813
108,3.129423
109,3.371117
110,3.2252772
111,3.0085366
112,3.6364064
113,3.6819837
114,3.067416
115,3.531014
116,3.4800434
117,3.834586
118,3.4017472
119,3.2097611
120,3.2763214
121,2.8419478
122,2.9940393
123,2.864327
124,2.8410573
125,3.0161548
126,2.8971283
127,2.9721642
128,3.909586
129,3.7442513
130,2.8844576
131,2.9762402
132,3.0621746
133,3.2252862
134,3.5853622
135,3.3758705
136,3.6487434
137,2.9562943
138,3.0249953
139,3.2951303
140,3.2321181
141,3.188822
142,3.0926511
143,3.046345
144,2.8638425
145,3.5288444
146,3.2562692
147,3.4722283
148,3.4039147
149,3.1225803
150,3.1115053
151,3.3603213
152,2.7047474
153,3.1152017
154,3.4049869
155,2.9895644
156,3.2995217
157,3.5003867
158,3.817776
159,3.4023771
160,2.9187286
161,3.0752747
162,3.1214416
163,3.3624701
164,3.5595963
165,3.4738545
166,2.894743
167,2.9951344
168,3.296692
169,3.4317877
170,3.8189435
171,3.2855666
172,3.2440195
173,3.3499126
174,3.681583
175,3.541083
176,3.4875453
177,3.216193
178,3.7487411
179,3.130895
180,3.212741
181,3.061354
182,3.1869566
183,3.4998648
184,3.9454043
185,3.490454
186,2.9859273
187,3.013407
188,3.3025799
189,3.392374
190,3.5230694
191,3.3272002
192,2.9545681
193,3.3737934
194,3.525583
195,3.7397683
196,3.448984
197,2.9467359
198,3.1598852
199,3.0704286
200,3.257798
201,3.4348814
202,3.5798502
203,3.3055959
204,3.211229
205,3.7786016
206,3.2676983
207,3.5982683
208,3.6890347
209,3.9812627
210,3.2770495
211,3.7233818
212,3.788664
213,3.341704
214,3.494847
215,2.9431639
216,3.424312
217,3.9763546
218,3.4401286
219,3.6099894
220,3.5677807
221,3.851938
222,3.7510529
223,3.2730331
224,2.9929624
225,3.0203762
226,3.7395487
227,3.7557557
228,3.7524893
229,3.4308236
230,3.5359395
231,3.285182
232,3.087196
233,3.0738196
234,3.2174313
235,3.4213173
236,3.7631183
237,3.0797536
238,3.6435242
239,3.3337495
240,3.278175
241,3.204093
242,3.321845
243,3.6948388
244,3.6430945
245,2.8667133
246,3.1839726
247,3.374903
248,3.1495092
249,3.4266768
250,3.4224286
251,3.1017177
252,3.3599176
253,3.007281
254,3.377962
255,3.0595171
256,3.245323
257,3.1570134
258,3.2325728
259,3.2197309
260,3.068417
261,3.2936332
262,3.7029366
263,3.2858582
264,3.7605054
265,3.214614
266,2.9596758
267,3.496
268,3.104847
269,3.1933012
270,3.582476
271,3.3585336
272,3.5441213
273,3.1479561
274,3.4814973
275,3.2302625
276,3.1082187
277,3.1589205
278,3.467745
279,3.441219
280,3.4851794
281,3.2858737
282,3.1661098
283,3.1781092
284,3.898912
285,3.4614272
286,3.3646474
287,3.5177946
288,3.1288471
289,3.3537126
290,3.0810819
291,3.8442223
292,3.6341515
293,3.5095103
294,3.4226236
295,3.521288
296,3.251264
