,0
0,2.0410156
1,4.2526855
2,4.2822266
3,4.94458
4,4.008789
5,4.0579834
6,4.5788574
7,4.3459473
8,4.4144287
9,4.279297
10,4.1604004
11,4.1394043
12,4.4990234
13,3.9821777
14,3.9770508
15,4.272339
16,4.105713
17,4.1342773
18,4.3721924
19,4.6104736
20,4.612915
21,4.131592
22,4.474365
23,4.251709
24,4.5404053
25,4.392212
26,4.64624
27,4.5682373
28,4.557495
29,4.1864014
30,4.513916
31,4.374634
32,4.7182617
33,4.797119
34,4.0753174
35,4.5738525
36,4.387329
37,4.6708984
38,4.462036
39,4.774414
40,4.704956
41,4.784424
42,4.569092
43,4.2178955
44,4.2803955
45,4.6188965
46,4.788208
47,5.002075
48,4.95459
49,4.5063477
50,4.4752197
51,4.6169434
52,3.989624
53,4.411133
54,4.21521
55,4.378662
56,4.58667
57,4.9521484
58,4.925659
59,4.581787
60,4.345215
61,4.727295
62,4.572876
63,5.3447266
64,5.291504
65,4.8221436
66,5.527954
67,5.0214844
68,5.05249
69,4.679199
70,4.824707
71,5.0443115
72,4.9525146
73,4.564331
74,4.5491943
75,5.3865967
76,5.3165283
77,5.2194824
78,4.712158
79,4.942871
80,5.090332
81,4.7390137
82,5.065796
83,5.229248
84,5.2783203
85,5.7037354
86,4.881592
87,4.624878
88,5.2542725
89,4.8740234
90,4.938843
91,4.9992676
92,4.73999
93,5.3669434
94,5.076782
95,5.0944824
96,4.7507324
97,4.969116
98,4.8029785
99,5.2454834
100,5.1654053
101,4.921875
102,4.996216
103,5.3414307
104,4.8864746
105,5.4091797
106,5.3033447
107,5.764282
108,5.581909
109,4.8234863
110,4.7148438
111,4.6394043
112,5.105835
113,4.9782715
114,5.175293
115,5.107666
116,5.0231934
117,5.441162
118,4.989624
119,5.3099365
120,4.986084
121,5.336792
122,5.2651367
123,5.063843
124,5.001343
125,4.730957
126,5.0826416
127,5.062256
128,4.956421
129,4.992676
130,6.0391846
131,5.118408
132,5.281128
133,5.449829
134,5.3432617
135,5.3745117
136,5.6835938
137,5.077759
138,4.820923
139,4.9543457
140,4.973633
141,4.6936035
142,5.02771
143,5.3443604
144,5.3981934
145,5.1431885
146,5.338501
147,5.234131
148,5.3825684
149,4.989258
150,4.813965
151,5.6154785
152,5.0772705
153,5.048218
154,5.160034
155,5.1207275
156,5.5025635
157,5.272827
158,5.5718994
159,5.352295
160,5.449463
161,5.2888184
162,5.421875
163,5.3795166
164,5.1103516
165,5.0321045
166,5.287964
167,4.890991
168,4.973877
169,5.168579
170,5.2834473
171,5.324829
172,5.5236816
173,5.7248535
174,5.18042
175,5.2109375
176,5.968628
177,4.8183594
178,5.3791504
179,5.279419
180,4.9560547
181,5.324341
182,5.3187256
183,5.232544
184,5.084961
185,5.3413086
186,5.3342285
187,5.610962
188,5.7319336
189,5.2419434
190,5.393921
191,5.239746
192,4.991699
193,5.171997
194,5.826538
195,5.4266357
196,4.859253
197,5.522339
198,5.0706787
199,4.9174805
200,5.386963
201,5.3638916
202,4.935913
203,5.1105957
204,5.7474365
205,5.6619873
206,5.124878
207,5.322632
208,5.1124268
209,5.0546875
210,4.7093506
211,4.5585938
212,4.933838
213,4.9189453
214,4.4716797
215,5.496216
216,5.294922
217,5.654541
218,5.4870605
219,4.6590576
220,5.1827393
221,5.0842285
222,4.9730225
223,4.7626953
224,5.007202
225,4.7805176
226,5.107422
227,5.079956
228,4.490967
229,4.932373
230,5.1712646
231,4.804077
232,5.104492
233,5.024658
234,5.2127686
235,5.48645
236,5.212158
237,5.255371
238,5.8707275
239,6.067993
240,5.4837646
241,5.6375732
242,5.173218
243,5.2651367
244,5.7336426
245,5.327881
246,5.5247803
247,5.3233643
248,5.257202
249,4.977295
250,5.4466553
251,5.258911
252,5.576294
253,5.336426
254,5.585327
255,4.942993
256,5.4819336
257,5.6049805
258,5.272461
259,5.03125
260,5.007324
261,5.4072266
262,4.7976074
263,5.4608154
264,5.1601562
265,5.29541
266,5.3828125
267,4.793091
268,4.7662354
269,5.3242188
270,5.3964844
271,5.067505
272,4.8238525
273,5.3946533
274,4.8447266
275,5.321411
276,5.2962646
277,5.937378
278,5.499878
279,5.397217
280,5.277832
281,5.415161
282,5.3321533
283,5.1695557
284,5.0058594
285,4.909912
286,5.5338135
287,5.3841553
288,5.324951
289,5.4038086
290,5.416992
291,5.751343
292,5.559204
293,5.1228027
294,5.909546
295,5.020508
296,5.5179443
297,5.920532
298,5.4613037
299,5.1452637
300,5.501465
301,4.8132324
302,5.168335
303,5.5386963
304,5.343506
305,5.0898438
306,5.2749023
307,5.474365
308,5.7038574
309,5.2886963
310,5.675293
311,5.2233887
312,5.284546
313,5.2198486
314,5.385498
315,5.206299
316,5.317383
317,5.312134
318,5.6257324
319,5.4781494
320,5.0793457
321,5.4680176
322,5.4282227
323,5.4490967
324,5.498657
325,4.9970703
326,5.5808105
327,5.175293
328,5.6013184
329,5.1534424
330,5.5510254
331,4.904541
332,5.569824
333,5.7962646
334,5.433838
335,5.4890137
336,5.440918
337,5.838135
338,5.2731934
339,5.692383
340,5.5216064
341,5.4902344
342,5.54895
343,5.8773193
344,5.394287
345,5.7264404
346,5.9663086
347,5.7453613
348,5.713379
349,5.249756
350,5.4332275
351,5.6988525
352,4.8188477
353,5.2546387
354,4.9969482
355,6.208252
356,5.6396484
357,5.8221436
358,5.6850586
359,5.165161
360,6.0214844
361,5.628784
362,5.4823
363,5.1920166
364,5.334717
365,5.786621
366,6.0808105
367,5.53125
368,5.4023438
369,5.527832
370,5.336792
371,5.7579346
372,4.845459
373,5.4505615
374,5.38501
375,5.669922
376,5.526367
377,5.6488037
378,6.0198975
379,6.001709
380,5.7337646
381,5.413452
382,5.2508545
383,5.0406494
384,5.3499756
385,5.1973877
386,5.3239746
387,5.5006104
388,5.653076
389,5.4542236
390,5.722412
391,5.9067383
392,5.390869
393,4.709717
394,5.316162
395,5.432373
396,5.355957
397,5.599243
398,5.097534
399,5.209839
400,5.281616
401,5.421631
402,6.0273438
403,5.367798
404,5.541748
405,5.5041504
406,5.4886475
407,5.682251
408,5.7369385
409,5.715088
410,5.4902344
411,5.866211
412,5.6347656
413,5.186035
414,5.19458
415,5.690918
416,5.002075
417,5.156128
418,5.2717285
419,5.4851074
420,5.3758545
421,5.4560547
422,5.460205
423,5.095825
424,5.6203613
425,5.690796
426,5.528076
427,5.427002
428,5.331909
429,5.416992
430,5.5045166
431,5.597168
432,5.8067627
433,5.8032227
434,5.3533936
435,5.327881
436,5.29187
437,5.470093
438,5.4018555
439,5.7440186
440,5.1867676
441,5.5202637
442,5.641968
443,5.364624
444,5.187378
445,5.2365723
446,5.1688232
447,4.9709473
448,5.5756836
449,5.617798
450,5.583374
451,4.826416
452,5.2677
453,5.092407
454,4.9779053
455,5.1966553
456,5.246338
457,5.71521
458,5.7128906
459,5.38855
460,5.583618
461,5.9344482
462,5.8460693
463,5.18042
464,5.4487305
465,5.133789
466,5.4449463
467,5.8009033
468,5.3599854
469,5.545044
470,5.8120117
471,5.2475586
472,5.3825684
473,5.257324
474,5.3083496
475,5.2856445
476,5.595459
477,5.3847656
478,5.5456543
479,5.758911
480,5.677002
481,5.673828
482,5.61145
483,5.6065674
484,6.0201416
485,5.5164795
486,5.9561768
487,5.598877
488,5.362793
489,5.352051
490,5.9227295
491,5.51355
492,5.6083984
493,6.001709
494,5.7281494
495,5.756836
496,4.9866943
