,0
0,2.3731031
1,3.150965
2,3.2368553
3,3.5382748
4,3.248222
5,3.1101885
6,3.3830392
7,3.2199175
8,3.675497
9,3.1572354
10,3.581215
11,2.665398
12,3.0399761
13,2.875794
14,2.853984
15,3.4827878
16,2.6936805
17,2.81719
18,3.1676807
19,3.3165147
20,3.5120392
21,3.3963473
22,3.2641408
23,2.8710268
24,3.0275555
25,3.3356504
26,3.4369817
27,3.2341456
28,3.1212265
29,2.866546
30,2.9767249
31,2.828497
32,3.135563
33,3.5187974
34,2.6592937
35,3.0506651
36,2.909231
37,3.4188187
38,2.9412003
39,3.5664916
40,3.4019806
41,3.0718784
42,3.110099
43,2.8899083
44,3.0743735
45,3.0715785
46,3.130065
47,3.2185028
48,3.8150783
49,3.0036938
50,3.1418095
51,3.3238301
52,2.7341099
53,3.1949844
54,3.0361106
55,2.4738226
56,3.018345
57,3.0681
58,3.3729327
59,2.9184306
60,3.3697102
61,3.0544932
62,3.2275457
63,4.010857
64,3.4959848
65,3.2124834
66,3.5199554
67,3.569316
68,3.4092133
69,2.716525
70,3.1020699
71,3.165459
72,3.3280978
73,3.1588035
74,2.8693936
75,3.5396514
76,3.3835297
77,3.6306424
78,3.7139094
79,3.0578182
80,3.2368116
81,2.8629594
82,3.3193755
83,3.627583
84,3.357111
85,3.8197608
86,3.2488194
87,3.0521638
88,3.2791913
89,3.4249413
90,3.5274863
91,3.2172327
92,2.5778923
93,3.4531066
94,3.2716506
95,2.9915016
96,3.1893184
97,3.3182657
98,3.0252037
99,3.5723093
100,3.6720889
101,2.9667344
102,3.31631
103,3.3745303
104,3.4305756
105,3.422239
106,3.2493083
107,3.8723502
108,3.261567
109,2.9725873
110,2.8127577
111,2.938514
112,3.343152
113,2.9680946
114,3.2926195
115,3.428736
116,2.971331
117,3.54346
118,3.0313733
119,3.4007635
120,3.3651552
121,2.988009
122,2.873346
123,2.9375749
124,3.3001127
125,3.1862175
126,3.0651505
127,3.0131598
128,2.8752851
129,3.2111478
130,3.9139051
131,2.7616308
132,3.3302073
133,3.5199172
134,3.0616379
135,3.467923
136,3.853897
137,3.2135017
138,3.2786503
139,3.5158842
140,2.7598436
141,2.970126
142,2.9696693
143,3.2881172
144,3.8512866
145,3.2363565
146,3.4122353
147,2.909502
148,3.3943138
149,3.1697009
150,3.0521283
151,3.7104812
152,3.2074683
153,3.2618465
154,3.2944155
155,3.166205
156,3.1712193
157,3.136643
158,3.649026
159,3.3818161
160,3.2529862
161,3.504473
162,3.7650738
163,3.2348483
164,3.2407892
165,3.043158
166,3.5419788
167,2.9692364
168,3.098765
169,3.0333068
170,3.385578
171,3.0007043
172,3.748004
