,0
0,2.0410156
1,4.2526855
2,4.2822266
3,4.94458
4,4.008789
5,4.0579834
6,4.5788574
7,4.3459473
8,4.4144287
9,4.279297
10,4.1604004
11,4.1394043
12,4.4990234
13,3.9821777
14,3.9770508
15,4.272339
16,4.105713
17,4.1342773
18,4.3721924
19,4.6104736
20,4.612915
21,4.131592
22,4.474365
23,4.251709
24,4.5404053
25,4.392212
26,4.64624
27,4.5682373
28,4.557495
29,4.1864014
30,4.513916
31,4.374634
32,4.7182617
33,4.797119
34,4.0753174
35,4.5738525
36,4.387329
37,4.6708984
38,4.462036
39,4.774414
40,4.704956
41,4.784424
42,4.569092
43,4.2178955
44,4.2803955
45,4.6188965
46,4.788208
47,5.002075
48,4.95459
49,4.5063477
50,4.4752197
51,4.6169434
52,3.989624
53,4.411133
54,4.21521
55,4.378662
56,4.58667
57,4.9521484
58,4.925659
59,4.581787
60,4.345215
61,4.727295
62,4.572876
63,5.3447266
64,5.291504
65,4.8221436
66,5.527954
67,5.0214844
68,5.05249
69,4.679199
70,4.824707
71,5.0443115
72,4.9525146
73,4.564331
74,4.5491943
75,5.3865967
76,5.3165283
77,5.2194824
78,4.712158
79,4.942871
80,5.090332
81,4.7390137
82,5.065796
83,5.229248
84,5.2783203
85,5.7037354
86,4.881592
87,4.624878
88,5.2542725
89,4.8740234
90,4.938843
91,4.9992676
92,4.7353516
93,5.3479004
94,5.1032715
95,5.1453857
96,4.84375
97,4.9327393
98,4.72229
99,5.211426
100,5.3077393
101,5.0147705
102,5.119873
103,5.4539795
104,4.8864746
105,5.404785
106,5.2852783
107,5.756836
108,5.515381
109,4.800293
110,4.5960693
111,4.624878
112,5.0496826
113,4.9023438
114,5.1983643
115,5.09375
116,5.0250244
117,5.524658
118,5.0655518
119,5.251587
120,4.923218
121,5.268921
122,5.1741943
123,5.0758057
124,5.0374756
125,4.8153076
126,5.1505127
127,5.0498047
128,4.8601074
129,4.967285
130,5.866455
131,5.0594482
132,5.0759277
133,5.4506836
134,5.3728027
135,5.189331
136,5.489624
137,4.948242
138,4.8565674
139,4.9882812
140,5.0802
141,4.6916504
142,5.2261963
143,5.378784
144,5.4886475
145,4.9838867
146,5.1679688
147,4.977173
148,5.2801514
149,4.9769287
150,4.977051
151,5.5599365
152,5.285034
153,5.287842
154,5.3165283
155,5.0546875
156,5.3061523
157,5.1655273
158,5.805298
159,5.624878
160,5.465576
161,5.4937744
162,5.570801
163,5.389282
164,5.1794434
165,5.3007812
166,5.3187256
167,5.0516357
168,5.267578
169,5.0565186
170,5.17395
171,5.4868164
172,5.617798
173,5.6711426
174,5.411621
175,5.21167
176,5.965576
177,5.0388184
178,5.492798
179,5.449463
180,5.175293
181,5.300659
182,5.4730225
183,5.2783203
184,5.317627
185,5.6086426
186,5.640381
187,5.7022705
188,6.102661
189,5.259033
190,5.36438
191,5.142212
192,5.1435547
193,5.414795
194,5.415039
195,5.3598633
196,5.019409
197,5.381714
198,5.2164307
199,5.2054443
200,5.498169
201,5.309326
202,4.973999
203,5.2059326
204,5.6573486
205,5.515991
206,4.8848877
207,5.4089355
208,5.1013184
209,5.006836
210,4.690674
211,4.456543
212,5.0255127
213,5.1325684
214,4.8397217
215,5.312866
216,5.236328
217,5.7318115
218,5.613037
219,4.8830566
220,5.0079346
221,4.9243164
222,5.145996
223,4.846924
224,4.8167725
225,4.9555664
226,4.9748535
227,4.8951416
228,4.4731445
229,5.067749
230,5.300659
231,4.970093
232,5.2543945
233,4.9816895
234,5.447632
235,5.1992188
236,5.085327
237,5.251709
238,5.8565674
239,5.6832275
240,5.3771973
241,5.6367188
242,4.985718
243,5.347534
244,5.7159424
245,5.3883057
246,5.874756
247,5.4385986
248,5.295044
249,5.3116455
250,5.633423
251,5.5838623
252,5.770752
253,5.7974854
254,5.889038
255,5.0078125
256,5.362915
257,5.6314697
258,5.2229004
259,5.2105713
260,5.654541
261,5.445923
262,5.2401123
263,5.20459
264,5.353882
265,5.4882812
266,5.487671
267,5.122925
268,5.0162354
269,5.4729004
270,5.236328
271,5.204834
272,5.4143066
273,5.7609863
274,5.5288086
275,5.580078
276,5.3669434
277,5.7421875
278,4.970459
279,5.321167
280,5.711548
281,5.6324463
282,5.2318115
283,5.34021
284,5.008911
285,5.268921
286,5.317871
287,5.2563477
288,5.45166
289,5.267212
290,5.1330566
291,5.7060547
292,5.352539
293,5.2906494
294,5.595215
295,5.2524414
296,5.425415
297,5.664673
298,5.361328
299,4.9383545
300,5.4923096
301,5.3358154
302,5.20105
303,5.4727783
304,5.1900635
305,5.102173
306,5.234009
307,5.1967773
308,5.083618
309,5.433716
310,5.625366
311,5.1433105
312,5.12854
313,5.087158
314,5.2353516
315,5.366333
316,5.399536
317,4.9191895
318,5.287964
319,5.379883
320,5.126953
321,5.3149414
322,5.4526367
323,5.3845215
324,5.3272705
325,5.009033
326,5.5162354
327,5.284912
328,5.427246
329,5.444702
330,5.439453
331,5.0112305
332,5.927124
333,5.7128906
334,5.1966553
335,5.29187
336,5.1534424
337,5.7597656
338,4.897461
339,5.571411
340,5.392334
341,5.112671
342,5.4017334
343,5.7298584
344,5.317871
345,5.8341064
346,5.973999
347,6.074707
348,6.010498
349,5.861206
350,5.595215
351,4.9588623
352,5.114746
353,5.152954
354,5.2037354
355,5.5804443
356,5.2753906
357,5.389038
358,5.4259033
359,5.1480713
360,5.3186035
361,5.768799
362,5.4260254
363,5.2038574
364,5.303589
365,5.7753906
366,5.45813
367,5.4501953
368,5.482666
369,5.2664795
370,5.3985596
371,5.6556396
372,5.394409
373,5.885132
374,5.5738525
375,5.470215
376,6.000244
377,5.7962646
378,5.817749
379,5.744629
380,5.3358154
381,5.6518555
382,5.3411865
383,5.1604004
384,5.4901123
385,5.2766113
386,5.6417236
387,5.4456787
388,5.418213
389,5.581543
390,5.5773926
391,5.49646
392,5.2960205
393,4.9171143
394,5.43396
395,5.7148438
396,5.588745
397,5.5878906
398,5.317871
399,5.1778564
400,5.4853516
401,5.2332764
402,5.847046
403,5.3931885
404,5.0909424
405,5.618286
406,5.869995
407,5.7906494
408,5.847412
409,5.6048584
410,5.9172363
411,5.240967
412,5.293335
413,5.618164
414,5.4139404
415,5.7264404
416,5.2772217
417,5.2999268
418,5.2781982
419,5.3320312
420,6.0944824
421,5.429199
422,5.6065674
423,5.312744
424,5.0360107
425,5.318115
426,5.824707
427,5.6174316
428,5.652588
429,5.3825684
430,5.5906982
431,5.61499
432,5.552246
433,5.7713623
434,5.331909
435,5.402588
436,5.8564453
437,5.3310547
438,5.466797
439,5.559326
440,5.265503
441,4.9436035
442,5.390747
443,5.625244
444,5.105591
445,5.6071777
446,5.2349854
447,5.116699
448,5.0410156
449,5.5230713
450,5.5582275
451,4.713867
452,5.6610107
453,5.9213867
454,5.432373
455,5.737671
456,5.7177734
457,5.3848877
458,5.407715
459,5.815918
460,5.5750732
461,5.859131
462,5.8220215
463,5.2471924
464,5.8864746
465,5.8552246
466,5.430298
467,5.7818604
468,5.338623
469,5.6661377
470,5.2840576
471,5.015869
472,5.5108643
473,5.9797363
474,5.566162
475,5.672241
476,5.4697266
477,5.5599365
478,5.4853516
479,5.2401123
480,5.668213
481,5.911743
482,5.571533
483,5.722412
484,5.5838623
485,5.9259033
486,6.1695557
487,5.7226562
488,5.2963867
489,5.675415
490,5.6343994
491,5.522949
492,5.640503
493,5.737793
494,5.775635
495,5.460083
