,0
0,2.3731031
1,3.150965
2,3.2368553
3,3.5382748
4,3.248222
5,3.1101885
6,3.3830392
7,3.2199175
8,3.675497
9,3.1572354
10,3.581215
11,2.665398
12,3.0399761
13,2.875794
14,2.853984
15,3.4827878
16,2.6936805
17,2.81719
18,3.1676807
19,3.3165147
20,3.5120392
21,3.3963473
22,3.2641408
23,2.8710268
24,3.0275555
25,3.3356504
26,3.4369817
27,3.2341456
28,3.1212265
29,2.866546
30,2.9767249
31,2.828497
32,3.135563
33,3.5187974
34,2.6592937
35,3.0506651
36,2.909231
37,3.4188187
38,2.9412003
39,3.5664916
40,3.4019806
41,3.0718784
42,3.110099
43,2.8899083
44,3.0743735
45,3.0715785
46,3.130065
47,3.2185028
48,3.8150783
49,3.0036938
50,3.1418095
51,3.3238301
52,2.7341099
53,3.1949844
54,3.0361106
55,2.4738226
56,3.018345
57,3.0681
58,3.3729327
59,2.9184306
60,3.3697102
61,3.0544932
62,3.2275457
63,4.010857
64,3.4959848
65,3.2124834
66,3.5199554
67,3.569316
68,3.4092133
69,2.716525
70,3.1020699
71,3.165459
72,3.3280978
73,3.1588035
74,2.8693936
75,3.5396514
76,3.3835297
77,3.6306424
78,3.7139094
79,3.0578182
80,3.2368116
81,2.8629594
82,3.3193755
83,3.627583
84,3.357111
85,3.8197608
86,3.2488194
87,3.0521638
88,3.2791913
89,3.4249413
90,3.5274863
91,3.2172327
92,2.5902233
93,3.5098298
94,3.3059454
95,3.0061347
96,3.2156386
97,3.3417404
98,2.9976637
99,3.5596514
100,3.7693381
101,3.126195
102,3.3387134
103,3.4847019
104,3.3959565
105,3.366122
106,3.2074726
107,3.926162
108,3.2470703
109,2.9256594
110,2.7360797
111,2.95098
112,3.3699467
113,2.9169803
114,3.3490877
115,3.4269724
116,2.9937654
117,3.5651207
118,3.043223
119,3.3482096
120,3.2058809
121,2.9378443
122,2.836237
123,2.9775348
124,3.2966065
125,3.374594
126,3.232061
127,3.0292292
128,2.8160064
129,3.2352283
130,3.8062499
131,2.67457
132,3.22861
133,3.5278618
134,3.1335714
135,3.4440515
136,3.6959834
137,3.0826833
138,3.2116592
139,3.3954256
140,2.8604913
141,2.834616
142,3.5265431
143,3.0728786
144,4.1000805
145,3.327022
146,3.3548455
147,2.9374735
148,3.3847163
149,3.1002269
150,3.1022155
151,3.5972226
152,3.3579473
153,3.4318717
154,3.3015413
155,3.032287
156,3.1905656
157,3.0802171
158,3.8839118
159,3.9338748
160,3.32725
161,3.398351
162,3.7775505
163,3.0233784
164,3.0952532
165,3.1841831
166,3.5054853
167,3.0207448
168,3.2964206
169,2.9169583
170,3.3088706
171,3.2255044
