,0
0,2.0410156
1,4.2526855
2,4.2822266
3,4.94458
4,4.008789
5,4.0579834
6,4.5788574
7,4.3459473
8,4.4144287
9,4.279297
10,4.1604004
11,4.1394043
12,4.4990234
13,3.9821777
14,3.9770508
15,4.272339
16,4.105713
17,4.1342773
18,4.3721924
19,4.6104736
20,4.612915
21,4.131592
22,4.474365
23,4.251709
24,4.5404053
25,4.392212
26,4.64624
27,4.5682373
28,4.557495
29,4.1864014
30,4.513916
31,4.374634
32,4.7182617
33,4.797119
34,4.0753174
35,4.5738525
36,4.387329
37,4.6708984
38,4.462036
39,4.774414
40,4.704956
41,4.784424
42,4.569092
43,4.2178955
44,4.2803955
45,4.6188965
46,4.788208
47,5.002075
48,4.95459
49,4.5063477
50,4.4752197
51,4.6169434
52,3.989624
53,4.411133
54,4.21521
55,4.378662
56,4.58667
57,4.9521484
58,4.925659
59,4.581787
60,4.345215
61,4.727295
62,4.572876
63,5.3447266
64,5.291504
65,4.8221436
66,5.527954
67,5.0214844
68,5.05249
69,4.679199
70,4.824707
71,5.0443115
72,4.9525146
73,4.564331
74,4.5491943
75,5.3865967
76,5.3165283
77,5.2194824
78,4.712158
79,4.942871
80,5.090332
81,4.7390137
82,5.065796
83,5.229248
84,5.2783203
85,5.7037354
86,4.881592
87,4.624878
88,5.2542725
89,4.8740234
90,4.938843
91,4.9992676
92,4.73999
93,5.3669434
94,5.076782
95,5.0944824
96,4.7507324
97,4.969116
98,4.8029785
99,5.2454834
100,5.1654053
101,4.921875
102,4.996216
103,5.3414307
104,4.8864746
105,5.4091797
106,5.3033447
107,5.764282
108,5.581909
109,4.8234863
110,4.7148438
111,4.6394043
112,5.105835
113,4.9782715
114,5.175293
115,5.107666
116,5.0231934
117,5.441162
118,4.989624
119,5.3099365
120,4.986084
121,5.336792
122,5.2651367
123,5.063843
124,5.001343
125,4.730957
126,5.0826416
127,5.062256
128,4.956421
129,4.992676
130,6.0391846
131,5.118408
132,5.281128
133,5.449829
134,5.3432617
135,5.3745117
136,5.6835938
137,5.0754395
138,4.8302
139,4.996704
140,5.076172
141,4.9299316
142,5.1190186
143,5.234619
144,5.4396973
145,5.251465
146,5.4328613
147,5.1053467
148,5.3883057
149,5.012451
150,4.8515625
151,5.590454
152,5.19104
153,5.329834
154,5.190796
155,5.0516357
156,5.3406982
157,5.22937
158,5.6749268
159,5.3656006
160,5.4246826
161,5.4193115
162,5.665161
163,5.4942627
164,5.27063
165,4.99646
166,5.447632
167,4.815796
168,5.0059814
169,5.208374
170,5.1569824
171,5.3671875
172,5.470215
173,5.496704
174,5.3310547
175,5.26062
176,6.161133
177,5.1762695
178,5.437622
179,5.3519287
180,5.308716
181,5.27771
182,5.4663086
183,5.3928223
184,5.1744385
185,5.5649414
186,5.662964
187,5.6781006
188,5.875366
189,5.313843
190,5.3883057
191,5.3077393
192,5.011841
193,5.3216553
194,5.591797
195,5.327759
196,5.107422
197,5.4190674
198,4.994873
199,4.9887695
200,5.3983154
201,5.3304443
202,5.109741
203,5.3098145
204,5.671997
205,5.6569824
206,5.123413
207,5.3929443
208,5.0458984
209,4.9663086
210,4.637207
211,4.3531494
212,5.015503
213,4.9642334
214,4.8449707
215,5.3391113
216,5.284668
217,5.7454834
218,5.6591797
219,4.915161
220,5.1799316
221,4.942993
222,5.120117
223,4.699707
224,5.0164795
225,4.9611816
226,4.890381
227,5.1342773
228,4.605957
229,4.985962
230,5.1364746
231,5.001587
232,5.0980225
233,5.2385254
234,5.2598877
235,5.338501
236,5.2313232
237,4.908081
238,5.534424
239,5.7194824
240,5.4821777
241,5.6939697
242,5.0672607
243,5.3845215
244,5.811157
245,5.4594727
246,5.7042236
247,5.4467773
248,5.1656494
249,5.0544434
250,5.6085205
251,5.6418457
252,5.6325684
253,5.7929688
254,5.5823975
255,4.6671143
256,5.45459
257,5.70459
258,5.6002197
259,5.2106934
260,5.3085938
261,5.477783
262,5.0670166
263,5.557373
264,5.5098877
265,5.524658
266,5.4641113
267,5.117676
268,5.135498
269,5.3691406
270,5.410034
271,5.1433105
272,4.9710693
273,5.4804688
274,5.3341064
275,5.5234375
276,5.4328613
277,5.540161
278,5.192383
279,5.3565674
280,5.4577637
281,5.5438232
282,5.0654297
283,5.4298096
284,4.8829346
285,4.918213
286,5.6326904
287,5.2783203
288,5.1623535
289,5.5336914
290,5.4346924
291,5.7921143
292,5.334961
293,5.2886963
294,5.698242
295,4.904175
296,5.2750244
297,5.7268066
298,5.4613037
299,5.119995
300,5.416504
301,4.9282227
302,5.1746826
303,5.633301
304,5.314087
305,5.0786133
306,5.363159
307,5.4642334
308,5.572632
309,5.386963
310,5.619385
311,5.227661
312,5.4227295
313,5.080078
314,5.197998
315,5.1463623
316,5.5008545
317,5.1520996
318,5.3950195
319,5.2852783
320,5.135254
321,5.3918457
322,5.2667236
323,5.243286
324,5.289795
325,5.050171
326,5.550537
327,4.9952393
328,5.684082
329,5.3165283
330,5.477539
331,5.154663
332,5.3270264
333,5.55542
334,5.3477783
335,4.918335
336,5.149536
337,5.814575
338,5.1280518
339,5.842163
340,5.362671
341,5.2990723
342,5.378174
343,5.796997
344,5.17395
345,5.712036
346,5.739258
347,5.8031006
348,5.9366455
349,5.3986816
350,5.7789307
351,5.4696045
352,5.0129395
353,5.2686768
354,5.1258545
355,5.824951
356,5.647461
357,5.3236084
358,5.5666504
359,5.6967773
360,5.276001
361,5.503662
362,5.399658
363,5.279907
364,4.7543945
365,5.96521
366,5.538452
367,5.494751
368,5.596924
369,5.536499
370,5.437622
371,5.430542
372,4.927002
373,5.960449
374,5.175293
375,5.4487305
376,5.6190186
377,5.7145996
378,5.8917236
379,5.8007812
380,5.4692383
381,5.302124
382,5.2839355
383,5.1779785
384,5.456299
385,5.0351562
386,5.7213135
387,5.404785
388,5.355835
389,5.930176
390,5.3723145
391,5.8565674
392,5.8720703
393,4.861206
394,5.6049805
395,5.7579346
396,5.467163
397,5.574463
398,5.1951904
399,5.1672363
400,5.610962
401,5.4732666
402,6.2408447
403,5.4558105
404,5.9492188
405,5.544922
406,5.6467285
407,5.3830566
408,5.597534
409,5.527832
410,5.4698486
411,5.510498
412,5.6363525
413,5.2713623
414,5.1411133
415,6.1711426
416,5.7313232
417,5.546997
418,5.5096436
419,5.3917236
420,5.123413
421,5.383301
422,5.6501465
423,5.480835
424,5.880127
425,5.80542
426,5.65979
427,5.618286
428,5.1414795
429,5.7141113
430,5.699829
431,5.7338867
432,5.4781494
433,5.569702
434,5.3673096
435,5.5167236
436,5.9400635
437,5.3200684
438,5.510498
439,5.369385
440,5.26709
441,5.522827
442,5.399048
443,5.6081543
444,5.5872803
445,5.4240723
446,5.08667
447,5.3586426
448,5.076294
449,5.748535
450,5.880493
451,5.3511963
452,5.5253906
453,5.8325195
454,5.106079
455,5.8511963
456,5.5145264
457,5.041504
458,5.696533
459,5.8967285
460,5.435425
461,5.7265625
462,5.8115234
463,5.258667
464,5.866333
465,5.577759
466,5.285034
467,5.819458
468,5.3149414
469,5.658325
470,5.225464
471,5.32666
472,5.3637695
473,5.524536
474,5.2893066
475,5.559082
476,5.76416
477,5.146118
478,5.619629
479,5.31958
480,5.834717
481,5.9265137
482,6.0968018
483,5.750122
484,5.78479
485,5.7231445
486,6.0723877
487,5.6589355
488,5.548462
489,5.529419
490,5.6481934
491,5.215332
492,5.666748
493,5.636841
494,5.8149414
495,5.6413574
