,0
0,2.0410156
1,4.2526855
2,4.2822266
3,4.94458
4,4.008789
5,4.0579834
6,4.5788574
7,4.3459473
8,4.4144287
9,4.279297
10,4.1604004
11,4.1394043
12,4.4990234
13,3.9821777
14,3.9770508
15,4.272339
16,4.105713
17,4.1342773
18,4.3721924
19,4.6104736
20,4.612915
21,4.131592
22,4.474365
23,4.251709
24,4.5404053
25,4.392212
26,4.64624
27,4.5682373
28,4.557495
29,4.1864014
30,4.513916
31,4.374634
32,4.7182617
33,4.797119
34,4.0753174
35,4.5738525
36,4.387329
37,4.6708984
38,4.462036
39,4.774414
40,4.704956
41,4.784424
42,4.569092
43,4.2178955
44,4.2803955
45,4.6188965
46,4.788208
47,5.002075
48,4.95459
49,4.5063477
50,4.4752197
51,4.6169434
52,3.989624
53,4.411133
54,4.21521
55,4.378662
56,4.58667
57,4.9521484
58,4.925659
59,4.581787
60,4.345215
61,4.727295
62,4.572876
63,5.3447266
64,5.291504
65,4.8221436
66,5.527954
67,5.0214844
68,5.05249
69,4.679199
70,4.824707
71,5.0443115
72,4.9525146
73,4.564331
74,4.5491943
75,5.3865967
76,5.3165283
77,5.2194824
78,4.712158
79,4.942871
80,5.090332
81,4.7390137
82,5.065796
83,5.229248
84,5.2783203
85,5.7037354
86,4.881592
87,4.624878
88,5.2542725
89,4.8740234
90,4.938843
91,4.9992676
92,4.7353516
93,5.3479004
94,5.1032715
95,5.1453857
96,4.84375
97,4.9327393
98,4.72229
99,5.211426
100,5.3077393
101,5.0147705
102,5.119873
103,5.4539795
104,4.8864746
105,5.404785
106,5.2852783
107,5.756836
108,5.515381
109,4.800293
110,4.5960693
111,4.624878
112,5.0496826
113,4.9023438
114,5.1983643
115,5.09375
116,5.0250244
117,5.524658
118,5.0655518
119,5.251587
120,4.923218
121,5.268921
122,5.1741943
123,5.0758057
124,5.0374756
125,4.8153076
126,5.1505127
127,5.0498047
128,4.8601074
129,4.967285
130,5.866455
131,5.0594482
132,5.0759277
133,5.4506836
134,5.3728027
135,5.189331
136,5.489624
137,4.948242
138,4.8565674
139,4.9823
140,5.0787354
141,4.797241
142,5.1169434
143,5.2698975
144,5.442505
145,5.095581
146,5.3050537
147,5.0585938
148,5.4071045
149,4.9698486
150,4.875244
151,5.459717
152,5.2957764
153,5.412964
154,5.198242
155,5.007324
156,5.223999
157,5.0461426
158,5.5897217
159,5.3913574
160,5.4487305
161,5.3691406
162,5.574463
163,5.2998047
164,5.0872803
165,5.279541
166,5.256958
167,4.9525146
168,5.130493
169,5.0375977
170,5.1451416
171,5.41333
172,5.5338135
173,5.6640625
174,5.2839355
175,5.197632
176,5.9501953
177,4.9401855
178,5.498291
179,5.5097656
180,5.095337
181,5.2105713
182,5.4279785
183,5.3393555
184,5.092163
185,5.557129
186,5.8187256
187,5.62854
188,6.123657
189,5.2335205
190,5.406128
191,5.086548
192,5.0826416
193,5.4783936
194,5.6099854
195,5.4089355
196,5.0322266
197,5.2626953
198,5.015259
199,4.874634
200,5.423584
201,5.112915
202,4.8566895
203,5.1827393
204,5.5285645
205,5.3344727
206,5.033081
207,5.211792
208,5.0498047
209,5.0793457
210,4.845825
211,4.5603027
212,4.9578857
213,5.01001
214,4.7130127
215,5.2331543
216,5.1518555
217,5.6204834
218,5.3988037
219,4.8372803
220,4.8146973
221,5.208374
222,5.1101074
223,4.84729
224,4.890869
225,4.984009
226,4.875244
227,4.886841
228,4.4865723
229,5.0805664
230,5.329468
231,4.935913
232,5.213501
233,5.029907
234,5.4244385
235,5.3620605
236,4.977661
237,5.2539062
238,5.9765625
239,5.6853027
240,5.3808594
241,5.708374
242,5.3079834
243,5.3692627
244,5.817993
245,5.494995
246,5.826782
247,5.4577637
248,5.224121
249,5.234619
250,5.7668457
251,5.7091064
252,5.777466
253,5.727295
254,5.7700195
255,4.956909
256,5.4196777
257,5.432007
258,5.340088
259,5.4178467
260,5.2822266
261,5.5317383
262,5.145874
263,5.543457
264,5.2702637
265,5.456787
266,5.489868
267,5.024292
268,4.990967
269,5.0548096
270,5.6429443
271,5.3118896
272,5.0234375
273,5.47937
274,5.1553955
275,5.4034424
276,5.5338135
277,5.8980713
278,5.376343
279,5.494995
280,5.640259
281,5.321533
282,5.2182617
283,5.5859375
284,5.0704346
285,5.1418457
286,5.383423
287,5.4051514
288,5.5253906
289,5.531128
290,5.3669434
291,5.591675
292,5.4417725
293,5.460449
294,5.644409
295,5.022339
296,5.352417
297,5.911377
298,5.53479
299,5.0891113
300,5.565796
301,5.2110596
302,5.0404053
303,5.4434814
304,5.2093506
305,5.2840576
306,5.665161
307,5.619385
308,5.6556396
309,5.3549805
310,5.5872803
311,5.285034
312,5.5166016
313,5.175537
314,5.288086
315,5.3737793
316,5.640625
317,5.428711
318,5.250244
319,5.2974854
320,5.1514893
321,5.387451
322,5.3896484
323,5.0826416
324,5.173706
325,4.9572754
326,5.834961
327,5.2283936
328,5.624878
329,5.5456543
330,5.5633545
331,5.145996
332,5.494751
333,5.913574
334,5.2578125
335,5.291504
336,5.512207
337,5.5845947
338,4.932373
339,5.8811035
340,5.3719482
341,5.6242676
342,5.6679688
343,5.649292
344,5.371216
345,5.4891357
346,5.595337
347,5.6447754
348,5.8619385
349,5.5255127
350,5.966675
351,5.6053467
352,5.3233643
353,5.4211426
354,5.19104
355,5.9212646
356,5.594116
357,5.2854004
358,5.4901123
359,5.3569336
360,5.662842
361,5.7905273
362,5.5074463
363,5.363037
364,5.508301
365,5.7956543
366,5.755371
367,5.7576904
368,5.8668213
369,5.4575195
370,5.473755
371,5.468506
372,5.4344482
373,5.9241943
374,5.5322266
375,5.6937256
376,6.0750732
377,5.845093
378,5.8304443
379,5.6569824
380,5.364502
381,5.5059814
382,5.5756836
383,5.753784
384,5.70166
385,5.578491
386,5.503296
387,5.230835
388,5.2680664
389,5.4995117
390,5.3408203
391,5.406616
392,5.8825684
393,5.3894043
394,5.493164
395,5.578247
396,5.6550293
397,5.4641113
398,5.036377
399,5.241699
400,5.6271973
401,5.5267334
402,5.951294
403,5.17688
404,5.723633
405,5.218994
406,5.5411377
407,5.793701
408,5.4904785
409,5.479126
410,5.749878
411,5.28125
412,5.794922
413,5.4101562
414,5.64917
415,5.742676
416,5.3848877
417,5.0128174
418,5.552124
419,5.706909
420,5.3587646
421,5.4925537
422,5.781006
423,5.2558594
424,5.552246
425,5.5394287
426,5.419922
427,5.4194336
428,5.7994385
429,5.436035
430,5.4766846
431,5.4521484
432,5.5390625
433,5.7615967
434,5.244507
435,5.5651855
436,5.8494873
437,5.473999
438,5.4227295
439,5.0111084
440,5.6331787
441,5.3884277
442,5.331543
443,5.741089
444,5.4572754
445,5.263672
446,5.067871
447,5.5965576
448,5.3289795
449,5.626465
450,5.6783447
451,5.0947266
452,5.330078
453,5.689209
454,5.878174
455,6.140503
456,5.770874
457,5.445923
458,5.643799
459,5.9918213
460,5.6203613
461,5.890625
462,5.7089844
463,5.2279053
464,5.8598633
465,5.649414
466,5.366699
467,6.1295166
468,5.566162
469,5.6535645
470,5.1591797
471,4.936157
472,5.416504
473,5.2781982
474,5.458496
475,5.671631
476,5.654419
477,5.157959
478,5.6691895
479,5.911499
480,5.5302734
481,5.394165
482,5.5
483,5.830078
484,5.7456055
485,5.5407715
486,5.243408
487,5.3931885
488,5.3361816
489,5.819214
490,5.3927
491,5.9710693
492,5.6015625
493,5.5040283
494,5.6726074
