,0
0,2.0410156
1,4.23999
2,4.3233643
3,4.802124
4,4.0740967
5,3.6644287
6,4.140991
7,4.6605225
8,4.036865
9,4.131958
10,4.133423
11,4.1655273
12,4.6329346
13,4.1827393
14,4.1882324
15,4.1341553
16,4.5247803
17,4.3564453
18,4.720215
19,5.3321533
20,4.238037
21,4.1623535
22,4.4438477
23,4.2473145
24,4.1153564
25,4.245117
26,4.760742
27,4.806885
28,4.959839
29,4.1104736
30,4.5371094
31,4.786865
32,4.4509277
33,4.1968994
34,5.0238037
35,4.755371
36,4.860962
37,4.4033203
38,4.4952393
39,5.0911865
40,4.6535645
41,4.871582
42,5.017456
43,5.0371094
44,4.727417
45,5.1291504
46,4.7854004
47,4.345825
48,4.6445312
49,4.550049
50,4.6749268
51,4.864258
52,4.8289795
53,4.613037
54,4.397339
55,5.0045166
56,5.1875
57,5.125
58,4.819336
59,4.9331055
60,4.6051025
61,5.031006
62,4.461426
63,4.4519043
64,5.126709
65,5.3310547
66,5.287842
67,4.4588623
68,5.1081543
69,5.11145
70,4.5579834
71,4.545166
72,5.147461
73,5.1551514
74,5.159912
75,4.9813232
76,5.0445557
77,5.02124
78,4.831909
79,4.475464
80,4.9891357
81,5.0461426
82,5.812256
83,4.9328613
84,4.9123535
85,5.1256104
86,4.769165
87,5.323242
88,5.3237305
89,5.1845703
90,5.0288086
91,5.0722656
92,5.2647705
93,4.9871826
94,5.3188477
95,5.031006
96,5.069702
97,5.0671387
98,4.840576
99,5.1621094
100,4.68042
101,5.275635
102,4.9578857
103,4.9230957
104,5.0773926
105,5.36499
106,5.380005
107,5.187866
108,5.2388916
109,5.0723877
110,5.1447754
111,5.227295
112,5.267212
113,5.287964
114,5.3291016
115,5.155884
116,5.578369
117,5.280884
118,5.045288
119,5.781372
120,5.085449
121,5.7700195
122,5.428467
123,5.036621
124,5.576782
125,5.7302246
126,4.8898926
127,5.3842773
128,5.630005
129,5.286743
130,5.3573
131,5.0753174
132,5.717163
133,5.6480713
134,5.2213135
135,5.0671387
136,5.6918945
137,5.82312
138,5.3947754
139,5.708496
140,5.3945312
141,4.9924316
142,5.528076
143,5.3651123
144,5.524292
145,5.3476562
146,5.548462
147,5.079956
148,5.41687
149,5.5079346
150,5.609619
151,5.3392334
152,5.00708
153,5.258911
154,5.3204346
155,5.367676
156,5.376465
157,5.623657
158,5.3790283
159,5.2283936
160,5.204468
161,5.10437
162,5.2921143
163,5.6376953
164,5.602173
165,5.188965
166,5.277954
167,5.7783203
168,5.43396
169,5.2019043
170,5.1383057
