,0
0,2.3731031
1,3.145716
2,3.283675
3,3.6446505
4,3.58099
5,3.0038328
6,3.4560962
7,3.5462365
8,2.8540518
9,3.1695719
10,3.2388096
11,3.1728666
12,3.9146042
13,3.1494637
14,3.0227356
15,3.3533661
16,3.3755596
17,3.1345007
18,3.200127
19,3.5060496
20,3.0013797
21,3.1743388
22,3.1487026
23,3.1817298
24,2.9523804
25,3.163779
26,3.6450994
27,3.5270388
28,3.5519958
29,2.8999643
30,3.1901164
31,3.16806
32,3.1009283
33,3.3762908
34,3.9567726
35,3.39519
36,3.2142837
37,3.00068
38,2.6410367
39,3.20988
40,3.0551732
41,3.398876
42,3.5312586
43,3.240459
44,3.3368125
45,3.5084538
46,3.4223874
47,2.9893873
48,2.7680707
49,2.961246
50,3.2345135
51,3.1290805
52,2.9423454
53,2.894704
54,2.9259179
55,3.3901
56,3.239956
57,3.5251951
58,3.567373
59,3.2706182
60,3.4289222
61,3.9224997
62,3.0726438
63,3.03111
64,3.50088
65,3.6226788
66,3.8741696
67,2.9058328
68,3.4206293
69,3.5359352
70,2.6154134
71,2.7963793
72,3.879154
73,3.3052287
74,3.272207
75,3.1413662
76,3.3897738
77,2.8754733
78,3.3879514
79,3.0932975
80,3.3035338
81,3.2451992
82,3.4942622
83,2.8477623
84,2.9804678
85,3.6033795
86,3.3470063
87,3.8206248
88,3.481001
89,3.6738515
90,2.8515775
91,3.3740451
92,3.030902
93,3.2827313
94,3.8868139
95,3.6923652
96,3.3217957
97,3.061764
98,3.3599524
99,3.4166753
100,3.0308743
101,3.6725004
102,3.0945086
103,2.915299
104,2.9475172
105,3.3331218
106,3.5835462
107,3.3967733
108,3.3012686
109,3.2312424
110,3.0546832
111,3.1069946
112,3.1345959
113,3.2974987
114,3.4183187
115,3.0559947
116,3.9202824
117,3.3077552
118,2.876108
119,3.8230424
120,2.8831868
121,3.6265943
122,3.4079354
123,2.7648528
124,3.4246154
125,3.6431017
126,3.11437
127,3.1628237
128,3.4402962
129,2.927748
130,3.291116
131,2.8244655
132,3.2677486
133,3.714158
134,3.304526
135,3.1621826
136,3.1757276
137,3.440991
138,3.3695939
139,3.5169075
140,3.3056545
141,2.9312088
142,3.1083453
143,3.3241053
144,3.0925102
145,3.1059155
146,3.7863595
147,2.8975136
148,3.4013617
149,3.183543
150,3.3115342
151,3.3578897
152,3.1180704
153,3.0284266
154,3.1572526
155,3.1334372
156,3.266839
157,3.2898831
158,3.615797
159,2.7837873
160,2.9725413
161,2.7970445
162,3.1632802
163,3.3353188
164,3.1814141
165,2.8409472
166,3.2578046
167,3.8039966
168,3.4874966
169,2.9603922
170,3.1562946
171,3.5139809
172,3.395424
173,3.2914855
174,3.2142766
175,2.982655
176,3.209335
177,2.9879923
178,2.8558471
179,3.2672358
180,4.2158017
181,3.4018402
182,3.745838
183,3.8421977
184,3.29431
185,3.4556942
186,3.2341392
187,3.1794472
188,3.342043
189,3.277024
190,2.7978222
191,3.5441375
192,3.2831545
193,3.4963818
194,3.774255
195,3.3904395
196,4.0604835
197,4.155085
198,3.9249287
199,3.6413305
200,3.7131877
201,3.303081
202,3.041769
203,3.8702648
204,3.6318057
205,3.7770667
206,2.940336
207,3.17517
208,3.5186462
209,3.7001433
210,3.2225702
211,3.5533185
212,3.6206095
213,3.3386335
214,3.32086
215,2.8882477
216,3.1676729
217,3.1093512
218,3.4141333
219,3.7486112
220,3.5413902
221,3.4138236
222,3.0608678
223,3.4052894
224,3.4865053
225,2.9121227
226,3.4033952
227,2.9613452
228,2.7889178
229,3.4066098
230,3.9633858
231,3.8814106
232,3.2304688
233,3.4654186
234,3.703216
235,3.1483135
236,2.96504
237,2.9095914
238,2.8193214
239,3.2880762
240,3.5662107
241,3.3015425
242,3.2194386
243,3.3135726
244,3.8578656
245,3.5430934
246,3.3460834
247,3.3103979
248,3.2756605
249,2.928264
250,3.3055224
251,3.2742267
252,3.8211083
253,3.033932
254,3.0485144
255,3.083304
256,2.8633873
257,3.22404
258,3.56522
259,3.4630656
260,3.3027997
261,3.4046052
262,4.456317
263,3.7989535
264,3.3669238
265,3.4725854
266,3.546514
267,3.3147726
268,3.6611116
269,3.5861244
270,3.398287
271,3.1956544
272,3.7186491
273,3.5293536
274,3.8055873
275,2.9319303
276,3.4367774
277,3.3068178
278,3.0571587
279,3.5108654
280,3.6567602
281,3.2155306
282,2.9613128
283,3.1275597
284,3.6514053
285,3.3129942
286,3.0374246
287,2.8713334
288,3.4589953
289,3.6326296
290,3.413138
291,3.3532503
292,3.1605337
293,3.090737
294,3.0758917
295,3.5922155
296,3.4686344
297,3.7770324
298,3.5368702
299,3.1664703
300,3.1335454
301,3.2831933
302,3.7133677
303,3.2483926
304,3.567614
305,3.754664
306,2.9474716
307,3.1391668
308,3.762678
309,3.1434617
310,3.55645
311,3.7394779
312,3.5027797
313,3.322315
314,4.1587625
315,2.8388112
316,3.513087
317,3.3010974
318,3.6029894
319,3.2828534
320,3.1917915
321,3.1670074
322,3.1498995
323,3.5364308
324,3.5821042
325,3.240175
326,2.9565494
327,3.4254475
328,3.4921393
329,3.4562716
330,3.3083425
331,3.3352182
332,3.683976
333,3.6079998
334,3.7082531
335,3.105201
336,3.5018551
337,3.52663
338,3.6252794
339,3.6708353
340,3.649419
341,2.9629307
342,3.5083325
343,3.8408175
344,4.0803113
345,3.5373328
346,3.5631397
347,3.8211794
348,3.1265697
349,3.6318707
350,3.832828
351,3.2202032
352,4.1014214
353,3.5442533
354,3.8031454
355,3.3232036
356,4.1213064
357,4.150044
358,3.2962415
