,0
0,2.0410156
1,4.23999
2,4.3233643
3,4.802124
4,4.0740967
5,3.6644287
6,4.140991
7,4.6605225
8,4.036865
9,4.131958
10,4.133423
11,4.1655273
12,4.6329346
13,4.1827393
14,4.1882324
15,4.1341553
16,4.5247803
17,4.3564453
18,4.720215
19,5.3321533
20,4.238037
21,4.1623535
22,4.4438477
23,4.2473145
24,4.1153564
25,4.245117
26,4.760742
27,4.806885
28,4.959839
29,4.1104736
30,4.5371094
31,4.786865
32,4.4509277
33,4.1968994
34,5.0238037
35,4.755371
36,4.860962
37,4.4033203
38,4.4952393
39,5.0911865
40,4.6535645
41,4.9420166
42,4.984497
43,5.005371
44,4.771118
45,5.159668
46,4.983032
47,4.466797
48,4.813843
49,4.3841553
50,4.611084
51,4.727539
52,4.8780518
53,4.742676
54,4.505249
55,5.065674
56,5.0281982
57,4.9439697
58,4.860718
59,4.9799805
60,4.760742
61,5.289551
62,4.699829
63,4.4989014
64,5.1992188
65,5.3601074
66,5.288452
67,4.5755615
68,5.071045
69,5.1829834
70,4.724121
71,4.805542
72,5.220581
73,5.07666
74,5.0926514
75,5.086548
76,4.947876
77,5.0233154
78,4.6538086
79,4.5897217
80,4.8499756
81,5.1383057
82,5.8581543
83,4.9797363
84,4.9489746
85,5.2904053
86,4.807373
87,5.401245
88,5.296631
89,5.196411
90,4.92688
91,5.1324463
92,5.2564697
93,5.093628
94,5.4678955
95,5.00708
96,5.1254883
97,5.057617
98,4.9539795
99,5.1671143
100,4.8049316
101,5.210083
102,5.0689697
103,4.9906006
104,5.022705
105,5.2874756
106,5.1850586
107,5.116455
108,5.2489014
109,4.954834
110,5.0700684
111,5.1606445
112,5.220459
113,5.2059326
114,5.4143066
115,5.282715
116,5.498291
117,5.3826904
118,5.0947266
119,5.766968
120,5.229492
121,5.951416
122,5.553711
123,5.007324
124,5.4990234
125,5.7650146
126,4.963623
127,5.255127
128,5.555786
129,5.46875
130,5.46167
131,5.022461
132,5.6115723
133,5.836426
134,5.180786
135,5.1135254
136,5.4991455
137,5.6380615
138,5.441284
139,5.756958
140,5.420166
141,5.1655273
142,5.564331
143,5.4249268
144,5.469116
145,5.540039
146,5.6297607
147,5.1850586
148,5.4266357
149,5.447998
150,5.5963135
151,5.3533936
152,5.088257
153,5.3393555
154,5.4226074
155,5.345581
156,5.3048096
157,5.547119
158,5.402832
159,5.2088623
160,5.180786
161,5.030884
162,5.3918457
163,5.7299805
164,5.604248
165,5.1746826
166,5.3691406
167,5.8150635
168,5.432617
169,5.277466
170,5.076538
