,0
0,2.3731031
1,3.145716
2,3.283675
3,3.6446505
4,3.58099
5,3.0038328
6,3.4560962
7,3.5462365
8,2.8540518
9,3.1695719
10,3.2388096
11,3.1728666
12,3.9146042
13,3.1494637
14,3.0227356
15,3.3533661
16,3.3755596
17,3.1345007
18,3.200127
19,3.5060496
20,3.0013797
21,3.1743388
22,3.1487026
23,3.1817298
24,2.9523804
25,3.163779
26,3.6450994
27,3.5270388
28,3.5519958
29,2.8999643
30,3.1901164
31,3.16806
32,3.1009283
33,3.3762908
34,3.9567726
35,3.39519
36,3.2142837
37,3.00068
38,2.6410367
39,3.20988
40,3.0551732
41,3.4946501
42,3.5480971
43,3.2372754
44,3.3124604
45,3.5017984
46,3.5315378
47,3.109747
48,2.9844384
49,2.80433
50,3.1409924
51,2.9294658
52,2.8811748
53,2.9880042
54,3.014325
55,3.4703097
56,3.2107468
57,3.3968709
58,3.621565
59,3.3525133
60,3.509005
61,4.014731
62,3.259655
63,3.0455923
64,3.440639
65,3.6281924
66,3.8818204
67,3.064397
68,3.3915005
69,3.6466336
70,2.9394217
71,2.9860358
72,3.9333496
73,3.200072
74,3.2658617
75,3.2370467
76,3.2799242
77,2.827662
78,3.1583416
79,3.1575274
80,3.0909991
81,3.2287521
82,3.5223055
83,2.8831966
84,2.956361
85,3.74179
86,3.2852287
87,3.8271701
88,3.430803
89,3.646136
90,2.7228148
91,3.4297016
92,3.012388
93,3.411893
94,3.8979843
95,3.614201
96,3.298189
97,3.0805984
98,3.3693466
99,3.3272119
100,3.0683596
101,3.6391065
102,3.2846346
103,2.9753685
104,2.9308808
105,3.2287085
106,3.430167
107,3.4434767
108,3.3014905
109,3.0759687
110,3.082599
111,3.1152306
112,3.0542748
113,3.205327
114,3.4183025
115,3.097875
116,3.829272
117,3.4938436
118,2.9227207
119,3.783802
120,2.893043
121,3.6098258
122,3.450656
123,2.7930658
124,3.4387424
125,3.6228888
126,3.1731288
127,3.0871692
128,3.4648502
129,2.8372178
130,3.2739124
131,2.6633146
132,3.285043
133,3.686123
134,3.2897446
135,3.16217
136,3.107804
137,3.3337295
138,3.364998
139,3.5466874
140,3.3483794
141,3.099969
142,3.088144
143,3.3979583
144,2.8712227
145,3.2770593
146,3.700026
147,2.9278734
148,3.3762279
149,3.1667879
150,3.3374283
151,3.3953004
152,2.985953
153,3.0568464
154,3.270162
155,3.1547928
156,3.17741
157,3.111883
158,3.6100285
159,2.8239706
160,3.0021405
161,2.8226635
162,3.3167017
163,3.367409
164,3.2463353
165,2.8390894
166,3.24774
167,3.8107514
168,3.4339256
169,3.152115
170,3.1738567
171,3.565888
172,3.4593947
173,3.1577156
174,3.3028073
175,3.184597
176,3.1969728
177,3.0857294
178,2.709972
179,3.2801445
180,4.1567016
181,3.4142685
182,3.767334
183,3.7359579
184,3.333608
185,3.3645358
186,3.1987667
187,3.1168416
188,3.2939212
189,3.321008
190,2.746253
191,3.4316437
192,3.2445009
193,3.4365954
194,3.3806353
195,3.3305228
196,4.000979
197,3.9434981
198,3.8516853
199,3.5670695
200,3.7131386
201,3.3042414
202,3.0488305
203,3.9671595
204,3.51831
205,3.760318
206,3.0750344
207,3.1620147
208,3.4019692
209,3.754029
210,3.1358352
211,3.4925783
212,3.6152296
213,3.161555
214,3.353004
215,2.8806527
216,3.1197178
217,3.180735
218,3.3693886
219,3.7584975
220,3.5357385
221,3.3383143
222,3.0478451
223,2.9498289
224,3.2858574
225,2.6635976
226,3.0692544
227,2.9688349
228,2.8079107
229,3.3545914
230,3.5101595
231,3.5614147
232,3.25233
233,3.396334
234,3.6308072
235,3.234423
236,2.981744
237,2.7894874
238,2.806827
239,3.1152775
240,3.2867844
241,3.355388
242,3.0608253
243,3.3695834
244,3.8418672
245,3.5752666
246,3.446318
247,3.3024201
248,3.324092
249,3.02472
250,3.267251
251,3.1677752
252,3.744477
253,3.188037
254,2.9010384
255,3.0549502
256,2.9265983
257,3.1678832
258,3.530827
259,3.4743173
260,3.321997
261,3.5149717
262,4.4022007
263,3.8686452
264,3.2157562
265,3.6311543
266,3.497996
267,3.3497286
268,3.8672993
269,3.6831768
270,3.3984866
271,3.228089
272,3.9071844
273,3.4913542
274,3.5448909
275,2.946972
276,3.3574314
277,3.270888
278,3.2936523
279,3.5707104
280,3.6973958
281,3.3081756
282,3.0111926
283,2.94426
284,3.6571705
285,3.24734
286,3.0895889
287,2.8503969
288,3.6139083
289,3.7903643
290,3.4822993
291,3.5342233
292,3.2479758
293,3.1712613
294,3.1001906
295,3.6338084
296,3.2744474
297,3.9536214
298,3.5457919
299,3.1872404
300,2.9698372
301,3.4752398
302,3.5894353
303,3.2733102
304,3.7899117
305,3.7838652
306,2.969973
307,3.168783
308,3.7107785
309,3.1761246
310,3.4401035
311,3.7367833
312,3.5352216
313,3.1616507
314,4.1739416
315,2.8547177
316,3.5475452
317,3.3308191
318,3.9862127
319,3.1135323
320,3.3116734
321,3.3337567
322,3.1292129
323,3.5587347
324,3.5787232
325,3.2618442
326,3.187637
327,3.2832532
328,3.3592048
329,3.3293009
330,3.2287202
331,3.2842145
332,3.728712
333,3.422053
334,3.4783487
335,3.1243331
336,3.4907873
337,3.464138
338,3.6111524
339,3.6655216
340,3.6978235
341,2.9189513
342,3.6139157
343,3.782481
344,3.708212
345,3.4710767
346,3.5510464
347,3.7530398
348,3.1745381
349,3.5547533
350,3.8203871
351,3.0531778
352,3.7994328
353,3.3211887
354,3.5982456
355,3.0845282
356,4.129305
357,4.13792
358,3.3472621
359,3.5784273
360,2.9641237
361,3.383416
