,0
0,2.0410156
1,4.244751
2,4.3829346
3,4.621826
4,4.1123047
5,3.869629
6,4.535034
7,4.4366455
8,4.3477783
9,4.541382
10,4.626953
11,4.477783
12,4.577881
13,4.2508545
14,3.99292
15,4.0075684
16,4.2530518
17,3.9659424
18,4.3221436
19,4.092041
20,4.5236816
21,4.135132
22,4.4959717
23,4.4853516
24,4.706543
25,4.529907
26,4.748535
27,4.6378174
28,4.6967773
29,4.5646973
30,4.690918
31,4.5457764
32,4.214966
33,4.8188477
34,4.7945557
35,4.69104
36,4.3654785
37,4.38208
38,4.213501
39,4.962158
40,4.4438477
41,4.5438232
42,4.190674
43,4.88501
44,4.8233643
45,4.6882324
46,4.9104004
47,4.850342
48,5.281006
49,4.76416
50,4.7509766
51,4.871338
52,4.5985107
53,4.421997
54,4.8359375
55,4.9718018
56,4.91333
57,4.911499
58,4.8721924
59,4.7437744
60,4.8120117
61,5.1219482
62,5.008545
63,4.8588867
64,5.225952
65,4.819214
66,5.233032
67,4.815674
68,5.0875244
69,4.6783447
70,5.5491943
71,5.0405273
72,4.5686035
73,4.8983154
74,4.852539
75,5.3461914
76,5.016968
77,4.565674
78,4.79126
79,5.1030273
80,4.656494
81,4.6295166
82,5.2507324
83,4.8896484
84,4.7576904
85,5.3621826
86,5.1452637
87,5.0913086
88,5.0532227
89,5.1124268
90,4.8605957
91,5.29541
92,4.75
93,4.909546
94,5.123413
95,5.522705
96,4.93396
97,5.3598633
98,4.90271
99,4.743408
100,5.2004395
101,5.1743164
102,5.0438232
103,4.61499
104,5.23291
105,5.5389404
106,5.01416
107,5.0473633
108,5.0805664
109,5.123535
110,4.597046
111,4.7596436
112,5.3928223
113,5.1796875
114,5.258789
115,5.444824
116,5.376953
117,4.871338
118,4.812378
119,5.1137695
120,5.5703125
121,5.5756836
122,4.8928223
123,5.0386963
124,4.860718
125,5.298462
126,5.1920166
127,5.6954346
128,5.0146484
129,5.411255
130,5.3223877
131,5.2506104
132,5.5976562
133,5.3442383
134,5.0949707
135,5.134033
136,5.1585693
137,5.32959
138,5.453125
139,5.1394043
140,5.388672
141,5.2036133
142,5.0125732
143,5.1866455
144,4.629883
145,5.3724365
146,5.239624
147,4.9814453
148,5.2529297
149,5.474243
150,5.3685303
151,5.289795
152,4.74646
153,5.2836914
154,5.0006104
155,5.2235107
156,4.927002
157,5.6342773
158,5.8914795
159,5.581421
160,5.439087
161,5.1411133
162,5.6311035
163,5.34375
164,5.088379
165,5.2698975
166,4.9761963
167,5.2142334
168,5.288452
169,5.255005
170,5.548218
171,5.041992
172,5.2052
173,5.3201904
174,5.2474365
175,5.4001465
176,4.4072266
177,4.9593506
178,5.0742188
179,5.1535645
180,5.2095947
181,5.3027344
182,5.54834
183,5.523926
184,5.554199
185,5.4628906
186,5.1483154
187,5.324463
188,5.3338623
189,5.208252
190,5.180298
191,5.706421
192,5.489868
193,5.3999023
194,5.185425
195,5.025635
196,5.6901855
197,5.9172363
198,5.4555664
199,5.210083
200,5.3459473
201,5.4971924
202,5.0653076
203,5.1311035
204,4.9157715
205,5.0667725
206,4.745117
207,4.9223633
208,5.267578
209,5.36145
210,5.055908
211,5.758911
212,5.295044
213,4.9833984
214,5.2214355
215,5.657837
216,5.309204
217,5.04834
218,5.2460938
219,5.7943115
220,5.5025635
221,5.409668
222,5.61499
223,5.120117
224,5.8120117
225,5.4367676
226,5.186157
227,5.6397705
228,5.3518066
229,5.666992
230,5.6276855
231,4.8338623
232,5.248291
233,5.227173
234,5.4365234
235,5.7470703
236,5.4405518
237,5.023926
238,5.6343994
239,4.904175
240,5.6116943
241,5.227661
242,5.1395264
243,5.348633
244,5.477051
245,4.878784
246,5.7054443
247,5.6846924
248,5.570801
249,5.4960938
250,5.284668
251,4.9907227
252,5.1676025
253,5.3880615
254,5.4278564
255,5.3553467
256,5.5759277
257,5.3027344
258,5.018921
259,5.298462
260,5.543335
261,5.4501953
262,5.0792236
263,5.1696777
264,5.510376
265,5.175171
266,5.1693115
267,5.522705
268,5.32251
269,5.741333
270,5.772827
271,5.71167
272,5.1970215
273,5.1798096
274,5.536499
275,5.6503906
276,5.1534424
277,5.5839844
278,5.906372
279,5.1627197
280,5.7109375
281,5.725342
282,5.392334
283,5.3724365
284,5.36084
285,5.4506836
286,5.9573975
287,5.4311523
288,5.637085
289,5.5423584
290,5.0198975
291,5.7436523
292,4.937256
293,4.9682617
294,5.2338867
295,5.626343
296,5.1593018
297,5.2353516
298,5.1375732
299,5.2211914
300,5.3165283
301,5.1625977
302,4.9106445
303,5.249634
304,5.71167
305,5.511841
306,5.8356934
307,5.2893066
308,5.4647217
309,5.5910645
310,5.649658
311,5.6411133
312,5.405884
313,5.7843018
314,5.387207
315,5.1761475
316,5.146118
317,5.3183594
318,5.1275635
319,5.455078
320,5.1835938
321,5.3032227
322,5.6781006
323,5.1793213
324,5.2233887
325,5.6951904
326,5.2524414
327,5.315796
328,5.8702393
329,5.7993164
330,5.97937
331,5.4014893
332,6.0527344
333,5.4923096
334,5.6115723
335,5.562622
336,5.5203857
337,5.484009
338,5.677002
339,5.5560303
340,5.630127
341,5.4561768
342,5.248413
343,5.184204
344,5.3374023
345,5.4085693
