,0
0,2.3731031
1,3.152037
2,3.3134162
3,3.3819087
4,3.3379164
5,2.8785808
6,3.5420868
7,3.4708805
8,3.4064324
9,3.172644
10,3.418269
11,2.9304676
12,3.5776527
13,3.6318884
14,2.947821
15,3.1165028
16,3.4047163
17,3.2249162
18,3.1850646
19,3.1229408
20,3.4049847
21,3.0640821
22,3.56308
23,3.1940467
24,3.6822417
25,3.0794468
26,3.3442607
27,3.6109033
28,3.5546582
29,3.2469506
30,3.225823
31,2.7786336
32,2.6962166
33,3.4340744
34,3.3823926
35,3.3331652
36,2.868236
37,2.978563
38,2.889814
39,3.505302
40,2.8549352
41,3.1044688
42,3.0823689
43,3.5807114
44,3.41204
45,3.240516
46,3.4008024
47,3.1437428
48,3.510815
49,3.0039108
50,3.3002424
51,2.988797
52,2.9300625
53,2.8553624
54,2.8949187
55,2.998748
56,3.5474336
57,3.0732996
58,3.137576
59,2.8843508
60,3.385121
61,3.2492332
62,3.060016
63,3.4782188
64,3.7037308
65,3.3661134
66,3.3962393
67,2.7862415
68,2.9351768
69,3.014399
70,3.8954566
71,3.1107595
72,3.1142285
73,3.3201983
74,2.75585
75,3.6713462
76,3.0304973
77,2.9195483
78,3.355795
79,3.563991
80,3.0867457
81,2.9182503
82,3.471898
83,3.1979806
84,3.1003327
85,3.4037478
86,3.3611033
87,3.86408
88,3.2818968
89,3.566429
90,3.4508405
91,3.818245
92,3.3651476
93,3.3319368
94,3.367074
95,3.8300023
96,3.3019671
97,3.5348973
98,3.3847055
99,2.9707775
100,3.6113505
101,3.3857086
102,3.3821406
103,2.9894361
104,3.1042986
105,3.5849006
106,3.1643295
107,3.2712576
108,3.3612788
109,3.4975748
110,2.840375
111,2.8256147
112,3.8603852
113,3.4116838
114,3.5239375
115,3.6290903
116,3.2638667
117,3.5037017
118,2.9689274
119,3.3560297
120,3.5452828
121,3.8615422
122,3.1702178
123,3.4061196
124,2.85801
125,3.362703
126,3.364548
127,3.85135
128,3.6131651
129,3.6933794
130,3.6120389
131,3.2482054
132,3.4126208
133,3.377228
134,3.2492886
135,3.2419677
136,3.5486474
137,3.3372474
138,3.4695241
139,3.189774
140,3.4346662
141,3.581064
142,3.1671708
143,3.050951
144,2.8185225
145,3.601125
146,3.4505897
147,3.1727827
148,3.5699263
149,3.638555
150,3.5158057
151,3.067678
152,2.930185
153,3.4865937
154,3.2413683
155,3.300608
156,2.8186638
157,3.7883506
158,3.6316705
159,3.616296
160,3.3966968
161,3.2077494
162,3.3913305
163,3.2089505
164,2.8461106
165,2.8827226
166,3.1747668
167,3.616454
168,3.316135
169,3.1763418
170,3.6596696
171,3.1654713
172,3.1776822
