,0
0,2.0410156
1,4.244751
2,4.362549
3,4.5909424
4,4.093384
5,3.683838
6,4.558838
7,4.243042
8,4.329468
9,4.2574463
10,4.0074463
11,4.4316406
12,4.6568604
13,4.013672
14,3.7944336
15,4.253296
16,4.121826
17,4.8027344
18,4.3485107
19,4.342407
20,4.8807373
21,4.1829834
22,4.406006
23,4.593384
24,4.2717285
25,4.6781006
26,4.383911
27,4.645874
28,4.487793
29,4.5303955
30,4.637085
31,4.677246
32,4.5948486
33,4.7819824
34,5.105591
35,4.441162
36,4.63916
37,4.7266846
38,4.55188
39,4.8911133
40,4.713501
41,4.7807617
42,4.76062
43,4.592041
44,4.920166
45,4.953003
46,4.647949
47,4.6887207
48,4.9611816
49,4.657959
50,4.932495
51,4.6033936
52,5.0161133
53,4.725952
54,4.406372
55,4.7038574
56,4.981201
57,4.4920654
58,4.731079
59,5.109375
60,5.278076
61,5.287842
62,5.157959
63,4.8095703
64,5.8050537
65,5.0563965
66,4.7701416
67,4.7875977
68,5.2769775
69,5.517212
70,5.006836
71,5.192871
72,5.666626
73,5.48584
74,4.776123
75,5.008789
76,4.871826
77,4.78479
78,4.871216
79,4.6241455
80,4.675659
81,4.9471436
82,5.0095215
83,4.644043
84,4.7460938
85,4.842041
86,5.2802734
87,5.616455
88,5.3984375
89,5.010498
90,5.230713
91,4.720581
92,4.808716
93,5.2382812
94,5.256958
95,4.8360596
96,5.230957
97,4.694214
98,5.038208
99,5.811035
100,4.8166504
101,4.899292
102,4.8685303
103,5.1289062
104,4.9908447
105,4.921509
106,5.2390137
107,5.272827
108,5.5687256
109,4.4365234
110,4.892578
111,5.269409
112,5.3117676
113,5.4577637
114,5.3494873
115,5.7368164
116,4.666626
117,4.80249
118,5.5594482
119,5.25708
120,5.203369
121,5.1341553
122,4.9560547
123,5.5722656
124,5.159424
125,5.1574707
126,5.2042236
127,5.041748
128,4.871826
129,5.169922
130,5.1124268
131,5.5410156
132,5.0406494
133,5.095703
134,5.258789
135,5.79126
136,5.3494873
137,5.567749
138,5.1696777
139,5.3514404
140,5.3146973
141,5.503296
142,4.7958984
143,5.081543
144,5.298584
145,5.317627
146,5.1362305
147,5.340454
148,5.6938477
149,5.165283
150,5.0802
151,5.2961426
152,5.0388184
153,5.152466
154,5.0665283
155,5.3482666
156,5.4865723
157,5.7078857
158,5.6066895
159,5.158325
160,5.4835205
161,5.26709
162,5.46167
163,5.0025635
164,5.1312256
165,5.564209
166,5.699585
167,5.4022217
168,5.5759277
169,5.307617
170,5.4348145
171,5.3702393
172,5.250122
173,5.461426
174,5.3762207
175,5.532593
176,5.1497803
177,5.14624
178,4.9656982
179,5.499878
180,5.22876
181,5.4552
182,5.5476074
183,5.6698
184,5.300171
185,5.3635254
186,5.3690186
187,5.3063965
188,5.4552
189,5.566162
190,5.060425
191,5.6123047
192,5.4014893
193,5.6951904
194,5.1762695
195,5.470581
196,5.250122
197,5.0960693
198,5.56604
199,5.6708984
200,5.411255
201,5.6688232
202,5.5062256
203,5.5184326
204,5.4786377
205,5.871216
206,5.9680176
207,5.15979
208,5.4052734
209,4.755615
210,5.215576
211,5.0891113
212,5.0531006
213,5.475708
214,5.470581
215,6.185547
216,5.699585
217,5.5529785
218,5.2281494
219,5.3757324
220,4.774048
221,5.4763184
222,4.9283447
223,4.8303223
224,5.0915527
225,5.2401123
226,5.4818115
227,5.421509
228,5.3425293
229,5.029541
230,5.2906494
231,5.1745605
232,5.8641357
233,5.3952637
234,5.4228516
235,5.4890137
236,5.6343994
237,5.178955
238,5.208496
239,5.5949707
240,4.9937744
241,5.2244873
242,4.95874
243,5.3571777
244,5.529541
245,5.2349854
246,6.043213
247,5.569214
248,6.1430664
249,5.8619385
250,5.746582
251,6.138794
252,6.090454
253,5.338501
254,5.4659424
255,5.70166
256,5.0377197
257,5.4920654
258,5.474243
259,5.2159424
260,5.5653076
261,5.0906982
262,4.978882
263,5.265503
264,5.6429443
265,6.220581
266,5.8843994
267,5.7767334
268,5.461426
269,5.668701
270,5.9348145
271,5.0947266
272,5.983032
273,6.0654297
274,5.775879
275,5.6152344
276,5.9768066
277,5.3912354
278,5.6644287
279,5.5994873
280,5.1137695
281,5.296875
282,6.11499
283,5.5544434
284,5.3585205
285,5.4644775
286,5.510254
287,5.024292
288,5.5671387
289,5.301758
290,4.9591064
291,5.4387207
292,5.9855957
293,5.445801
294,5.106079
295,5.03125
296,5.112915
297,5.352661
298,5.276001
299,5.260254
300,5.735718
301,5.2667236
302,5.6312256
303,5.0163574
304,5.395508
305,5.586792
306,5.6921387
307,5.2441406
308,5.1033936
309,5.715088
310,5.838623
311,5.7613525
312,5.054199
313,5.1864014
314,5.40271
315,6.0421143
316,5.8814697
317,5.5493164
318,5.276245
319,5.2476807
320,5.60437
321,5.8398438
322,5.1922607
323,5.6085205
324,4.637451
325,5.9353027
326,5.805664
327,5.3293457
328,5.6278076
329,5.798584
330,5.885132
331,5.6013184
332,5.80249
333,6.046997
334,5.8930664
335,5.946289
336,5.9505615
337,5.6639404
338,5.601074
339,6.117798
340,6.0045166
341,5.908325
342,5.470703
343,5.7163086
344,5.8668213
345,5.759033
346,5.4261475
347,5.866699
348,5.7122803
