,0
0,2.3731031
1,3.152037
2,3.3134162
3,3.3819087
4,3.3379164
5,2.8785808
6,3.5420868
7,3.4708805
8,3.4064324
9,3.172644
10,3.418269
11,2.9304676
12,3.5776527
13,3.6318884
14,2.947821
15,3.1165028
16,3.4047163
17,3.2249162
18,3.1850646
19,3.1229408
20,3.4049847
21,3.0640821
22,3.56308
23,3.1940467
24,3.6822417
25,3.0794468
26,3.3442607
27,3.6109033
28,3.5546582
29,3.2469506
30,3.225823
31,2.7786336
32,2.6962166
33,3.4340744
34,3.3823926
35,3.3331652
36,2.868236
37,2.978563
38,2.889814
39,3.505302
40,2.8549352
41,3.1044688
42,3.0823689
43,3.5807114
44,3.41204
45,3.240516
46,3.4008024
47,3.1437428
48,3.510815
49,3.0039108
50,3.3002424
51,2.988797
52,2.9300625
53,2.8553624
54,2.8949187
55,2.998748
56,3.5474336
57,3.0732996
58,3.137576
59,2.8843508
60,3.385121
61,3.2492332
62,3.060016
63,3.4782188
64,3.7037308
65,3.3661134
66,3.3962393
67,2.7862415
68,2.9351768
69,3.014399
70,3.8954566
71,3.1107595
72,3.1142285
73,3.3201983
74,2.75585
75,3.6713462
76,3.0304973
77,2.9195483
78,3.355795
79,3.563991
80,3.0867457
81,2.9182503
82,3.471898
83,3.1979806
84,3.1003327
85,3.4037478
86,3.3611033
87,3.86408
88,3.2818968
89,3.566429
90,3.4508405
91,3.818245
92,3.3651476
93,3.3319368
94,3.367074
95,3.8300023
96,3.3019671
97,3.5348973
98,3.3847055
99,2.9707775
100,3.6113505
101,3.3857086
102,3.3821406
103,2.9894361
104,3.1042986
105,3.5849006
106,3.1643295
107,3.2712576
108,3.3612788
109,3.4975748
110,2.840375
111,2.8256147
112,3.8603852
113,3.4116838
114,3.5239375
115,3.6290903
116,3.2638667
117,3.5042217
118,3.0543287
119,3.3399782
120,3.5279574
121,3.8064067
122,3.197418
123,3.5116494
124,2.9168036
125,3.3442917
126,3.3790858
127,3.9376342
128,3.6795104
129,3.6686208
130,3.5144668
131,3.09457
132,3.4058287
133,3.2742999
134,3.1846862
135,3.3289163
136,3.4629774
137,3.2714229
138,3.304335
139,2.923999
140,3.3609128
141,3.436404
142,3.018137
143,3.086963
144,3.1868646
145,3.573117
146,3.318711
147,3.44932
148,3.5950353
149,3.6786675
150,3.559871
151,2.9848447
152,2.8960862
153,3.4181085
154,3.1109931
155,3.499206
156,2.669959
157,3.605853
158,3.5616665
159,3.462801
160,3.4509802
161,3.3334658
162,3.6438131
163,3.5282059
164,2.881368
165,2.9913838
166,3.520806
167,3.2513962
168,3.180635
169,3.056292
170,3.9629529
171,3.067037
172,3.210164
173,3.3806226
