,0
0,2.0410156
1,4.2574463
2,4.35083
3,4.8288574
4,4.3289795
5,3.8359375
6,4.3637695
7,4.3564453
8,4.6416016
9,4.0457764
10,4.3916016
11,4.2008057
12,4.2663574
13,3.935913
14,3.9143066
15,4.4665527
16,4.285034
17,4.2299805
18,4.4206543
19,4.2575684
20,4.074463
21,4.4437256
22,4.796631
23,4.765869
24,4.454956
25,4.3515625
26,4.5112305
27,4.2475586
28,4.230713
29,4.361084
30,4.907715
31,5.07251
32,5.486328
33,5.012451
34,4.586548
35,4.4818115
36,4.944702
37,4.541626
38,5.043091
39,5.0042725
40,5.117676
41,5.032593
42,5.0699463
43,5.369629
44,4.873657
45,4.4420166
46,4.6497803
47,4.744995
48,4.6397705
49,4.6865234
50,5.085083
51,4.531372
52,5.006836
53,4.7977295
54,5.0654297
55,5.2144775
56,4.895508
57,4.7886963
58,4.970337
59,4.7666016
60,5.527832
61,5.102173
62,5.218994
63,5.3304443
64,5.436157
65,5.4682617
66,5.1590576
67,5.3199463
68,4.946411
69,5.3414307
70,5.1151123
71,5.1202393
72,5.2366943
73,5.2005615
74,4.821045
75,5.010254
76,5.7685547
77,5.05896
78,5.017578
79,5.3027344
80,4.8843994
81,5.1674805
82,5.1782227
83,5.149292
84,5.6065674
85,4.9362793
86,5.6450195
87,5.1573486
88,5.536377
89,5.139038
90,5.3828125
91,5.0789795
92,5.3675537
93,5.1501465
94,5.191284
95,5.045532
96,5.0620117
97,5.0371094
98,4.869751
99,5.289551
100,5.273926
101,5.2487793
102,5.008667
103,5.147827
104,5.203369
105,5.624756
106,5.148926
107,5.100464
108,4.8969727
109,5.11499
110,5.076294
111,5.135498
112,5.8239746
113,5.260132
114,4.87146
115,5.1817627
116,5.88208
117,5.5565186
118,5.637207
119,5.396118
120,5.536621
121,5.5566406
122,5.1309814
123,5.0560303
124,5.4415283
125,6.0148926
126,5.65625
127,5.5351562
128,5.425415
129,5.428833
130,5.2817383
131,4.9869385
132,5.319824
133,5.5134277
134,5.574585
135,5.5513916
136,5.5721436
137,5.888794
138,6.26355
139,5.798706
140,5.804077
141,6.0096436
142,5.557495
143,5.295532
144,5.1553955
145,5.055786
146,5.3916016
147,5.5098877
148,5.0841064
149,5.2921143
150,5.609253
151,5.4473877
152,5.8618164
153,5.623169
154,5.338501
155,6.029907
156,5.113159
157,5.4436035
158,5.595459
159,5.4432373
160,5.286743
161,5.2564697
162,5.6054688
163,5.0289307
164,5.2696533
165,5.1137695
166,5.977539
167,5.343506
168,5.250366
169,5.6990967
170,5.464966
171,5.612793
172,5.447998
173,5.4471436
174,5.3654785
175,5.395874
176,5.6800537
177,5.4398193
178,5.4904785
179,5.3981934
180,5.250244
181,5.0527344
182,5.501465
183,5.3236084
184,4.900635
185,5.3376465
186,5.187744
187,5.1378174
188,5.519043
189,5.6063232
190,5.623047
191,5.764282
192,5.3864746
193,5.1640625
194,5.66333
195,5.321167
196,5.7390137
197,5.687866
198,6.10376
199,5.6397705
200,5.819214
201,5.5355225
202,5.498535
203,5.283081
204,5.4365234
205,5.461426
206,5.503174
207,5.6951904
208,5.6866455
209,5.399048
210,5.401123
211,5.153076
212,5.250366
213,5.3604736
214,5.585083
215,5.6485596
216,5.6606445
217,5.4960938
218,5.459839
219,5.656494
220,5.3668213
221,5.5755615
222,5.1920166
223,5.4957275
224,5.1896973
225,5.5910645
226,5.349243
227,5.439209
228,5.407959
229,5.2841797
230,5.39624
231,5.177368
232,6.138794
233,5.643921
234,6.0808105
235,5.31604
236,5.6672363
237,5.850464
238,5.5526123
239,5.720337
240,5.524048
241,5.547241
242,5.421875
243,5.2646484
244,5.304077
245,5.718994
246,5.907593
247,5.9694824
248,5.965576
249,5.125366
250,5.609253
251,5.798218
252,5.381714
