,0
0,2.3731031
1,3.150483
2,3.2926831
3,3.648497
4,3.8839738
5,3.0283792
6,3.5940547
7,3.3035548
8,3.561296
9,2.9721162
10,3.246312
11,3.07552
12,3.2371066
13,3.1289692
14,2.7264135
15,2.9430804
16,2.902077
17,3.037379
18,3.1259456
19,2.899996
20,2.7161577
21,3.1920934
22,3.1456578
23,3.2205493
24,2.8356118
25,2.7457685
26,2.9813662
27,2.8542464
28,2.8269584
29,3.1828227
30,3.5799708
31,3.5101855
32,3.8617537
33,3.5685039
34,3.417817
35,3.122524
36,3.2459774
37,3.018696
38,3.2385952
39,3.4348507
40,4.150263
41,3.3262227
42,3.2144034
43,3.552356
44,3.0506034
45,2.6264517
46,3.0277889
47,3.3832057
48,2.6324291
49,3.141266
50,3.062653
51,2.7473338
52,3.3937128
53,3.3043058
54,3.4354918
55,3.251618
56,2.923891
57,2.9762084
58,3.24947
59,2.6249475
60,3.6032424
61,3.416546
62,3.23028
63,3.2563126
64,3.1626368
65,3.271596
66,3.1134107
67,3.2284517
68,2.9030027
69,3.1125145
70,3.0864503
71,3.1301632
72,3.3289692
73,3.4772115
74,3.160765
75,3.0955474
76,3.623437
77,3.2961812
78,3.0551062
79,3.2790768
80,2.895552
81,3.430323
82,3.1561298
83,3.213026
84,3.5319235
85,2.7888489
86,3.5437024
87,3.2506795
88,3.9412982
89,3.4547973
90,3.7627306
91,3.4961598
92,3.2805483
93,2.9597588
94,3.1936073
95,3.207429
96,3.4358747
97,2.781529
98,2.9778647
99,3.261645
100,3.353034
101,3.63581
102,3.133745
103,3.242667
104,3.3237426
105,3.4827719
106,3.397608
107,3.2236826
108,3.1249032
109,2.9187331
110,3.0683403
111,3.1035511
112,3.9827228
113,3.2951097
114,2.921408
115,3.1513026
116,3.6512403
117,3.3716316
118,3.6963575
119,3.6005301
120,3.5455844
121,3.3919153
122,3.1668766
123,3.1279922
124,3.9164865
125,3.5867832
126,3.484585
127,3.486404
128,3.570961
129,3.7668324
130,3.057109
131,3.4716275
132,3.0512803
133,3.0635066
134,3.3892643
135,3.3197954
136,3.1894786
137,3.6354525
138,3.7252107
139,3.3203967
140,3.8880599
141,4.178866
142,3.7675195
143,3.308103
144,3.1791635
145,3.3182716
146,3.8229513
147,3.5437279
148,2.8523874
149,2.8128464
150,3.5663736
151,2.8597875
152,3.705886
153,3.4968197
154,3.247752
155,3.9818263
156,3.151104
157,3.3276837
158,3.6439655
159,3.254084
160,2.8739688
161,2.912002
162,3.8447165
163,3.071657
164,3.0060432
165,2.834634
166,3.7522106
167,3.498489
168,2.8923032
169,3.188788
170,3.2147262
171,3.055632
172,3.380743
173,3.4922333
174,3.1679423
175,2.946031
176,3.4655888
177,2.9916945
178,3.1646173
179,3.26912
180,3.2599568
181,3.37636
182,3.3878872
183,3.3220146
184,2.9413855
185,3.1852412
186,3.6221237
187,3.1332977
188,3.6824155
189,3.5854077
190,3.304788
191,3.4130852
192,3.1203175
193,3.3182714
194,3.1506655
195,3.074435
196,3.4013371
197,3.4649274
198,3.7716465
199,3.4483132
200,3.1037018
201,3.4634259
202,3.3404984
203,3.305353
204,3.2018478
205,3.4248312
206,3.2666326
207,3.3205588
208,3.084951
209,3.5783384
210,3.0948133
211,3.1076088
212,3.226203
213,3.3025818
214,3.4359493
215,2.838964
216,3.379962
217,3.2792008
218,3.2738156
219,3.2909338
220,3.135893
221,3.314328
222,2.7901227
223,3.0451086
224,3.168972
225,3.4334862
226,3.4307783
227,3.5390837
228,3.3711383
229,3.4408796
230,3.1842008
231,2.9357393
232,3.6895385
233,3.5305295
234,3.5497391
235,3.0941992
236,3.3809063
237,3.4945517
238,3.5734708
239,3.9212258
240,3.6353447
241,3.4203355
242,3.1868105
243,3.2646575
244,3.2813158
245,3.5499907
246,3.3128142
247,3.4762442
248,3.4761024
249,3.1672199
250,3.1523068
251,3.2695377
252,3.079183
253,3.73944
254,3.0684764
255,3.0939472
256,3.2484114
257,3.5622132
258,2.9637654
259,3.418654
260,3.7337677
261,3.8309093
262,3.1235902
263,3.5736501
264,3.386556
265,3.4202704
266,3.1086657
267,2.7686188
268,3.195163
269,3.5560777
270,3.435804
271,3.1585608
272,3.1242952
273,3.1905413
274,3.4483106
275,3.5959482
276,3.4844296
277,3.6294878
278,2.9566863
279,3.3604274
280,3.7278516
281,3.4130604
282,3.6890903
283,3.771956
284,3.2236426
285,3.020179
286,3.1580598
287,3.2092981
288,3.5108697
289,3.557556
290,3.2361736
291,3.3772812
292,3.578821
293,3.444163
294,3.950409
295,3.4148264
296,3.5225866
297,3.9573786
298,3.4390016
299,3.4835024
300,3.4053907
301,3.2666907
302,3.2845833
303,3.4157972
304,3.425194
305,3.2121599
306,3.6741087
307,3.936342
308,3.5317605
309,3.354311
310,2.8058662
311,3.2193885
312,3.655817
313,3.4537494
314,3.6572561
315,3.8533707
316,3.3946776
317,3.5814557
318,3.4081607
319,2.9608376
320,3.6313515
321,3.6989202
322,3.3544087
323,3.733473
324,3.733794
325,3.6323912
326,3.5164995
327,3.2265477
328,3.0585015
329,3.4030733
330,3.246841
331,3.634319
332,3.6972296
333,4.0102277
334,4.1174116
335,3.406049
336,3.422313
337,3.364867
338,3.7142158
339,4.0399942
340,3.9118946
341,3.6906197
342,3.9874914
343,3.5301123
344,3.3437788
345,3.4606786
346,3.586897
347,2.950945
348,3.6658535
349,3.888937
350,3.5440905
351,3.8348582
352,3.929796
353,3.2567668
354,3.6554894
355,3.7235708
356,4.4968534
357,4.094447
358,3.7968755
359,3.827405
360,3.4022014
361,3.391139
362,4.0052223
363,3.5290196
364,3.2633443
365,3.1329834
366,3.7634172
367,3.9516544
368,3.6785336
369,3.4791613
370,3.6709847
371,3.9952745
372,3.475892
373,3.622813
374,3.6537962
