,0
0,0.0005325006
1,0.62710804
2,4.0893106
3,9.150475
4,13.637748
5,16.84722
6,19.006638
7,20.248112
8,21.050238
9,21.818848
10,22.57133
11,23.126738
12,23.477634
13,23.673838
14,23.786764
15,23.859436
16,23.899572
17,23.937078
18,24.017683
19,24.262999
20,24.71489
21,25.601637
22,26.78363
23,28.39516
24,30.571201
25,33.070835
26,35.918324
27,39.141933
28,43.118618
29,47.35497
30,51.893288
31,57.056934
32,62.4511
33,67.73588
34,73.45754
35,78.881714
36,84.28274
37,89.23224
38,94.061134
39,98.58605
40,103.03119
41,107.41836
42,110.90828
43,114.87787
44,119.1407
45,124.04148
46,129.79028
47,136.605
48,143.04366
49,149.51042
50,156.40784
51,163.6889
52,171.87822
53,180.6658
54,189.77106
55,199.06279
56,207.93074
57,216.16875
58,224.37405
59,232.84521
60,240.53116
61,247.69734
62,255.35237
63,262.86542
64,270.36557
65,278.12408
66,286.11667
67,293.2319
68,300.28394
69,306.8816
70,313.239
71,319.0543
72,325.00742
73,330.95956
74,336.93283
75,342.55527
76,347.08862
77,351.17288
78,355.1921
79,359.42374
80,363.99258
81,367.46152
82,371.19415
83,374.7496
84,377.4084
85,380.22687
86,383.1085
87,385.93213
88,388.19504
89,390.42554
90,392.88342
91,395.59946
92,398.30734
93,400.50827
94,403.04962
95,405.51944
96,408.01608
97,410.00217
98,411.70166
99,430.17725
100,581.7354
101,591.23505
102,629.94904
103,678.2487
104,719.9853
105,751.4843
106,772.4258
107,782.52826
108,787.4829
109,790.9056
110,793.1749
111,794.75366
112,795.7622
113,796.14594
114,796.33887
115,796.24524
116,796.0556
117,795.8597
118,795.7773
119,795.9038
120,796.46747
121,797.5854
122,799.46747
123,801.7977
124,804.8981
125,808.5577
126,812.66876
127,817.27423
128,823.0836
129,828.46674
130,834.47797
131,841.30756
132,848.3013
133,854.11475
134,858.8893
135,858.95197
136,859.4672
137,858.5119
138,855.4961
139,851.0721
140,845.7581
141,839.8206
142,834.2783
143,829.6543
144,825.3162
145,823.92523
146,825.0223
147,828.19183
148,831.3838
149,834.3754
150,836.89453
151,839.25977
152,841.48944
153,843.4557
154,845.4272
155,847.16974
156,848.66016
157,850.07227
158,851.2791
159,852.5099
160,853.17523
161,854.0104
162,854.58185
163,854.7791
164,854.56915
165,854.3385
166,854.09296
167,853.675
168,852.99835
169,852.1507
170,850.9082
171,849.138
172,847.49084
173,846.0931
174,845.41406
175,844.7295
176,843.6758
177,842.90765
178,842.1465
179,841.3547
180,840.33246
181,839.18176
182,838.1761
183,837.4258
184,837.2143
185,836.89465
186,836.6577
187,836.7133
188,836.624
189,836.5268
190,836.5446
191,836.6567
192,836.6904
193,837.03827
194,837.5224
195,838.159
196,838.77167
197,839.6299
198,840.3707
199,841.9726
200,849.6481
201,850.5231
202,852.6982
203,855.06104
204,857.7625
205,859.8932
206,861.65936
207,862.9863
208,864.48456
209,866.2134
210,867.8541
211,869.75165
212,871.7338
213,873.58466
214,875.74084
215,878.03925
216,880.84
217,883.63684
218,887.40295
219,891.3875
220,894.88184
221,897.8758
222,901.08685
223,904.1805
224,907.0643
225,909.9455
226,912.77277
227,916.0081
228,919.3154
229,922.6943
230,926.0547
231,929.5586
232,932.8787
233,936.1297
234,939.37103
235,942.346
236,945.5254
237,949.1551
238,953.0223
239,957.1805
240,960.5422
241,963.2482
242,965.8082
243,968.81006
