,0
0,0.07724211
1,3.358799
2,9.250955
3,14.212484
4,17.731121
5,20.293594
6,22.287306
7,23.599964
8,24.65133
9,25.850641
10,27.171309
11,28.246498
12,28.982327
13,29.423037
14,29.683525
15,29.86491
16,29.966366
17,30.076128
18,30.353342
19,31.227732
20,32.877975
21,35.995155
22,39.96485
23,44.93954
24,51.020992
25,57.3698
26,63.94414
27,70.73463
28,78.40777
29,85.88088
30,93.275475
31,101.04995
32,108.5683
33,115.4548
34,122.46095
35,128.74666
36,134.68102
37,139.90388
38,144.81538
39,149.29951
40,153.59247
41,157.7258
42,160.98955
43,164.67668
44,168.58575
45,173.06549
46,178.27534
47,184.29338
48,189.80148
49,195.13907
50,200.71419
51,206.46497
52,212.73119
53,219.18123
54,225.53653
55,231.72122
56,237.36617
57,242.38974
58,247.24559
59,252.09561
60,256.36118
61,260.2633
62,264.29346
63,268.1568
64,271.94205
65,275.78412
66,279.56097
67,282.8082
68,286.05554
69,289.06808
70,291.91882
71,294.5125
72,297.15445
73,299.7974
74,302.44177
75,304.97504
76,307.00327
77,308.81107
78,310.6636
79,312.65433
80,314.76935
81,316.40842
82,318.1984
83,319.94025
84,321.27097
85,322.70453
86,324.31995
87,325.84967
88,327.08673
89,328.3481
90,329.80804
91,331.4468
92,333.07016
93,334.39532
94,335.91434
95,337.33615
96,338.7399
97,339.8116
98,340.66385
99,347.12534
100,359.7987
101,358.9137
102,352.6287
103,339.06573
104,321.61853
105,304.28336
106,290.47617
107,283.1176
108,279.45337
109,276.9473
110,275.38092
111,274.3095
112,273.6249
113,273.28775
114,273.12045
115,273.1245
116,273.2021
117,273.2968
118,273.33163
119,273.35718
120,273.19592
121,272.79663
122,272.25598
123,271.63306
124,270.7567
125,269.85648
126,268.8932
127,267.8236
128,266.5328
129,265.13702
130,263.83176
131,262.2787
132,260.8004
133,259.4843
134,258.42282
135,258.53973
136,258.42917
137,258.49936
138,259.177
139,259.83203
140,260.6489
141,261.50595
142,262.15433
143,262.79398
144,263.18466
145,263.84232
146,264.77307
147,266.34976
148,267.87833
149,269.0792
150,270.27164
151,271.43158
152,272.3692
153,273.0996
154,273.61612
155,274.18344
156,274.78738
157,275.316
158,275.90726
159,276.85056
160,277.69922
161,278.4779
162,279.20023
163,280.05292
164,280.88022
165,281.76746
166,282.91034
167,283.8109
168,284.53632
169,285.13147
170,285.74072
171,286.24377
172,286.6547
173,287.17975
174,287.86697
175,288.2298
176,288.34567
177,288.55222
178,288.62598
179,288.71857
180,288.79312
181,288.7259
182,288.64893
183,288.55255
184,288.39526
185,288.12653
186,287.88394
187,287.55203
188,287.19977
189,286.847
190,286.57526
191,286.4165
192,286.19373
193,286.40323
194,286.5299
195,286.6705
196,286.81573
197,287.098
198,287.3517
199,288.646
200,297.59833
201,298.1689
202,300.2113
203,302.10284
204,303.8405
205,304.83167
206,305.5315
207,305.49026
208,305.12878
209,304.69504
210,304.53055
211,304.20172
212,304.0274
213,303.96997
214,304.14688
215,304.37698
216,304.69858
217,305.05435
218,306.03387
219,307.52966
220,308.88153
221,310.26505
222,311.99387
223,313.81354
224,315.9315
225,318.20166
226,320.20538
227,322.8857
228,326.1473
229,329.4777
230,332.90167
231,336.53433
232,339.91382
233,343.4066
234,346.62738
235,349.60117
236,352.6373
237,355.79327
238,359.18143
239,362.84454
240,366.1338
241,368.92746
242,371.0466
243,373.54245
