,0
0,0.0005325006
1,0.5624253
2,3.6996293
3,8.799063
4,14.320655
5,19.784048
6,24.930988
7,29.420294
8,33.38857
9,36.846302
10,39.769688
11,42.34608
12,44.841896
13,47.046486
14,49.21034
15,51.21291
16,53.040485
17,54.85387
18,56.189728
19,57.497414
20,58.931164
21,60.44575
22,61.734142
23,62.749493
24,63.538784
25,64.609085
26,65.83459
27,66.61898
28,67.57955
29,68.2681
30,68.96093
31,69.4403
32,69.89454
33,70.10433
34,70.372185
35,70.76027
36,71.499084
37,72.04682
38,72.52887
39,72.97288
40,73.27006
41,73.58211
42,73.732864
43,73.995285
44,74.28397
45,74.42824
46,74.30551
47,74.33361
48,74.44822
49,74.45316
50,74.72479
51,74.802185
52,74.9306
53,74.93764
54,75.06107
55,75.45632
56,75.77644
57,75.80349
58,75.80951
59,75.81591
60,75.903435
61,75.96441
62,76.014305
63,76.38967
64,76.68209
65,76.47582
66,76.45452
67,76.734764
68,76.71374
69,76.57366
70,76.99275
71,77.122154
72,77.28699
73,77.346344
74,77.12124
75,77.2673
76,77.52234
77,77.730576
78,77.82088
79,77.672165
80,77.53451
81,77.31981
82,77.7829
83,77.815956
84,77.63328
85,77.74878
86,77.88888
87,77.8421
88,77.342766
89,77.23002
90,77.092186
91,76.930725
92,76.9604
93,77.01115
94,77.283424
95,77.28241
96,77.04307
97,76.964264
98,76.864655
99,76.89469
100,77.11031
101,76.701195
102,76.27794
103,76.168106
104,76.03351
105,76.402565
106,76.72393
107,76.52411
108,76.31022
109,76.01165
110,75.757515
111,75.63747
112,75.81079
113,75.844055
114,76.09395
115,76.14081
116,76.01237
117,76.12862
118,76.167885
119,76.36013
120,76.65655
121,76.76177
122,76.58484
123,76.26902
124,76.1512
125,75.980385
126,76.05517
127,76.36399
128,76.20981
129,76.15492
130,76.45821
131,76.48528
132,76.87484
133,77.23849
134,77.25109
135,77.005936
136,76.8341
137,76.934425
138,76.857544
139,76.87496
140,76.831345
141,76.845116
142,76.88962
143,76.89086
144,76.86479
145,77.202126
146,77.44247
147,77.49182
148,77.41699
149,77.48839
150,77.36089
151,77.166214
152,77.21758
153,77.28997
154,76.98872
155,76.980095
156,76.93709
157,76.868004
158,77.02129
159,76.9673
160,76.89117
161,76.94944
162,76.90411
163,76.662224
164,76.70691
165,76.76459
166,76.97361
167,76.85531
168,76.84075
169,76.89602
170,76.67967
171,76.528015
172,76.35933
173,76.27598
174,76.12606
175,75.94769
176,76.445076
177,76.77984
178,76.87893
179,76.9459
180,77.01641
181,76.91336
182,76.90006
183,76.75962
184,76.9839
185,76.937195
186,76.94613
187,77.05156
188,77.07127
189,77.19361
190,77.38188
191,77.36913
192,76.80724
193,76.63205
194,76.478874
195,76.15777
196,76.28243
197,76.753136
198,76.87293
199,76.74732
200,76.703835
201,76.91787
202,76.61261
203,76.65318
204,76.84607
205,77.20708
206,77.55315
207,77.2923
208,77.106834
209,76.839874
210,76.504814
211,76.23606
212,76.05469
213,75.85013
214,76.15261
215,76.217224
216,76.18687
217,76.430664
218,76.741196
219,76.749466
220,76.8505
221,76.657524
222,77.0606
223,77.16433
224,77.21707
225,76.91907
226,76.936905
227,76.7145
228,76.87205
229,76.81524
230,76.514885
231,76.67516
232,77.05125
233,77.19287
234,76.78744
235,76.31704
236,76.36725
237,76.749855
238,76.49324
239,76.546364
240,76.69653
241,76.64649
242,76.44739
243,76.39551
