,0
0,0.07724211
1,3.1622002
2,8.739956
3,13.690201
4,17.359812
5,20.225945
6,22.551401
7,24.506315
8,26.350134
9,28.077173
10,29.746572
11,31.34423
12,33.09478
13,34.827156
14,36.601196
15,38.330006
16,40.206017
17,42.140125
18,43.646805
19,45.08165
20,46.72934
21,48.54532
22,50.09661
23,51.421093
24,52.460884
25,53.90479
26,55.6449
27,56.763237
28,57.97182
29,59.03565
30,60.174896
31,61.09617
32,61.935093
33,62.738182
34,63.527573
35,64.327
36,65.3446
37,66.10769
38,66.87525
39,67.78445
40,68.55727
41,69.20068
42,69.51367
43,69.89583
44,70.44846
45,70.89891
46,71.26817
47,71.310425
48,71.674385
49,71.74536
50,72.2077
51,72.253685
52,72.568054
53,72.98288
54,73.18152
55,73.788155
56,74.1103
57,74.22664
58,74.60331
59,74.861145
60,75.04532
61,75.23253
62,75.14425
63,75.84476
64,76.1215
65,75.90157
66,76.27262
67,76.78069
68,76.870636
69,76.97025
70,77.36753
71,77.55826
72,77.75182
73,77.91736
74,77.76601
75,77.95341
76,78.296814
77,78.81506
78,78.94266
79,78.46166
80,78.3729
81,77.993645
82,78.668465
83,78.61331
84,78.32928
85,77.97258
86,77.96983
87,77.978745
88,77.64782
89,77.478905
90,77.461876
91,77.50563
92,77.90636
93,78.03989
94,78.340805
95,78.25964
96,77.57923
97,77.491776
98,77.33201
99,76.834305
100,77.038605
101,76.87293
102,76.55724
103,76.65585
104,76.39504
105,76.966484
106,77.55929
107,77.495834
108,77.13561
109,76.87099
110,76.7284
111,76.62191
112,76.82494
113,76.53797
114,76.72912
115,76.83761
116,76.657036
117,77.12293
118,77.29446
119,77.522316
120,77.890465
121,78.24491
122,77.95122
123,77.3065
124,76.95736
125,76.43755
126,76.324844
127,76.68575
128,76.59991
129,76.46657
130,76.96159
131,76.97139
132,77.72693
133,77.919624
134,77.88222
135,77.553505
136,77.39296
137,77.75537
138,77.83936
139,77.95509
140,77.74142
141,77.60998
142,77.389595
143,77.435455
144,77.32549
145,77.97621
146,78.503716
147,78.49755
148,78.2927
149,78.36478
150,77.91239
151,77.41251
152,77.64832
153,77.58624
154,77.39155
155,77.09148
156,77.2784
157,77.44977
158,77.71926
159,77.592514
160,77.13221
161,77.15702
162,76.827736
163,76.54372
164,76.71805
165,76.955894
166,77.27201
167,77.212524
168,77.136986
169,77.16282
170,76.810745
171,76.41051
172,76.107895
173,76.03191
174,76.1867
175,76.257805
176,76.96989
177,77.22316
178,76.93629
179,77.01468
180,77.11154
181,76.75501
182,76.823
183,76.97334
184,77.454636
185,77.455605
186,77.28593
187,77.505
188,77.81533
189,77.98639
190,78.34129
191,78.35683
192,77.34765
193,77.425156
194,77.31845
195,76.66557
196,76.80791
197,77.75748
198,78.02644
199,77.58693
200,77.17048
201,77.64852
202,77.291794
203,77.38655
204,77.461914
205,78.085266
206,78.67441
207,78.23694
208,77.89341
209,77.73379
210,77.47259
211,77.499664
212,77.53161
213,76.954094
214,76.99371
215,76.749084
216,76.16156
217,76.564026
218,76.9638
219,76.84812
220,76.98801
221,76.78199
222,77.0252
223,77.30997
224,77.739235
225,77.84916
226,78.32819
227,78.02655
228,78.16858
229,78.37981
230,78.141235
231,78.46257
232,78.83911
233,79.067116
234,78.46475
235,77.82599
236,77.75984
237,78.2431
238,77.73755
239,77.873695
240,78.38694
241,78.48443
242,78.15984
243,78.23196
